ticker,signal_year,rows,available_rate,median_age_days,max_age_days
CNYRUB_TOM,2011,1231,0.0,,
CNYRUB_TOM,2012,1245,0.0,,
CNYRUB_TOM,2013,1230,0.7276422764227642,1.0,5.0
CNYRUB_TOM,2014,1235,1.0,1.0,2.0
CNYRUB_TOM,2015,1235,1.0,1.0,2.0
CNYRUB_TOM,2016,1240,1.0,1.0,2.0
CNYRUB_TOM,2017,1235,1.0,1.0,1.0
CNYRUB_TOM,2018,1235,1.0,1.0,1.0
CNYRUB_TOM,2019,1230,1.0,1.0,1.0
CNYRUB_TOM,2020,1215,1.0,1.0,2.0
CNYRUB_TOM,2021,1240,1.0,1.0,2.0
CNYRUB_TOM,2022,1235,1.0,1.0,2.0
CNYRUB_TOM,2023,1235,1.0,1.0,1.0
CNYRUB_TOM,2024,1240,1.0,1.0,1.0
CNYRUB_TOM,2025,1235,1.0,1.0,1.0
CNYRUB_TOM,2026,810,1.0,1.0,1.0
EUR_RUB__TOM,2011,1231,1.0,1.0,1.0
EUR_RUB__TOM,2012,1245,1.0,1.0,2.0
EUR_RUB__TOM,2013,1230,1.0,1.0,1.0
EUR_RUB__TOM,2014,1235,1.0,1.0,2.0
EUR_RUB__TOM,2015,1235,1.0,1.0,2.0
EUR_RUB__TOM,2016,1240,1.0,1.0,2.0
EUR_RUB__TOM,2017,1235,1.0,1.0,1.0
EUR_RUB__TOM,2018,1235,1.0,1.0,1.0
EUR_RUB__TOM,2019,1230,1.0,1.0,1.0
EUR_RUB__TOM,2020,1215,1.0,1.0,2.0
EUR_RUB__TOM,2021,1240,1.0,1.0,2.0
EUR_RUB__TOM,2022,1235,1.0,1.0,2.0
EUR_RUB__TOM,2023,1235,1.0,1.0,1.0
EUR_RUB__TOM,2024,1240,0.43548387096774194,29.5,201.0
EUR_RUB__TOM,2025,1235,0.0,394.0,568.0
EUR_RUB__TOM,2026,810,0.0,696.5,813.0
USD000UTSTOM,2011,1231,1.0,1.0,1.0
USD000UTSTOM,2012,1245,1.0,1.0,2.0
USD000UTSTOM,2013,1230,1.0,1.0,1.0
USD000UTSTOM,2014,1235,1.0,1.0,2.0
USD000UTSTOM,2015,1235,1.0,1.0,2.0
USD000UTSTOM,2016,1240,1.0,1.0,2.0
USD000UTSTOM,2017,1235,1.0,1.0,1.0
USD000UTSTOM,2018,1235,1.0,1.0,1.0
USD000UTSTOM,2019,1230,1.0,1.0,1.0
USD000UTSTOM,2020,1215,1.0,1.0,2.0
USD000UTSTOM,2021,1240,1.0,1.0,2.0
USD000UTSTOM,2022,1235,1.0,1.0,2.0
USD000UTSTOM,2023,1235,1.0,1.0,1.0
USD000UTSTOM,2024,1240,0.43548387096774194,29.5,201.0
USD000UTSTOM,2025,1235,0.0,394.0,568.0
USD000UTSTOM,2026,810,0.845679012345679,1.0,613.0
