rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,270,1.0677966101694916,20,0,0.4444444444444444,0.3379032258064516,1.3153009811721028,0.5582661577504586,47.225209794881486,1.3153009811721028,1.3153009811721028,1,1,1.0084745762711864,1.1073446327683616,1.2077922077922076,0.8339622641509434,1.3153009811721028,1.0677966101694916,1.0677966101694916,0.6124999999999999,1.8295454545454546,4,no_moex,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2077922077922076,1
0.22,372,1.467042253521127,20,0,0.2768817204301075,0.22186234817813766,1.247988776391178,0.6063065389610882,-10.006759952634397,1.247988776391178,1.247988776391178,1,1,1.36056338028169,1.5380281690140845,0.8981818181818182,0.8174386920980926,1.247988776391178,1.467042253521127,1.467042253521127,0.8769230769230769,1.9886363636363638,4,no_moex,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,0.8981818181818182,1
0.22,272,1.6924444444444442,20,0,0.4522058823529412,0.3401273885350318,1.329519167217449,0.5937847960319871,68.94000881885798,1.329519167217449,1.329519167217449,1,1,1.4,1.8977777777777776,1.1017543859649124,0.9026217228464419,1.329519167217449,1.6924444444444442,1.6924444444444442,0.9955555555555555,2.45,3,no_moex,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1017543859649124,1
0.22,644,1.5204047217537946,20,0,0.35093167701863354,0.26782178217821784,1.3103179067978552,0.5639282674635282,23.337216919797164,1.247988776391178,1.2887539718043133,2,2,1.4401349072512648,1.6408094435075886,0.9903477861191972,0.8466353677621283,1.2887539718043133,1.467042253521127,1.6924444444444442,0.8769230769230769,2.45,7,no_moex,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,0.9903477861191972,1
0.22,289,1.1429378531073446,20,0,0.5570934256055363,0.3379032258064516,1.6486774409328522,0.6639350695786906,83.71876607198176,1.6486774409328522,1.6486774409328522,1,1,1.1271186440677967,1.1666666666666667,1.5684290412345054,0.7746478873239436,1.6486774409328522,1.1429378531073446,1.1429378531073446,0.7,1.7022727272727272,4,cny_only,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5684290412345054,2
0.22,317,1.2501408450704226,20,0,0.36908517350157727,0.22186234817813766,1.663577333118423,0.7250450033040401,24.809433909911263,1.663577333118423,1.663577333118423,1,1,1.2225352112676056,1.2816901408450705,1.596,0.8301282051282052,1.663577333118423,1.2501408450704226,1.2501408450704226,1.1538461538461537,1.5974358974358975,4,cny_only,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.596,2
0.22,197,1.2257777777777776,20,0,0.6243654822335025,0.3401273885350318,1.8356812867164776,0.7592259193382789,113.3596084679571,1.8356812867164776,1.8356812867164776,1,1,1.182222222222222,1.3066666666666666,1.4427736006683376,0.8072916666666666,1.8356812867164776,1.2257777777777776,1.2257777777777776,1.0888888888888888,1.425,3,cny_only,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4427736006683376,2
0.22,514,1.2134907251264757,20,0,0.4669260700389105,0.26782178217821784,1.743420816041773,0.7203823335695423,58.747924937022205,1.663577333118423,1.7496293099174502,2,2,1.1922428330522767,1.2630691399662732,1.5173377587562231,0.8133595284872298,1.7496293099174502,1.2257777777777776,1.2501408450704226,1.0888888888888888,1.5974358974358975,7,cny_only,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5173377587562231,2
0.22,284,1.1231638418079095,20,0,0.4647887323943662,0.3379032258064516,1.3755084204511077,0.6240672211256428,48.12914797621679,1.3755084204511077,1.3755084204511077,1,1,1.0677966101694916,1.1468926553672316,1.263157894736842,0.8172043010752689,1.3755084204511077,1.1231638418079095,1.1231638418079095,0.6124999999999999,1.925,4,usd_only,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.263157894736842,3
0.22,360,1.4197183098591548,20,0,0.28055555555555556,0.22186234817813766,1.2645478507704784,0.6269966655779792,-8.157572340925327,1.2645478507704784,1.2645478507704784,1,1,1.2028169014084507,1.5380281690140845,1.134864864864865,0.8084507042253521,1.2645478507704784,1.4197183098591548,1.4197183098591548,0.7384615384615384,2.2750000000000004,4,usd_only,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.134864864864865,3
0.22,229,1.4248888888888886,20,0,0.519650655021834,0.3401273885350318,1.5278118509068905,0.7311902592801469,88.31317532207832,1.5278118509068905,1.5278118509068905,1,1,1.3066666666666666,1.4933333333333332,1.1804511278195489,0.84375,1.5278118509068905,1.4248888888888886,1.4248888888888886,1.0733333333333333,1.8545454545454545,3,usd_only,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1804511278195489,3
0.22,589,1.3905564924114673,20,0,0.3735144312393888,0.26782178217821784,1.3946379872524315,0.6274847245291131,29.349730230938572,1.2645478507704784,1.3961798508386845,2,2,1.2866779089376055,1.4283305227655987,1.1641744548286603,0.815068493150685,1.3961798508386845,1.4197183098591548,1.4248888888888886,0.7384615384615384,2.2750000000000004,7,usd_only,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1641744548286603,3
0.22,325,1.2853107344632768,20,0,0.4492307692307692,0.3379032258064516,1.329465760969341,0.5792502303785767,52.27499044698902,1.329465760969341,1.329465760969341,1,1,1.2457627118644068,1.305084745762712,1.2338308457711442,0.859375,1.329465760969341,1.2853107344632768,1.2853107344632768,0.6649999999999999,2.2113636363636364,4,eur_only,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2338308457711442,4
0.22,384,1.5143661971830984,20,0,0.2942708333333333,0.22186234817813766,1.3263667122871046,0.6234286821057748,-3.48353874720874,1.3263667122871046,1.3263667122871046,1,1,1.4197183098591548,1.6169014084507043,1.188101265822785,0.8337730870712401,1.3263667122871046,1.5143661971830984,1.5143661971830984,0.8461538461538461,2.084090909090909,4,eur_only,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.188101265822785,4
