ticker,year,rows,available_rate,median_age_days,max_age_days
GLDRUB_TOM,2011,1231,0.0,,
GLDRUB_TOM,2012,1245,0.0,,
GLDRUB_TOM,2013,1230,0.14634146341463414,4.0,24.0
GLDRUB_TOM,2014,1235,0.9919028340080972,1.0,8.0
GLDRUB_TOM,2015,1235,1.0,1.0,6.0
GLDRUB_TOM,2016,1240,1.0,1.0,4.0
GLDRUB_TOM,2017,1235,1.0,1.0,5.0
GLDRUB_TOM,2018,1235,1.0,1.0,3.0
GLDRUB_TOM,2019,1230,1.0,1.0,5.0
GLDRUB_TOM,2020,1215,1.0,1.0,2.0
GLDRUB_TOM,2021,1240,1.0,1.0,2.0
GLDRUB_TOM,2022,1235,1.0,1.0,2.0
GLDRUB_TOM,2023,1235,1.0,1.0,1.0
GLDRUB_TOM,2024,1240,1.0,1.0,1.0
GLDRUB_TOM,2025,1235,1.0,1.0,1.0
GLDRUB_TOM,2026,810,1.0,1.0,1.0
IMOEX,2011,1231,1.0,1.0,1.0
IMOEX,2012,1245,1.0,1.0,2.0
IMOEX,2013,1230,1.0,1.0,1.0
IMOEX,2014,1235,1.0,1.0,2.0
IMOEX,2015,1235,1.0,1.0,2.0
IMOEX,2016,1240,1.0,1.0,2.0
IMOEX,2017,1235,1.0,1.0,1.0
IMOEX,2018,1235,1.0,1.0,1.0
IMOEX,2019,1230,1.0,1.0,1.0
IMOEX,2020,1215,1.0,1.0,2.0
IMOEX,2021,1240,1.0,1.0,2.0
IMOEX,2022,1235,0.9473684210526315,1.0,27.0
IMOEX,2023,1235,1.0,1.0,1.0
IMOEX,2024,1240,1.0,1.0,1.0
IMOEX,2025,1235,1.0,1.0,1.0
IMOEX,2026,810,1.0,1.0,1.0
RGBI,2011,1231,1.0,1.0,2.0
RGBI,2012,1245,1.0,1.0,2.0
RGBI,2013,1230,1.0,1.0,1.0
RGBI,2014,1235,1.0,1.0,2.0
RGBI,2015,1235,1.0,1.0,2.0
RGBI,2016,1240,1.0,1.0,2.0
RGBI,2017,1235,1.0,1.0,1.0
RGBI,2018,1235,1.0,1.0,1.0
RGBI,2019,1230,1.0,1.0,1.0
RGBI,2020,1215,1.0,1.0,2.0
RGBI,2021,1240,1.0,1.0,2.0
RGBI,2022,1235,0.9595141700404858,1.0,22.0
RGBI,2023,1235,1.0,1.0,1.0
RGBI,2024,1240,1.0,1.0,1.0
RGBI,2025,1235,1.0,1.0,1.0
RGBI,2026,810,1.0,1.0,1.0
RUSFAR,2011,1231,0.0,,
RUSFAR,2012,1245,0.0,,
RUSFAR,2013,1230,0.0,,
RUSFAR,2014,1235,0.0,,
RUSFAR,2015,1235,0.0,,
RUSFAR,2016,1240,0.0,,
RUSFAR,2017,1235,0.0,,
RUSFAR,2018,1235,1.0,1.0,2.0
RUSFAR,2019,1230,1.0,1.0,2.0
RUSFAR,2020,1215,1.0,1.0,2.0
RUSFAR,2021,1240,1.0,1.0,2.0
RUSFAR,2022,1235,1.0,1.0,2.0
RUSFAR,2023,1235,1.0,1.0,2.0
RUSFAR,2024,1240,1.0,1.0,2.0
RUSFAR,2025,1235,1.0,1.0,2.0
RUSFAR,2026,810,1.0,1.0,1.0
