candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
incumbent,overall,all,2020,535,1.2630691399662732,0.26782178217821784,0.5214953271028038,1.9471729403838514,85.28894873540864
incumbent,year,2025,1235,316,1.2461971830985916,0.22186234817813766,0.4588607594936709,2.068222766330962,64.1844585857615
incumbent,quarter,2025Q1,285,65,1.1666666666666667,0.15087719298245614,0.4307692307692308,2.855098389982111,20.185228231261572
incumbent,quarter,2025Q2,295,80,1.2727272727272727,0.16610169491525423,0.2875,1.7308673469387754,22.90562940794846
incumbent,quarter,2025Q3,330,95,1.4615384615384615,0.34545454545454546,0.5578947368421052,1.6149584487534625,104.69398198738985
incumbent,quarter,2025Q4,325,76,1.169230769230769,0.20923076923076922,0.5394736842105263,2.5783668730650158,94.62987416619372
incumbent,year,2026,785,219,1.3626666666666665,0.3401273885350318,0.6118721461187214,1.7989499427086006,115.74108977325565
incumbent,quarter,2026Q1,270,82,1.4909090909090907,0.2851851851851852,0.5121951219512195,1.7960088691796008,103.5618094525545
incumbent,quarter,2026Q2,310,69,1.0733333333333333,0.3032258064516129,0.5362318840579711,1.7684242984890535,104.29941692269712
incumbent,quarter,2026Q3,205,68,1.7,0.4682926829268293,0.8088235294117647,1.727175245098039,142.0378017289326
incumbent,currency,TJS,404,109,1.2866779089376055,0.2995049504950495,0.5871559633027523,1.9604215634240656,91.34079890739842
incumbent,currency,UZS,404,103,1.2158516020236088,0.2698019801980198,0.5048543689320388,1.871203349069208,84.46778786916629
incumbent,currency,KGS,404,106,1.2512647554806071,0.24257425742574257,0.5283018867924528,2.1778975741239894,84.08147880034109
incumbent,currency,AMD,404,110,1.2984822934232716,0.2623762376237624,0.5363636363636364,2.044253859348199,87.03467194066658
incumbent,currency,KZT,404,107,1.2630691399662732,0.26485148514851486,0.4485981308411215,1.693772381867412,79.3159595860148
selected,overall,all,2020,545,1.2866779089376055,0.26782178217821784,0.5064220183486239,1.8908918245179671,81.77723132931575
selected,year,2025,1235,330,1.3014084507042254,0.22186234817813766,0.40606060606060607,1.8302366733023667,56.892305909235944
selected,quarter,2025Q1,285,88,1.5794871794871796,0.15087719298245614,0.25,1.6569767441860466,17.595842990452464
selected,quarter,2025Q2,295,65,1.0340909090909092,0.16610169491525423,0.2923076923076923,1.7598116169544742,22.910206050121463
selected,quarter,2025Q3,330,93,1.4307692307692308,0.34545454545454546,0.5053763440860215,1.4629315223542727,102.41633752630052
selected,quarter,2025Q4,325,84,1.2923076923076924,0.20923076923076922,0.5476190476190477,2.6172969187675075,73.95409504385951
selected,year,2026,785,215,1.3377777777777777,0.3401273885350318,0.6604651162790698,1.9418169149028832,119.97269825315924
selected,quarter,2026Q1,270,85,1.5454545454545454,0.2851851851851852,0.611764705882353,2.1451489686783805,113.49644991311386
selected,quarter,2026Q2,310,74,1.1511111111111112,0.3032258064516129,0.527027027027027,1.7380678550891315,86.34432686928277
selected,quarter,2026Q3,205,56,1.4,0.4682926829268293,0.9107142857142857,1.9447544642857142,174.24020881227912
selected,currency,TJS,404,109,1.2866779089376055,0.2995049504950495,0.5412844036697247,1.8072636287815604,81.83093124624847
selected,currency,UZS,404,115,1.3575042158516022,0.2698019801980198,0.48695652173913045,1.8048663741523734,78.47319246312671
selected,currency,KGS,404,107,1.2630691399662732,0.24257425742574257,0.5046728971962616,2.0804882700743845,78.61696357239289
selected,currency,AMD,404,106,1.2512647554806071,0.2623762376237624,0.5283018867924528,2.0135279458882165,82.09027300657974
selected,currency,KZT,404,108,1.2748735244519394,0.26485148514851486,0.4722222222222222,1.782969885773624,88.06498513363846
matched_stale20,overall,all,2020,514,1.2134907251264757,0.26782178217821784,0.2587548638132296,0.9661457022231492,-5.125149681141931
matched_stale20,year,2025,1235,333,1.3132394366197182,0.22186234817813766,0.23423423423423423,1.0557637929900703,-15.596501499561082
matched_stale20,quarter,2025Q1,285,83,1.48974358974359,0.15087719298245614,0.14457831325301204,0.9582516110955449,-85.86632305836379
matched_stale20,quarter,2025Q2,295,66,1.05,0.16610169491525423,0.22727272727272727,1.3682745825602969,-14.264928806343478
matched_stale20,quarter,2025Q3,330,80,1.2307692307692308,0.34545454545454546,0.3375,0.9769736842105263,36.74612830279665
matched_stale20,quarter,2025Q4,325,104,1.6,0.20923076923076922,0.23076923076923078,1.1029411764705883,-0.6243764280260421
matched_stale20,year,2026,785,181,1.1262222222222222,0.3401273885350318,0.30386740331491713,0.8933929273491009,14.139823553850203
matched_stale20,quarter,2026Q1,270,58,1.0545454545454545,0.2851851851851852,0.29310344827586204,1.0277653381101655,33.81750590682977
matched_stale20,quarter,2026Q2,310,77,1.1977777777777778,0.3032258064516129,0.2987012987012987,0.9850787510361978,3.7107947493550144
matched_stale20,quarter,2026Q3,205,46,1.15,0.4682926829268293,0.32608695652173914,0.6963315217391304,6.786120107617916
matched_stale20,currency,TJS,404,103,1.2158516020236088,0.2995049504950495,0.2912621359223301,0.9724785364679451,-2.031768672295638
matched_stale20,currency,UZS,404,98,1.1568296795952784,0.2698019801980198,0.29591836734693877,1.0967983523684703,-3.6531815432351302
matched_stale20,currency,KGS,404,103,1.2158516020236088,0.24257425742574257,0.22330097087378642,0.9205468595205073,-10.198595368844861
matched_stale20,currency,AMD,404,101,1.1922428330522767,0.2623762376237624,0.2871287128712871,1.0943396226415094,-9.248137351112993
matched_stale20,currency,KZT,404,109,1.2866779089376055,0.26485148514851486,0.2018348623853211,0.7620680785389694,-0.7571172125690485
