candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
full_extra,1.537275925615681,1.5876123063631546,5.8211869530057445,56.87582244705134
full_hist,1.4899713467048712,1.5390201301467523,12.88561376671423,53.78192701880373
full_logit,1.373946636666596,1.5354942386156272,13.194921325680326,50.42159993985711
incumbent,1.424175824175824,1.4780910090963848,2.039553329844701,46.38983128414809
incumbent75_full_extra25,1.4187643020594967,1.5116408269355075,1.236294418167364,43.886289403362625
incumbent75_full_hist25,1.4263908859639423,1.5565991765344296,3.1211421236684465,45.34482262396309
incumbent75_full_logit25,1.422808483725973,1.5323696310401673,8.189291038027271,49.082576882368784
incumbent75_noon_extra25,1.4431903026044182,1.6079070034960279,6.835160689404335,49.67930946974102
incumbent75_noon_hist25,1.442753494956645,1.5943464013514101,4.552927356884648,46.80218011330582
incumbent75_noon_logit25,1.4084445512330441,1.5384500246667625,6.549570124457843,49.361379555055784
incumbent90_full_extra10,1.4115441274943084,1.510557485917822,3.0286355138513095,43.94906126908898
incumbent90_full_hist10,1.3989031897034134,1.5023636623256789,2.9559324445160358,43.56323431596339
incumbent90_full_logit10,1.4093681012436885,1.500970389810901,3.2463615258097387,43.47145201613349
incumbent90_noon_extra10,1.4073105313324317,1.5091177901236998,2.852171850808817,43.95369685762242
incumbent90_noon_hist10,1.4220810727360946,1.532531775863779,2.6620208003740533,44.02314302236167
incumbent90_noon_logit10,1.4111419875612017,1.5235314598939627,2.7958781865988325,44.11595150217702
noon_extra,1.41494642736809,1.670928135472332,15.128537520469802,51.405115212113024
noon_hist,1.54838067757823,1.7370527080280773,15.263272831580984,55.9105406412515
noon_logit,1.3625632377740304,1.458685881324008,9.00177726430797,47.32991155959447
