candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.424175824175824,1.4780910090963848,2.039553329844701,46.38983128414809
incumbent50_regime50,1.389260827981965,1.5052949795646628,2.648779695455958,41.95787676741919
regime,1.3831743869209812,1.5317453437440898,4.271216600719534,40.74090530238787
router_equal_hist_hard,1.2323651452282156,1.5572881463130797,-39.01717815338335,58.820237807682695
router_equal_hist_soft,1.298360655737705,1.580256243726573,-44.01724942416945,67.37295277172669
router_equal_logit_hard,1.3156146179401995,1.5908259618709644,-45.609749634704556,68.7826037079235
router_equal_logit_soft,1.3141592920353984,1.6112815826360287,-45.02286697183872,74.01652124657467
router_equal_logit_soft_stale20,1.1065868263473055,1.5631116487160959,-41.55311471883738,63.33888584478709
router_equal_tree_hard,1.3333333333333333,1.607353584714895,-45.80246742730227,72.23119797240795
router_equal_tree_soft,1.3333333333333333,1.637553164833934,-46.27372637522219,68.77871490319109
router_tail_hist_hard,1.2478991596638656,1.5723362167960804,-39.11302209413093,61.92004569751765
router_tail_hist_soft,1.298360655737705,1.580256243726573,-44.01724942416945,67.37295277172669
router_tail_logit_hard,1.3156146179401995,1.5908259618709644,-45.609749634704556,68.7826037079235
router_tail_logit_soft,1.3333333333333333,1.607353584714895,-45.80246742730227,72.23119797240795
router_tail_tree_hard,1.3333333333333333,1.607353584714895,-45.80246742730227,72.23119797240795
router_tail_tree_soft,1.3156146179401995,1.5860031631862728,-45.80893736531206,68.82876539397462
