kind,quarter,n_train,last_resolved,regime_weight_mean,n_features,objective
logit,2024-10-01,810,2024-09-28,0.5030164043941104,42,equal
logit,2025-01-01,1140,2024-12-29,0.44516648631831096,42,equal
logit,2025-04-01,1425,2025-03-29,0.5274656177659465,42,equal
logit,2025-07-01,1720,2025-06-28,0.6566092129381113,42,equal
logit,2025-10-01,2050,2025-09-30,0.4879087222788686,42,equal
logit,2026-01-01,2375,2025-12-31,0.5542493788181608,42,equal
logit,2026-04-01,2645,2026-03-31,0.5884328381596271,42,equal
logit,2026-07-01,2955,2026-06-30,0.5851262732667077,42,equal
hist,2024-10-01,810,2024-09-28,0.46748163204135146,42,equal
hist,2025-01-01,1140,2024-12-29,0.4126412350270509,42,equal
hist,2025-04-01,1425,2025-03-29,0.5499329597188959,42,equal
hist,2025-07-01,1720,2025-06-28,0.5866431387601072,42,equal
hist,2025-10-01,2050,2025-09-30,0.5975720209563059,42,equal
hist,2026-01-01,2375,2025-12-31,0.5288234573756521,42,equal
hist,2026-04-01,2645,2026-03-31,0.5755323210308508,42,equal
hist,2026-07-01,2955,2026-06-30,0.6102525405093231,42,equal
tree,2024-10-01,810,2024-09-28,0.5524879323684773,42,equal
tree,2025-01-01,1140,2024-12-29,0.49768788559731986,42,equal
tree,2025-04-01,1425,2025-03-29,0.5794006559311464,42,equal
tree,2025-07-01,1720,2025-06-28,0.6317605560855937,42,equal
tree,2025-10-01,2050,2025-09-30,0.6086308914470294,42,equal
tree,2026-01-01,2375,2025-12-31,0.4768298731597245,42,equal
tree,2026-04-01,2645,2026-03-31,0.5472939106706718,42,equal
tree,2026-07-01,2955,2026-06-30,0.5880272450946684,42,equal
logit,2024-10-01,810,2024-09-28,0.4859397040153456,42,tail
logit,2025-01-01,1140,2024-12-29,0.3747000293460766,42,tail
logit,2025-04-01,1425,2025-03-29,0.5940108291048182,42,tail
logit,2025-07-01,1720,2025-06-28,0.7385440878152536,42,tail
logit,2025-10-01,2050,2025-09-30,0.5570480556777334,42,tail
logit,2026-01-01,2375,2025-12-31,0.5578785262951325,42,tail
logit,2026-04-01,2645,2026-03-31,0.6566664632556084,42,tail
logit,2026-07-01,2955,2026-06-30,0.6281638917112211,42,tail
hist,2024-10-01,810,2024-09-28,0.4818332689767032,42,tail
hist,2025-01-01,1140,2024-12-29,0.40684744098411374,42,tail
hist,2025-04-01,1425,2025-03-29,0.628862050368589,42,tail
hist,2025-07-01,1720,2025-06-28,0.6723782447880939,42,tail
hist,2025-10-01,2050,2025-09-30,0.6251282610283887,42,tail
hist,2026-01-01,2375,2025-12-31,0.5445278068933668,42,tail
hist,2026-04-01,2645,2026-03-31,0.6557791774519534,42,tail
hist,2026-07-01,2955,2026-06-30,0.6181446603938162,42,tail
tree,2024-10-01,810,2024-09-28,0.4628443847942606,42,tail
tree,2025-01-01,1140,2024-12-29,0.47678887327503083,42,tail
tree,2025-04-01,1425,2025-03-29,0.6273472994453055,42,tail
tree,2025-07-01,1720,2025-06-28,0.6768165374497991,42,tail
tree,2025-10-01,2050,2025-09-30,0.6663634536265345,42,tail
tree,2026-01-01,2375,2025-12-31,0.47445117945474174,42,tail
tree,2026-04-01,2645,2026-03-31,0.6542801026136957,42,tail
tree,2026-07-01,2955,2026-06-30,0.6416211661652184,42,tail
logit,2024-10-01,710,2024-09-28,0.4525283798914407,42,equal_stale20
logit,2025-01-01,1040,2024-12-29,0.5214786241858116,42,equal_stale20
logit,2025-04-01,1325,2025-03-29,0.38245312142956855,42,equal_stale20
logit,2025-07-01,1620,2025-06-28,0.3493862912091143,42,equal_stale20
logit,2025-10-01,1950,2025-09-30,0.50172098579438,42,equal_stale20
logit,2026-01-01,2275,2025-12-31,0.4913235393163524,42,equal_stale20
logit,2026-04-01,2545,2026-03-31,0.5320623508224815,42,equal_stale20
logit,2026-07-01,2855,2026-06-30,0.5319597008341339,42,equal_stale20
