kind,quarter,n_train_replicas,n_test_rows,last_resolved,n_features,n_train_by_horizon,stale
hist,2024-01-01,10205,285,2023-12-30,48,"{""1"": 2075, ""10"": 2030, ""20"": 1980, ""3"": 2065, ""5"": 2055}",False
hist,2024-04-01,11630,300,2024-03-30,48,"{""1"": 2360, ""10"": 2315, ""20"": 2265, ""3"": 2350, ""5"": 2340}",False
hist,2024-07-01,13130,325,2024-06-29,48,"{""1"": 2660, ""10"": 2615, ""20"": 2565, ""3"": 2650, ""5"": 2640}",False
hist,2024-10-01,14755,330,2024-09-28,48,"{""1"": 2985, ""10"": 2940, ""20"": 2890, ""3"": 2975, ""5"": 2965}",False
hist,2025-01-01,16405,285,2024-12-29,48,"{""1"": 3315, ""10"": 3270, ""20"": 3220, ""3"": 3305, ""5"": 3295}",False
hist,2025-04-01,17830,295,2025-03-29,48,"{""1"": 3600, ""10"": 3555, ""20"": 3505, ""3"": 3590, ""5"": 3580}",False
hist,2025-07-01,19305,330,2025-06-28,48,"{""1"": 3895, ""10"": 3850, ""20"": 3800, ""3"": 3885, ""5"": 3875}",False
hist,2025-10-01,20955,325,2025-09-30,48,"{""1"": 4225, ""10"": 4180, ""20"": 4130, ""3"": 4215, ""5"": 4205}",False
hist,2026-01-01,22580,270,2025-12-31,48,"{""1"": 4550, ""10"": 4505, ""20"": 4455, ""3"": 4540, ""5"": 4530}",False
hist,2026-04-01,23930,310,2026-03-31,48,"{""1"": 4820, ""10"": 4775, ""20"": 4725, ""3"": 4810, ""5"": 4800}",False
hist,2026-07-01,25480,230,2026-06-30,48,"{""1"": 5130, ""10"": 5085, ""20"": 5035, ""3"": 5120, ""5"": 5110}",False
hist,2024-01-01,10205,285,2023-12-30,48,"{""1"": 2075, ""10"": 2030, ""20"": 1980, ""3"": 2065, ""5"": 2055}",True
hist,2024-04-01,11630,300,2024-03-30,48,"{""1"": 2360, ""10"": 2315, ""20"": 2265, ""3"": 2350, ""5"": 2340}",True
hist,2024-07-01,13130,325,2024-06-29,48,"{""1"": 2660, ""10"": 2615, ""20"": 2565, ""3"": 2650, ""5"": 2640}",True
hist,2024-10-01,14755,330,2024-09-28,48,"{""1"": 2985, ""10"": 2940, ""20"": 2890, ""3"": 2975, ""5"": 2965}",True
hist,2025-01-01,16405,285,2024-12-29,48,"{""1"": 3315, ""10"": 3270, ""20"": 3220, ""3"": 3305, ""5"": 3295}",True
hist,2025-04-01,17830,295,2025-03-29,48,"{""1"": 3600, ""10"": 3555, ""20"": 3505, ""3"": 3590, ""5"": 3580}",True
hist,2025-07-01,19305,330,2025-06-28,48,"{""1"": 3895, ""10"": 3850, ""20"": 3800, ""3"": 3885, ""5"": 3875}",True
hist,2025-10-01,20955,325,2025-09-30,48,"{""1"": 4225, ""10"": 4180, ""20"": 4130, ""3"": 4215, ""5"": 4205}",True
hist,2026-01-01,22580,270,2025-12-31,48,"{""1"": 4550, ""10"": 4505, ""20"": 4455, ""3"": 4540, ""5"": 4530}",True
hist,2026-04-01,23930,310,2026-03-31,48,"{""1"": 4820, ""10"": 4775, ""20"": 4725, ""3"": 4810, ""5"": 4800}",True
hist,2026-07-01,25480,230,2026-06-30,48,"{""1"": 5130, ""10"": 5085, ""20"": 5035, ""3"": 5120, ""5"": 5110}",True
extra,2024-01-01,10205,285,2023-12-30,48,"{""1"": 2075, ""10"": 2030, ""20"": 1980, ""3"": 2065, ""5"": 2055}",False
extra,2024-04-01,11630,300,2024-03-30,48,"{""1"": 2360, ""10"": 2315, ""20"": 2265, ""3"": 2350, ""5"": 2340}",False
extra,2024-07-01,13130,325,2024-06-29,48,"{""1"": 2660, ""10"": 2615, ""20"": 2565, ""3"": 2650, ""5"": 2640}",False
extra,2024-10-01,14755,330,2024-09-28,48,"{""1"": 2985, ""10"": 2940, ""20"": 2890, ""3"": 2975, ""5"": 2965}",False
extra,2025-01-01,16405,285,2024-12-29,48,"{""1"": 3315, ""10"": 3270, ""20"": 3220, ""3"": 3305, ""5"": 3295}",False
extra,2025-04-01,17830,295,2025-03-29,48,"{""1"": 3600, ""10"": 3555, ""20"": 3505, ""3"": 3590, ""5"": 3580}",False
