candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,period
hedge_global_eta10_rho0p97,304,1.1416514598540144,0.6797773984165761,1.4143810086635382,0.2659335166208448,-66.96506600911763,19.99380778354188,2025
hedge_local_eta20_rho1,333,1.1099055259639201,0.7170160158524682,1.5123788613956548,0.3176705823544114,-53.49444408408114,29.259017911077564,2025
hedge_local_eta10_rho0p99,373,1.11171992720299,0.7269174928414868,1.476705916919818,0.3179205198700325,-51.62431874212513,24.368994308050976,2025
hedge_global_eta20_rho1,343,1.0512651358770828,0.6752800815291112,1.4282037954108924,0.4393901524618845,-51.978635224786885,24.5060553277687,2025
hedge_hierarchical_eta10_rho0p97,245,1.1406226724266348,0.6657592738682618,1.4585660928892763,0.3074231442139465,-82.87627935706031,22.611682169426487,2025
hedge_global_eta5_rho0p97,374,1.1087474140286506,0.714783017157884,1.470256112054694,0.3096725818545364,-50.759560530786175,25.015514521934264,2025
hedge_local_eta2_rho0p99,357,1.0100390521171974,0.6290714840676387,1.3900155067037494,0.5081229692576856,-53.24811313008543,21.780108003992815,2025
hedge_hierarchical_eta20_rho1,331,1.1166119037643063,0.7414034004171862,1.50412428597752,0.3081729567608098,-52.292297162345726,26.869685390222664,2025
hedge_global_eta10_rho0p97,550,1.2287682742396235,0.9611742610630671,1.4691817966807044,0.04223944013996501,-24.92348861507067,49.471589646818074,2025_2026
hedge_local_eta20_rho1,587,1.214924724546316,0.9324680892672421,1.4847282667534618,0.06923269182704324,-17.791292409321624,57.45016564630031,2025_2026
hedge_local_eta10_rho0p99,654,1.1818073903237294,0.9265474834902256,1.426749689823478,0.08197950512371907,-20.136949376674977,50.99301561773291,2025_2026
hedge_global_eta20_rho1,590,1.1834330649456435,0.9033882091399815,1.4517028707032515,0.10197450637340665,-17.85816986375482,55.42501766072666,2025_2026
hedge_hierarchical_eta10_rho0p97,413,1.112011206938993,0.8353073878222629,1.3260253768864654,0.20744813796550862,-54.31785499334755,37.12102186819889,2025_2026
hedge_global_eta5_rho0p97,651,1.1872535073298296,0.9399071255320474,1.4303781676403944,0.07248187953011748,-18.172006641335148,50.4861333805148,2025_2026
hedge_local_eta2_rho0p99,607,1.150289140556721,0.8747808850977503,1.419338245538835,0.1462134466383404,-19.321894307197283,51.8750320878512,2025_2026
hedge_hierarchical_eta20_rho1,583,1.223260400186428,0.9435350738492222,1.4933572753260307,0.060484878780304924,-16.67901437535376,57.657249945461665,2025_2026
