candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
incumbent,overall,all,2020,535,1.2630691399662732,0.26782178217821784,0.5214953271028038,1.9471729403838514,85.28894873540864
incumbent,year,2025,1235,316,1.2461971830985916,0.22186234817813766,0.4588607594936709,2.068222766330962,64.1844585857615
incumbent,quarter,2025Q1,285,65,1.1666666666666667,0.15087719298245614,0.4307692307692308,2.855098389982111,20.185228231261572
incumbent,quarter,2025Q2,295,80,1.2727272727272727,0.16610169491525423,0.2875,1.7308673469387754,22.90562940794846
incumbent,quarter,2025Q3,330,95,1.4615384615384615,0.34545454545454546,0.5578947368421052,1.6149584487534625,104.69398198738985
incumbent,quarter,2025Q4,325,76,1.169230769230769,0.20923076923076922,0.5394736842105263,2.5783668730650158,94.62987416619372
incumbent,year,2026,785,219,1.3626666666666665,0.3401273885350318,0.6118721461187214,1.7989499427086006,115.74108977325565
incumbent,quarter,2026Q1,270,82,1.4909090909090907,0.2851851851851852,0.5121951219512195,1.7960088691796008,103.5618094525545
incumbent,quarter,2026Q2,310,69,1.0733333333333333,0.3032258064516129,0.5362318840579711,1.7684242984890535,104.29941692269712
incumbent,quarter,2026Q3,205,68,1.7,0.4682926829268293,0.8088235294117647,1.727175245098039,142.0378017289326
incumbent,currency,TJS,404,109,1.2866779089376055,0.2995049504950495,0.5871559633027523,1.9604215634240656,91.34079890739842
incumbent,currency,UZS,404,103,1.2158516020236088,0.2698019801980198,0.5048543689320388,1.871203349069208,84.46778786916629
incumbent,currency,KGS,404,106,1.2512647554806071,0.24257425742574257,0.5283018867924528,2.1778975741239894,84.08147880034109
incumbent,currency,AMD,404,110,1.2984822934232716,0.2623762376237624,0.5363636363636364,2.044253859348199,87.03467194066658
incumbent,currency,KZT,404,107,1.2630691399662732,0.26485148514851486,0.4485981308411215,1.693772381867412,79.3159595860148
selected,overall,all,2020,521,1.2300168634064081,0.26782178217821784,0.5143953934740882,1.9206630218441,84.71623880087475
selected,year,2025,1235,306,1.2067605633802818,0.22186234817813766,0.434640522875817,1.9590549115023137,59.71519624233109
selected,quarter,2025Q1,285,64,1.1487179487179489,0.15087719298245614,0.46875,3.1068313953488373,14.304817210252587
selected,quarter,2025Q2,295,61,0.9704545454545455,0.16610169491525423,0.29508196721311475,1.7765138842422215,30.8281125351896
selected,quarter,2025Q3,330,98,1.5076923076923079,0.34545454545454546,0.45918367346938777,1.3292158968850698,89.12822646145088
selected,quarter,2025Q4,325,83,1.276923076923077,0.20923076923076922,0.4819277108433735,2.303330970942594,81.23205651600473
selected,year,2026,785,215,1.3377777777777777,0.3401273885350318,0.627906976744186,1.846093545858375,120.29911797722056
selected,quarter,2026Q1,270,79,1.4363636363636365,0.2851851851851852,0.569620253164557,1.9973697188887063,126.42009863766589
selected,quarter,2026Q2,310,76,1.182222222222222,0.3032258064516129,0.5,1.648936170212766,85.74157526067764
selected,quarter,2026Q3,205,60,1.5,0.4682926829268293,0.8666666666666667,1.8506944444444444,156.01271421525536
selected,currency,TJS,404,106,1.2512647554806071,0.2995049504950495,0.5377358490566038,1.7954155621394043,84.35908604894433
selected,currency,UZS,404,100,1.1804384485666106,0.2698019801980198,0.49,1.8161467889908256,79.90501171473383
selected,currency,KGS,404,105,1.239460370994941,0.24257425742574257,0.5047619047619047,2.080855199222546,81.80633931774346
selected,currency,AMD,404,106,1.2512647554806071,0.2623762376237624,0.5283018867924528,2.0135279458882165,88.95671091602013
selected,currency,KZT,404,104,1.2276559865092749,0.26485148514851486,0.5096153846153846,1.9241552839683678,88.32229939551014
matched_stale20,overall,all,2020,568,1.3409780775716695,0.26782178217821784,0.36971830985915494,1.3804639296034988,34.19195523928149
matched_stale20,year,2025,1235,370,1.4591549295774648,0.22186234817813766,0.2810810810810811,1.2669165515880845,-0.5939759050248417
matched_stale20,quarter,2025Q1,285,89,1.5974358974358975,0.15087719298245614,0.3146067415730337,2.085184217402665,-43.98962155752609
matched_stale20,quarter,2025Q2,295,86,1.3681818181818182,0.16610169491525423,0.18604651162790697,1.1200759373516849,-17.391819355901294
matched_stale20,quarter,2025Q3,330,105,1.6153846153846154,0.34545454545454546,0.3523809523809524,1.0200501253132832,43.70955772825879
matched_stale20,quarter,2025Q4,325,90,1.3846153846153846,0.20923076923076922,0.25555555555555554,1.2214052287581698,6.6833126322330045
matched_stale20,year,2026,785,198,1.232,0.3401273885350318,0.5353535353535354,1.5739794953278101,99.19596798369233
matched_stale20,quarter,2026Q1,270,71,1.2909090909090908,0.2851851851851852,0.352112676056338,1.2346808121456008,78.95481883969134
matched_stale20,quarter,2026Q2,310,52,0.8088888888888889,0.3032258064516129,0.5576923076923077,1.8391980360065467,83.82594516765916
matched_stale20,quarter,2026Q3,205,75,1.875,0.4682926829268293,0.6933333333333334,1.4805555555555556,129.01413832579627
matched_stale20,currency,TJS,404,118,1.3929173693086003,0.2995049504950495,0.3983050847457627,1.329878134192464,44.56071233304397
matched_stale20,currency,UZS,404,106,1.2512647554806071,0.2698019801980198,0.4056603773584906,1.5035485546131209,36.04730321099941
matched_stale20,currency,KGS,404,110,1.2984822934232716,0.24257425742574257,0.3181818181818182,1.3116883116883118,24.644046979657027
matched_stale20,currency,AMD,404,111,1.3102866779089377,0.2623762376237624,0.35135135135135137,1.3391126976032637,33.664874414818236
matched_stale20,currency,KZT,404,123,1.451939291736931,0.26485148514851486,0.37398373983739835,1.4120507560215787,31.660212621460687
