rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,338,1.3367231638418078,60,0,0.4319526627218935,0.3379032258064516,1.2783324624705201,0.5756688246186762,47.074113228167725,1.2783324624705201,1.2783324624705201,1,1,1.2062146892655368,1.423728813559322,1.1851851851851851,0.9279279279279279,1.2783324624705201,1.3367231638418078,1.3367231638418078,0.7393258426966293,2.2113636363636364,4,screen_2024,primary80_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1851851851851851,12
0.22,311,1.2264788732394367,60,0,0.31511254019292606,0.22186234817813766,1.420306522402422,0.6240021419294075,-0.8619376231466991,1.420306522402422,1.420306522402422,1,1,1.123943661971831,1.3014084507042254,1.220657276995305,0.8464052287581699,1.420306522402422,1.2264788732394367,1.2264788732394367,0.7846153846153846,2.5846153846153848,4,retrospective_2025,primary80_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.220657276995305,12
0.22,231,1.4373333333333334,60,0,0.4588744588744589,0.3401273885350318,1.3491252817095514,0.5575824620768441,72.96064987211184,1.3491252817095514,1.3491252817095514,1,1,1.3066666666666666,1.5244444444444443,1.2580128205128207,0.9380530973451328,1.3491252817095514,1.4373333333333334,1.4373333333333334,0.21777777777777776,2.381818181818182,3,retrospective_2026,primary80_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,12
0.22,542,1.279595278246206,60,0,0.3763837638376384,0.26782178217821784,1.4053515766211266,0.6094416095203459,30.601194685718102,1.3491252817095514,1.3847159020559867,2,2,1.2158516020236088,1.33389544688027,1.2642220974083287,0.8770949720670391,1.3847159020559867,1.2264788732394367,1.4373333333333334,0.21777777777777776,2.5846153846153848,7,combined_2025_2026,primary80_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2642220974083287,12
0.22,340,1.344632768361582,60,0,0.4264705882352941,0.3379032258064516,1.262108662080584,0.5753737656214117,46.32915349127587,1.262108662080584,1.262108662080584,1,1,1.305084745762712,1.384180790960452,1.1951807228915663,0.9253731343283582,1.262108662080584,1.344632768361582,1.344632768361582,0.7393258426966293,2.2272727272727275,4,screen_2024,primary75_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1951807228915663,11
0.22,312,1.2304225352112677,60,0,0.3076923076923077,0.22186234817813766,1.3868613138686132,0.6239489734689383,-2.714370930633115,1.3868613138686132,1.3868613138686132,1,1,1.143661971830986,1.3211267605633803,1.1996114618746965,0.8599348534201955,1.3868613138686132,1.2304225352112677,1.2304225352112677,0.8,2.6384615384615384,4,retrospective_2025,primary75_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1996114618746965,11
0.22,230,1.431111111111111,60,0,0.46956521739130436,0.3401273885350318,1.3805569125549586,0.5571124896967593,78.88729526214664,1.3805569125549586,1.3805569125549586,1,1,1.3377777777777777,1.4933333333333332,1.2580128205128207,0.9422222222222222,1.3805569125549586,1.431111111111111,1.431111111111111,0.15555555555555556,2.4,3,retrospective_2026,primary75_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,11
0.22,542,1.279595278246206,60,0,0.3763837638376384,0.26782178217821784,1.4053515766211266,0.6086354995819476,31.913642398406264,1.3805569125549586,1.3837091132117858,2,2,1.2276559865092749,1.33389544688027,1.2520661157024793,0.8864059590316573,1.3837091132117858,1.2304225352112677,1.431111111111111,0.15555555555555556,2.6384615384615384,7,combined_2025_2026,primary75_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2520661157024793,11
0.22,338,1.3367231638418078,60,0,0.4260355029585799,0.3379032258064516,1.2608210588750337,0.5747313218933776,45.102449952465676,1.2608210588750337,1.2608210588750337,1,1,1.305084745762712,1.364406779661017,1.1980676328502415,0.9279279279279279,1.2608210588750337,1.3367231638418078,1.3367231638418078,0.7235955056179775,2.2113636363636364,4,screen_2024,primary67_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1980676328502415,10
0.22,307,1.2107042253521125,60,0,0.30293159609120524,0.22186234817813766,1.3654033619439359,0.6232900643338372,-5.462663359435969,1.3654033619439359,1.3654033619439359,1,1,1.143661971830986,1.2422535211267605,1.1396308887809616,0.890728476821192,1.3654033619439359,1.2107042253521125,1.2107042253521125,0.7538461538461539,2.7102564102564104,4,retrospective_2025,primary67_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1396308887809616,10
0.22,222,1.381333333333333,60,0,0.47297297297297297,0.3401273885350318,1.3905759692276547,0.5553482856853644,80.71834110664962,1.3905759692276547,1.3905759692276547,1,1,1.2755555555555553,1.431111111111111,1.2470735785953178,0.9585253456221198,1.3905759692276547,1.381333333333333,1.381333333333333,0.06222222222222222,2.3636363636363638,3,retrospective_2026,primary67_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2470735785953178,10
0.22,529,1.2489038785834738,60,0,0.3742911153119093,0.26782178217821784,1.3975379906285705,0.6069401691456109,30.70403416697424,1.3654033619439359,1.3779896655857953,2,2,1.2276559865092749,1.2748735244519394,1.2520661157024793,0.9103053435114504,1.3779896655857953,1.2107042253521125,1.381333333333333,0.06222222222222222,2.7102564102564104,7,combined_2025_2026,primary67_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2520661157024793,10
0.22,335,1.3248587570621468,60,0,0.43283582089552236,0.3379032258064516,1.2809461047982047,0.5760554536495746,47.1905997242945,1.2809461047982047,1.2809461047982047,1,1,1.2062146892655368,1.4039548022598871,1.2018779342723005,0.9303030303030303,1.2809461047982047,1.3248587570621468,1.3248587570621468,0.7393258426966293,2.1954545454545458,4,screen_2024,primary80_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2018779342723005,8
0.22,310,1.2225352112676056,60,0,0.3193548387096774,0.22186234817813766,1.4394278314104072,0.6242755797261066,-0.6199704257932925,1.4394278314104072,1.4394278314104072,1,1,1.143661971830986,1.3014084507042254,1.2595920349684313,0.8491803278688524,1.4394278314104072,1.2225352112676056,1.2225352112676056,0.7692307692307693,2.566666666666667,4,retrospective_2025,primary80_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2595920349684313,8
0.22,231,1.4373333333333334,60,0,0.4588744588744589,0.3401273885350318,1.3491252817095514,0.5575643862160716,72.96064987211184,1.3491252817095514,1.3491252817095514,1,1,1.3066666666666666,1.5244444444444443,1.2580128205128207,0.9380530973451328,1.3491252817095514,1.4373333333333334,1.4373333333333334,0.21777777777777776,2.381818181818182,3,retrospective_2026,primary80_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,8
0.22,541,1.2772344013490726,60,0,0.3789279112754159,0.26782178217821784,1.4148509811022922,0.6096015817251752,30.798002381630155,1.3491252817095514,1.3942765565599793,2,2,1.2276559865092749,1.33389544688027,1.2841703750794662,0.878731343283582,1.3942765565599793,1.2225352112676056,1.4373333333333334,0.21777777777777776,2.566666666666667,7,combined_2025_2026,primary80_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2841703750794662,8
0.22,336,1.328813559322034,60,0,0.42857142857142855,0.3379032258064516,1.268325946130242,0.5759493486899672,46.278025250106694,1.268325946130242,1.268325946130242,1,1,1.265536723163842,1.384180790960452,1.2145522388059702,0.9274924471299094,1.268325946130242,1.328813559322034,1.328813559322034,0.7393258426966293,2.1954545454545458,4,screen_2024,primary75_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2145522388059702,4
0.22,313,1.2343661971830986,60,0,0.30990415335463256,0.22186234817813766,1.396830764207924,0.6242110180241082,-2.5940041908516336,1.396830764207924,1.396830764207924,1,1,1.143661971830986,1.3211267605633803,1.1996114618746965,0.8571428571428571,1.396830764207924,1.2343661971830986,1.2343661971830986,0.8,2.6384615384615384,4,retrospective_2025,primary75_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1996114618746965,4
0.22,229,1.4248888888888886,60,0,0.4672489082969432,0.3401273885350318,1.3737467903112377,0.5571016441802958,78.18372864798283,1.3737467903112377,1.3737467903112377,1,1,1.3377777777777777,1.4933333333333332,1.2580128205128207,0.9419642857142857,1.3737467903112377,1.4248888888888886,1.4248888888888886,0.15555555555555556,2.4,3,retrospective_2026,primary75_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,4
0.22,542,1.279595278246206,60,0,0.3763837638376384,0.26782178217821784,1.4053515766211266,0.6088735832149164,31.53533311559319,1.3737467903112377,1.3852887772595808,2,2,1.2276559865092749,1.33389544688027,1.2520661157024793,0.8845437616387337,1.3852887772595808,1.2343661971830986,1.4248888888888886,0.15555555555555556,2.6384615384615384,7,combined_2025_2026,primary75_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2520661157024793,4
0.22,338,1.3367231638418078,60,0,0.4230769230769231,0.3379032258064516,1.2520653570772904,0.5754319053253062,44.84633722068583,1.2520653570772904,1.2520653570772904,1,1,1.305084745762712,1.384180790960452,1.1594202898550725,0.9279279279279279,1.2520653570772904,1.3367231638418078,1.3367231638418078,0.7078651685393259,2.2272727272727275,4,screen_2024,primary67_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1594202898550725,14
0.22,309,1.2185915492957746,60,0,0.3074433656957929,0.22186234817813766,1.3857392577894314,0.6237818725931777,-4.811484958840937,1.3857392577894314,1.3857392577894314,1,1,1.1633802816901408,1.2619718309859154,1.1792790642158033,0.8947368421052632,1.3857392577894314,1.2185915492957746,1.2185915492957746,0.7384615384615384,2.7102564102564104,4,retrospective_2025,primary67_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1792790642158033,14
0.22,223,1.3875555555555554,60,0,0.47085201793721976,0.3401273885350318,1.384340202549504,0.5551711422497939,79.52096909873318,1.384340202549504,1.384340202549504,1,1,1.2755555555555553,1.462222222222222,1.2205400981996726,0.9587155963302753,1.384340202549504,1.3875555555555554,1.3875555555555554,0.07777777777777778,2.3636363636363638,3,retrospective_2026,primary67_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2205400981996726,14
0.22,532,1.2559865092748737,60,0,0.37593984962406013,0.26782178217821784,1.4036940780787457,0.6072319934411397,30.538397099127156,1.384340202549504,1.3850397301694677,2,2,1.239460370994941,1.2866779089376055,1.2719401810310902,0.9127134724857685,1.3850397301694677,1.2185915492957746,1.3875555555555554,0.07777777777777778,2.7102564102564104,7,combined_2025_2026,primary67_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2719401810310902,14
0.22,337,1.332768361581921,60,0,0.4362017804154303,0.3379032258064516,1.2909074169812258,0.5759900464826933,49.23248866054682,1.2909074169812258,1.2909074169812258,1,1,1.225988700564972,1.4039548022598871,1.2018779342723005,0.9307228915662651,1.2909074169812258,1.332768361581921,1.332768361581921,0.7393258426966293,2.2113636363636364,4,screen_2024,primary80_shared_extra_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2018779342723005,7
0.22,312,1.2304225352112677,60,0,0.3173076923076923,0.22186234817813766,1.4302007299270072,0.624220512392049,-0.5018705452291655,1.4302007299270072,1.4302007299270072,1,1,1.143661971830986,1.3014084507042254,1.2595920349684313,0.8469055374592834,1.4302007299270072,1.2304225352112677,1.2304225352112677,0.7846153846153846,2.5846153846153848,4,retrospective_2025,primary80_shared_extra_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2595920349684313,7
0.22,231,1.4373333333333334,60,0,0.4588744588744589,0.3401273885350318,1.3491252817095514,0.5575246193223722,72.96064987211184,1.3491252817095514,1.3491252817095514,1,1,1.3066666666666666,1.5244444444444443,1.2580128205128207,0.9380530973451328,1.3491252817095514,1.4373333333333334,1.4373333333333334,0.21777777777777776,2.381818181818182,3,retrospective_2026,primary80_shared_extra_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,7
0.22,543,1.281956155143339,60,0,0.3775322283609576,0.26782178217821784,1.409639743602836,0.6095690873710693,30.750140903031923,1.3491252817095514,1.3896630058182793,2,2,1.2276559865092749,1.33389544688027,1.2841703750794662,0.8773234200743495,1.3896630058182793,1.2304225352112677,1.4373333333333334,0.21777777777777776,2.5846153846153848,7,combined_2025_2026,primary80_shared_extra_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2841703750794662,7
