candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
source_stack50_benefit50,overall,all,2020,584,1.3787521079258012,0.26782178217821784,0.3664383561643836,1.3682171524067557,27.43120011360874
source_stack50_benefit50,year,2025,1235,323,1.2738028169014084,0.22186234817813766,0.32507739938080493,1.4652211249463287,4.786969191047536
source_stack50_benefit50,quarter,2025Q1,285,144,2.5846153846153848,0.15087719298245614,0.2222222222222222,1.4728682170542635,-55.18860519429422
source_stack50_benefit50,quarter,2025Q2,295,48,0.7636363636363637,0.16610169491525423,0.2916666666666667,1.7559523809523812,4.311698547118632
source_stack50_benefit50,quarter,2025Q3,330,81,1.2461538461538462,0.34545454545454546,0.5679012345679012,1.6439246263807665,100.79075766739388
source_stack50_benefit50,quarter,2025Q4,325,50,0.7692307692307693,0.20923076923076922,0.26,1.2426470588235294,22.446745907322505
source_stack50_benefit50,year,2026,785,261,1.6239999999999999,0.3401273885350318,0.41762452107279696,1.227847374689684,55.45452037409636
source_stack50_benefit50,quarter,2026Q1,270,157,2.8545454545454545,0.2851851851851852,0.29936305732484075,1.0497146165935973,25.060252329588625
source_stack50_benefit50,quarter,2026Q2,310,19,0.2955555555555555,0.3032258064516129,0.3684210526315789,1.2150055991041433,-12.237573807799425
source_stack50_benefit50,quarter,2026Q3,205,85,2.125,0.4682926829268293,0.6470588235294118,1.3817401960784315,126.72569534402265
source_stack50_benefit50,currency,TJS,404,112,1.3220910623946038,0.2995049504950495,0.375,1.2520661157024793,28.454615759180513
source_stack50_benefit50,currency,UZS,404,115,1.3575042158516022,0.2698019801980198,0.3652173913043478,1.35364978061428,30.210844612870325
source_stack50_benefit50,currency,KGS,404,117,1.3811129848229344,0.24257425742574257,0.3418803418803419,1.4093842665271237,19.103331978445443
source_stack50_benefit50,currency,AMD,404,119,1.4047217537942664,0.2623762376237624,0.37815126050420167,1.4412557475820515,25.082680875675308
source_stack50_benefit50,currency,KZT,404,121,1.4283305227655987,0.26485148514851486,0.371900826446281,1.404186297984089,34.20436285252662
original75_qrank25,overall,all,2020,784,1.8509274873524455,0.26782178217821784,0.35331632653061223,1.3192217737372212,24.90495654138117
original75_qrank25,year,2025,1235,417,1.6445070422535213,0.22186234817813766,0.3213429256594724,1.44838873426806,5.484230714418973
original75_qrank25,quarter,2025Q1,285,153,2.7461538461538466,0.15087719298245614,0.19607843137254902,1.2995896032831737,-61.04867612417356
original75_qrank25,quarter,2025Q2,295,95,1.5113636363636365,0.16610169491525423,0.29473684210526313,1.7744360902255638,6.310717580692854
original75_qrank25,quarter,2025Q3,330,107,1.646153846153846,0.34545454545454546,0.5607476635514018,1.6232169208066896,97.66290370920797
original75_qrank25,quarter,2025Q4,325,62,0.9538461538461539,0.20923076923076922,0.25806451612903225,1.2333965844402277,9.321335288067575
original75_qrank25,year,2026,785,367,2.2835555555555556,0.3401273885350318,0.3896457765667575,1.1455877700558226,46.97155782160798
original75_qrank25,quarter,2026Q1,270,176,3.2,0.2851851851851852,0.3409090909090909,1.1953955135773315,53.28942003728045
original75_qrank25,quarter,2026Q2,310,89,1.3844444444444444,0.3032258064516129,0.2247191011235955,0.7410949079607937,-56.777729102285946
original75_qrank25,quarter,2026Q3,205,102,2.55,0.4682926829268293,0.6176470588235294,1.3189338235294117,126.59648709874723
original75_qrank25,currency,TJS,404,151,1.7824620573355818,0.2995049504950495,0.3841059602649007,1.2824694871654536,30.91942837204704
original75_qrank25,currency,UZS,404,149,1.7588532883642498,0.2698019801980198,0.3624161073825503,1.3432670402068836,30.941697961143078
original75_qrank25,currency,KGS,404,159,1.8768971332209108,0.24257425742574257,0.3270440251572327,1.348222307791041,18.4041041359158
original75_qrank25,currency,AMD,404,159,1.8768971332209108,0.2623762376237624,0.3710691823899371,1.414263676278628,27.79660410384441
original75_qrank25,currency,KZT,404,166,1.9595278246205734,0.26485148514851486,0.3253012048192771,1.228240063055962,17.472449626093624
original75_qrank25_day20,overall,all,2020,796,1.8792580101180438,0.26782178217821784,0.3530150753768844,1.3180969542722856,27.37914805277578
original75_qrank25_day20,year,2025,1235,424,1.6721126760563378,0.22186234817813766,0.32547169811320753,1.4669983473350776,7.385960531632028
original75_qrank25_day20,quarter,2025Q1,285,151,2.7102564102564104,0.15087719298245614,0.2119205298013245,1.404589557985523,-48.92921012153192
original75_qrank25_day20,quarter,2025Q2,295,95,1.5113636363636365,0.16610169491525423,0.30526315789473685,1.8378088077336199,4.470244932079122
original75_qrank25_day20,quarter,2025Q3,330,112,1.723076923076923,0.34545454545454546,0.5357142857142857,1.550751879699248,85.64216143515326
original75_qrank25_day20,quarter,2025Q4,325,66,1.0153846153846153,0.20923076923076922,0.25757575757575757,1.2310606060606062,7.626706734524576
original75_qrank25_day20,year,2026,785,372,2.3146666666666667,0.3401273885350318,0.3844086021505376,1.130190084974427,50.167082216660056
original75_qrank25_day20,quarter,2026Q1,270,183,3.3272727272727276,0.2851851851851852,0.3333333333333333,1.1688311688311688,46.1177178833856
original75_qrank25_day20,quarter,2026Q2,310,85,1.3222222222222222,0.3032258064516129,0.23529411764705882,0.7759699624530664,-31.40589492262456
original75_qrank25_day20,quarter,2026Q3,205,104,2.6,0.4682926829268293,0.5961538461538461,1.2730368589743588,123.96262769577942
original75_qrank25_day20,currency,TJS,404,151,1.7824620573355818,0.2995049504950495,0.40397350993377484,1.3488041158119426,30.588513588302373
original75_qrank25_day20,currency,UZS,404,153,1.806070826306914,0.2698019801980198,0.33986928104575165,1.2596989866282904,20.48846548840101
original75_qrank25_day20,currency,KGS,404,160,1.888701517706577,0.24257425742574257,0.31875,1.314030612244898,21.812795580544964
original75_qrank25_day20,currency,AMD,404,161,1.900505902192243,0.2623762376237624,0.391304347826087,1.4913863822805578,42.20502912056869
original75_qrank25_day20,currency,KZT,404,171,2.018549747048904,0.26485148514851486,0.3157894736842105,1.1923266109198227,21.959907000887444
qrank50_day50,overall,all,2020,599,1.4141652613827993,0.26782178217821784,0.3105175292153589,1.159418500951987,10.948502364348478
qrank50_day50,year,2025,1235,341,1.3447887323943661,0.22186234817813766,0.2756598240469208,1.2424813237151358,0.8147312659163892
qrank50_day50,quarter,2025Q1,285,77,1.3820512820512822,0.15087719298245614,0.18181818181818182,1.2050739957716703,-71.33659692907435
qrank50_day50,quarter,2025Q2,295,87,1.384090909090909,0.16610169491525423,0.26436781609195403,1.5916021581046214,11.874749723117116
qrank50_day50,quarter,2025Q3,330,79,1.2153846153846155,0.34545454545454546,0.4810126582278481,1.3924050632911393,74.39959627297397
qrank50_day50,quarter,2025Q4,325,98,1.5076923076923079,0.20923076923076922,0.19387755102040816,0.9266206482593037,-11.631938839386924
qrank50_day50,year,2026,785,258,1.6053333333333333,0.3401273885350318,0.35658914728682173,1.0483988038208054,24.34236261460175
qrank50_day50,quarter,2026Q1,270,71,1.2909090909090908,0.2851851851851852,0.2535211267605634,0.8889701847448326,6.284117864521493
qrank50_day50,quarter,2026Q2,310,88,1.368888888888889,0.3032258064516129,0.3068181818181818,1.0118471953578336,1.122731957836367
qrank50_day50,quarter,2026Q3,205,99,2.475,0.4682926829268293,0.47474747474747475,1.01378367003367,57.93289670602651
qrank50_day50,currency,TJS,404,129,1.5227655986509276,0.2995049504950495,0.3643410852713178,1.2164776731372926,10.755110110873385
qrank50_day50,currency,UZS,404,117,1.3811129848229344,0.2698019801980198,0.36752136752136755,1.3621892887947933,19.810882641998624
qrank50_day50,currency,KGS,404,121,1.4283305227655987,0.24257425742574257,0.19834710743801653,0.8176758306628437,-6.825601231832665
qrank50_day50,currency,AMD,404,111,1.3102866779089377,0.2623762376237624,0.34234234234234234,1.3047764745877952,21.78567977344371
qrank50_day50,currency,KZT,404,121,1.4283305227655987,0.26485148514851486,0.2809917355371901,1.0609407584768673,10.417832537419297
qrank75_day25,overall,all,2020,516,1.218212478920742,0.26782178217821784,0.3178294573643411,1.1867199701958762,17.05248146111372
qrank75_day25,year,2025,1235,281,1.108169014084507,0.22186234817813766,0.2704626334519573,1.2190560303400266,4.044729816907215
qrank75_day25,quarter,2025Q1,285,61,1.0948717948717948,0.15087719298245614,0.18032786885245902,1.1951963400686239,-51.21988813669198
qrank75_day25,quarter,2025Q2,295,80,1.2727272727272727,0.16610169491525423,0.275,1.6556122448979593,13.137292964733678
qrank75_day25,quarter,2025Q3,330,55,0.8461538461538461,0.34545454545454546,0.5272727272727272,1.526315789473684,77.84717275389583
qrank75_day25,quarter,2025Q4,325,85,1.3076923076923077,0.20923076923076922,0.16470588235294117,0.7871972318339101,-12.607008044162676
qrank75_day25,year,2026,785,235,1.462222222222222,0.3401273885350318,0.37446808510638296,1.1009642202565941,32.60643129950533
qrank75_day25,quarter,2026Q1,270,70,1.2727272727272727,0.2851851851851852,0.24285714285714285,0.8515769944341373,3.4469072566143577
qrank75_day25,quarter,2026Q2,310,73,1.1355555555555554,0.3032258064516129,0.3698630136986301,1.2197610026231418,28.53685850850084
qrank75_day25,quarter,2026Q3,205,92,2.3,0.4682926829268293,0.4782608695652174,1.0212862318840579,58.0221432206542
qrank75_day25,currency,TJS,404,105,1.239460370994941,0.2995049504950495,0.4095238095238095,1.3673356946084219,27.141140893426186
qrank75_day25,currency,UZS,404,111,1.3102866779089377,0.2698019801980198,0.3333333333333333,1.2354740061162077,16.120782650648064
qrank75_day25,currency,KGS,404,100,1.1804384485666106,0.24257425742574257,0.21,0.8657142857142857,3.5525508476136367
qrank75_day25,currency,AMD,404,89,1.0505902192242833,0.2623762376237624,0.34831460674157305,1.3275386898452406,22.47314118175889
qrank75_day25,currency,KZT,404,111,1.3102866779089377,0.26485148514851486,0.2882882882882883,1.0884903595183968,16.2566587023882
original25_qrank75_day20,overall,all,2020,510,1.2040472175379429,0.26782178217821784,0.3235294117647059,1.2080026095465912,19.17727292869977
original25_qrank75_day20,year,2025,1235,274,1.08056338028169,0.22186234817813766,0.2773722627737226,1.2501997975384942,5.99228327092296
original25_qrank75_day20,quarter,2025Q1,285,61,1.0948717948717948,0.15087719298245614,0.16393442622950818,1.0865421273351124,-57.53000013933042
original25_qrank75_day20,quarter,2025Q2,295,83,1.3204545454545455,0.16610169491525423,0.27710843373493976,1.6683058765674945,16.087164448378577
original25_qrank75_day20,quarter,2025Q3,330,53,0.8153846153846154,0.34545454545454546,0.5849056603773585,1.6931479642502483,88.69470996094697
original25_qrank75_day20,quarter,2025Q4,325,77,1.1846153846153846,0.20923076923076922,0.15584415584415584,0.7448433919022155,-11.491411070306032
