n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,rate_target,rolling_window,cooldown_days,year_lift_median,year_lift_positive,years,quarters,passed_2025
736,1.7376053962900506,0.31657608695652173,0.26782178217821784,1.182040102869083,0.5481285126709233,5.204922315464227,1.2394910499634482,1.1019849918815734,1.4746666666666666,1.9678873239436618,1.074033404611917,1.6408094435075886,1.806070826306914,0.35777777777777775,4.015384615384615,0.9151846785225718,resolved_diverse_anchor,rolling,0.3,60,0,0,0.0,0.0,0,0,1.074033404611917,0.3,60.0,0.0,1.2394910499634482,2.0,2.0,7.0,False
709,1.673861720067454,0.33991537376586745,0.26782178217821784,1.2691849445601704,0.5566532814923407,18.036448874357916,1.222469097295956,1.1473125414731253,1.5183098591549296,2.0159999999999996,1.2275157997083133,1.6053962900505903,1.7352445193929176,0.30227272727272725,3.8,0.9090909090909091,resolved_cat_full,rolling,0.35,120,0,0,0.0,0.0,0,0,1.2275157997083133,0.35,120.0,0.0,1.222469097295956,2.0,2.0,7.0,False
830,1.9595278246205734,0.3144578313253012,0.26782178217821784,1.1741309043939157,0.5271459083984158,7.424695763924984,1.212690535716468,1.1410884228032894,1.7235555555555553,2.180845070422535,1.099122221651866,1.900505902192243,2.0303541315345703,0.525,3.7384615384615385,0.9248484848484848,resolved_xgb_full,rolling,0.35,60,0,0,0.0,0.0,0,0,1.099122221651866,0.35,60.0,0.0,1.212690535716468,2.0,2.0,7.0,False
500,1.1804384485666106,0.316,0.26782178217821784,1.1798890942698705,0.5261048392841743,-8.301702441340483,1.1891833886687133,1.152025372542618,1.1635555555555555,1.2343661971830986,1.1014739712021813,1.1450252951096123,1.2158516020236088,0.9955555555555555,1.4923076923076921,0.7616161616161616,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1014739712021813,,,,,,,,False
742,1.75177065767285,0.31266846361185985,0.26782178217821784,1.1674497162587003,0.5481372611508751,3.498295347526537,1.1793947375746465,1.0685407752328215,1.7297777777777776,1.8298591549295773,1.1047642197374818,1.6053962900505903,1.888701517706577,0.525,3.0461538461538464,0.9118046132971506,resolved_boost_consensus,rolling,0.3,60,0,0,0.0,0.0,0,0,1.1047642197374818,0.3,60.0,0.0,1.1793947375746465,2.0,2.0,7.0,False
410,0.9679595278246207,0.3073170731707317,0.26782178217821784,1.1474685541679814,0.5262454398548252,-11.422633973222675,1.1457081419667023,1.0474016853932586,0.9859154929577465,0.9955555555555554,1.0590380670161843,0.9679595278246207,0.9679595278246207,0.875,1.0769230769230769,0.7851851851851852,resolved_tree_consensus,weekly,0.0,0,0,20,0.9,0.0,4,1,1.0590380670161843,,,,,,,,False
511,1.206408094435076,0.30332681017612523,0.26782178217821784,1.132569605463536,0.5196109675943805,4.033211046892866,1.1419351719617643,1.1233144598312754,1.182222222222222,1.2659154929577465,0.9715131335553088,1.1686340640809445,1.2276559865092749,0.98,1.4923076923076921,0.7727272727272727,resolved_extra_full,weekly,0.0,0,0,20,0.9,0.3,4,2,0.9715131335553088,,,,,,,,False
711,1.67858347386172,0.3009845288326301,0.26782178217821784,1.1238239339037204,0.5363761796387878,1.1755550490807238,1.13790787428346,1.028511242835448,1.6426666666666665,1.7628169014084507,1.0235868975085964,1.6172006745362564,1.7824620573355818,0.38181818181818183,3.076923076923077,0.9164305949008499,resolved_hist_old_hist,rolling,0.3,60,0,0,0.0,0.0,0,0,1.0235868975085964,0.3,60.0,0.0,1.13790787428346,2.0,2.0,7.0,False
722,1.7045531197301858,0.296398891966759,0.26782178217821784,1.1067019626115584,0.5535213256696649,-1.8779008770023833,1.134685716699987,0.9463377255348058,1.6177777777777775,1.8219718309859156,0.9820126397666505,1.6053962900505903,1.7588532883642498,0.38181818181818183,3.6153846153846154,0.9149232914923291,resolved_hist_full_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,0.9820126397666505,0.3,60.0,0.0,1.134685716699987,1.0,2.0,7.0,False
659,1.5558178752107927,0.3095599393019727,0.26782178217821784,1.1558430265988628,0.579047515494183,8.063202573036346,1.1340517925443703,0.9482889373400322,1.5183098591549296,1.7048888888888887,1.093073593073593,1.4991568296795954,1.5935919055649241,1.182222222222222,3.025,0.900611620795107,resolved_hist_compact_anchor50,rolling,0.22,20,0,0,0.0,0.0,0,0,1.093073593073593,0.22,20.0,0.0,1.1340517925443703,1.0,2.0,7.0,False
825,1.9477234401349075,0.30787878787878786,0.26782178217821784,1.1495658992886348,0.5696204034548997,3.6601366697645656,1.1282803001876947,0.9745511935292958,1.8969014084507043,2.1404444444444444,1.022520661157025,1.8178752107925802,2.0775716694772344,0.8909090909090909,3.8615384615384616,0.925609756097561,resolved_hist_full_anchor50,rolling,0.35,40,0,0,0.0,0.0,0,0,1.022520661157025,0.35,40.0,0.0,1.1282803001876947,1.0,2.0,7.0,False
855,2.018549747048904,0.2982456140350877,0.26782178217821784,1.1135973019424716,0.5672914331134966,3.8448311363413006,1.1012762848325297,0.9316268176331972,2.0033802816901405,2.159111111111111,0.9513343799058086,1.9831365935919056,2.0657672849915683,1.0888888888888888,3.975,0.9270588235294117,resolved_hist_compact_anchor25,rolling,0.35,40,0,0,0.0,0.0,0,0,0.9513343799058086,0.35,40.0,0.0,1.1012762848325297,1.0,2.0,7.0,False
791,1.8674536256323777,0.29329962073324906,0.26782178217821784,1.09512982233117,0.5162440525958615,0.28562638766635506,1.1008249600947526,0.9790445135814286,1.8853333333333333,1.9245070422535209,1.0189975313942257,1.8178752107925802,1.9713322091062395,0.44545454545454544,3.292307692307692,0.9122137404580153,resolved_hist_full,rolling,0.35,60,0,0,0.0,0.0,0,0,1.0189975313942257,0.35,60.0,0.0,1.1008249600947526,1.0,2.0,7.0,False
