rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.15,128,0.5047887323943662,120,0,0.2578125,0.22186234817813766,1.1620380930656935,0.6101498591035798,1.3116861821915515,1.1620380930656935,1.1620380930656935,1,1,0.4732394366197183,0.532394366197183,0.5700000000000001,0.8617886178861789,1.1620380930656935,0.5047887323943662,0.5047887323943662,0.04615384615384615,1.4000000000000001,4,retrospective_2025,shared_extra_geomean,rolling,0.15,120,0,0,0.0,0.0,0,0,0.5700000000000001
0.15,93,0.5786666666666667,120,0,0.5376344086021505,0.3401273885350318,1.5806854335306673,0.5322871025118217,115.63395721786324,1.5806854335306673,1.5806854335306673,1,1,0.5288888888888889,0.6533333333333333,1.4377289377289377,0.7840909090909091,1.5806854335306673,0.5786666666666667,0.5786666666666667,0.125,1.2909090909090908,3,retrospective_2026,shared_extra_geomean,rolling,0.15,120,0,0,0.0,0.0,0,0,1.4377289377289377
0.15,221,0.5217537942664419,120,0,0.3755656108597285,0.26782178217821784,1.4022967355575815,0.5655836048486576,49.42015317910317,1.1620380930656935,1.3713617632981805,2,2,0.48397976391231035,0.554806070826307,1.0993197278911564,0.8101851851851852,1.3713617632981805,0.5047887323943662,0.5786666666666667,0.04615384615384615,1.4000000000000001,7,combined_2025_2026,shared_extra_geomean,rolling,0.15,120,0,0,0.0,0.0,0,0,1.0993197278911564
0.15,129,0.5087323943661972,120,0,0.2558139534883721,0.22186234817813766,1.1530300458326261,0.6103283532208693,0.8462525386295926,1.1530300458326261,1.1530300458326261,1,1,0.4732394366197183,0.532394366197183,0.5700000000000001,0.8629032258064516,1.1530300458326261,0.5087323943661972,0.5087323943661972,0.04615384615384615,1.4000000000000001,4,retrospective_2025,shared_extra_conservative,rolling,0.15,120,0,0,0.0,0.0,0,0,0.5700000000000001
0.15,93,0.5786666666666667,120,0,0.5376344086021505,0.3401273885350318,1.5806854335306673,0.5319111246077538,115.63395721786324,1.5806854335306673,1.5806854335306673,1,1,0.5288888888888889,0.6533333333333333,1.4377289377289377,0.7840909090909091,1.5806854335306673,0.5786666666666667,0.5786666666666667,0.125,1.2909090909090908,3,retrospective_2026,shared_extra_conservative,rolling,0.15,120,0,0,0.0,0.0,0,0,1.4377289377289377
0.15,222,0.524114671163575,120,0,0.3738738738738739,0.26782178217821784,1.3959800835956104,0.5655673576716046,48.93299368803829,1.1530300458326261,1.3668577396816466,2,2,0.48397976391231035,0.554806070826307,1.0993197278911564,0.8110599078341014,1.3668577396816466,0.5087323943661972,0.5786666666666667,0.04615384615384615,1.4000000000000001,7,combined_2025_2026,shared_extra_conservative,rolling,0.15,120,0,0,0.0,0.0,0,0,1.0993197278911564
0.15,131,0.5166197183098591,120,0,0.25190839694656486,0.22186234817813766,1.1354265336825096,0.6107499031574469,0.9577308641480613,1.1354265336825096,1.1354265336825096,1,1,0.4732394366197183,0.5521126760563381,0.5700000000000001,0.8571428571428571,1.1354265336825096,0.5166197183098591,0.5166197183098591,0.06153846153846154,1.415909090909091,4,retrospective_2025,shared_extra_minimum,rolling,0.15,120,0,0,0.0,0.0,0,0,0.5700000000000001
0.15,92,0.5724444444444443,120,0,0.5434782608695652,0.3401273885350318,1.5978667969386093,0.5315929894581579,119.69568905850706,1.5978667969386093,1.5978667969386093,1,1,0.5288888888888889,0.6222222222222221,1.4582043343653253,0.7816091954022989,1.5978667969386093,0.5724444444444443,0.5724444444444443,0.125,1.2727272727272727,3,retrospective_2026,shared_extra_minimum,rolling,0.15,120,0,0,0.0,0.0,0,0,1.4582043343653253
0.15,223,0.5264755480607083,120,0,0.3721973094170404,0.26782178217821784,1.3897200832207421,0.565743577053487,49.94379433446657,1.1354265336825096,1.3666466653105593,2,2,0.4957841483979764,0.554806070826307,1.0993197278911564,0.8073394495412844,1.3666466653105593,0.5166197183098591,0.5724444444444443,0.06153846153846154,1.415909090909091,7,combined_2025_2026,shared_extra_minimum,rolling,0.15,120,0,0,0.0,0.0,0,0,1.0993197278911564
0.25,368,1.4512676056338027,60,0,0.23641304347826086,0.22186234817813766,1.0655843383052999,0.6047076873998345,-33.24369646101965,1.0655843383052999,1.0655843383052999,1,1,1.380281690140845,1.5183098591549296,0.8678378378378379,0.9118457300275482,1.0655843383052999,1.4512676056338027,1.4512676056338027,0.38461538461538464,3.123076923076923,4,retrospective_2025,shared_xgb_conservative_stack50,rolling,0.25,60,0,0,0.0,0.0,0,0,0.8678378378378379
