rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.15,143,0.5655367231638418,120,0,0.5874125874125874,0.3379032258064516,1.7384047932973947,0.5717080572908643,90.30340066518299,1.7384047932973947,1.7384047932973947,1,1,0.5338983050847458,0.5932203389830508,1.6551724137931034,0.9347826086956522,1.7384047932973947,0.5655367231638418,0.5655367231638418,0.0,1.8931818181818183,4,shared_extra_geomean,rolling,0.15,120,0,0,0.0,0.0,0,0,1.6551724137931034
0.15,144,0.5694915254237288,120,0,0.5763888888888888,0.3379032258064516,1.7057809599575708,0.5708127058508892,87.84257681952754,1.7057809599575708,1.7057809599575708,1,1,0.5338983050847458,0.5932203389830508,1.6520376175548588,0.9280575539568345,1.7057809599575708,0.5694915254237288,0.5694915254237288,0.0,1.8931818181818183,4,shared_extra_conservative,rolling,0.15,120,0,0,0.0,0.0,0,0,1.6520376175548588
0.15,152,0.6011299435028249,120,0,0.5592105263157895,0.3379032258064516,1.6549428463760836,0.5683039776278419,83.23151100320331,1.6549428463760836,1.6549428463760836,1,1,0.5932203389830508,0.612994350282486,1.5522388059701495,0.8775510204081632,1.6549428463760836,0.6011299435028249,0.6011299435028249,0.0875,1.925,4,shared_extra_minimum,rolling,0.15,120,0,0,0.0,0.0,0,0,1.5522388059701495
0.25,359,1.419774011299435,60,0,0.4401114206128134,0.3379032258064516,1.3024777125534335,0.5715874174052832,50.971719302135384,1.3024777125534335,1.3024777125534335,1,1,1.384180790960452,1.4435028248587571,1.2420091324200913,0.9209039548022598,1.3024777125534335,1.419774011299435,1.419774011299435,0.7393258426966293,2.243181818181818,4,shared_xgb_conservative_stack50,rolling,0.25,60,0,0,0.0,0.0,0,0,1.2420091324200913
0.25,358,1.415819209039548,60,0,0.43854748603351956,0.3379032258064516,1.2978493620085065,0.5715350916717781,50.92298030093952,1.2978493620085065,1.2978493620085065,1,1,1.364406779661017,1.4435028248587571,1.2420091324200913,0.9206798866855525,1.2978493620085065,1.415819209039548,1.415819209039548,0.7393258426966293,2.243181818181818,4,shared_xgb_geomean_stack50,rolling,0.25,60,0,0,0.0,0.0,0,0,1.2420091324200913
0.25,359,1.419774011299435,60,0,0.43454038997214484,0.3379032258064516,1.2859906529008582,0.5718650344913793,50.160564787152296,1.2859906529008582,1.2859906529008582,1,1,1.364406779661017,1.4830508474576272,1.2420091324200913,0.923728813559322,1.2859906529008582,1.419774011299435,1.419774011299435,0.7393258426966293,2.243181818181818,4,shared_xgb_minimum_stack50,rolling,0.25,60,0,0,0.0,0.0,0,0,1.2420091324200913
0.25,319,1.2615819209039547,20,0,0.45141065830721006,0.3379032258064516,1.335916984011791,0.6015758766740602,55.17700362915198,1.335916984011791,1.335916984011791,1,1,1.2062146892655368,1.305084745762712,1.2338308457711442,0.8375796178343949,1.335916984011791,1.2615819209039547,1.2615819209039547,0.8113636363636363,2.0522727272727272,4,shared_hist_minimum_anchor25,rolling,0.25,20,0,0,0.0,0.0,0,0,1.2338308457711442
0.25,351,1.3881355932203392,60,0,0.4444444444444444,0.3379032258064516,1.3153009811721028,0.585038037901273,53.06143909392218,1.3153009811721028,1.3153009811721028,1,1,1.364406779661017,1.423728813559322,1.2338308457711442,0.9132947976878613,1.3153009811721028,1.3881355932203392,1.3881355932203392,0.802247191011236,2.2113636363636364,4,shared_hist_geomean_stack50,rolling,0.25,60,0,0,0.0,0.0,0,0,1.2338308457711442
0.22,293,1.1587570621468928,20,0,0.4334470989761092,0.3379032258064516,1.2827551377813258,0.5873752539978314,50.98972697894902,1.2827551377813258,1.2827551377813258,1,1,1.0677966101694916,1.2457627118644068,1.2275132275132274,0.8229166666666666,1.2827551377813258,1.1587570621468928,1.1587570621468928,0.7318181818181818,1.7977272727272728,4,shared_hist_conservative,rolling,0.22,20,0,0,0.0,0.0,0,0,1.2275132275132274
0.15,275,1.0875706214689267,40,0,0.43636363636363634,0.3379032258064516,1.2913864178780647,0.5869319387556359,58.97844846909599,1.2913864178780647,1.2913864178780647,1,1,1.0282485875706215,1.1666666666666667,1.2203389830508475,0.8888888888888888,1.2913864178780647,1.0875706214689267,1.0875706214689267,0.8272727272727273,1.5431818181818182,4,shared_hist_minimum_stack50,rolling,0.15,40,0,0,0.0,0.0,0,0,1.2203389830508475
