breakdown,group,n_scope,n_signals,primary_n,baseload_n,frequency,base_rate,hit_rate,lift,forward_benefit_bps
overall,all,2020,613,544,69,1.4472175379426644,0.26782178217821784,0.3572593800978793,1.3339444506427285,26.19911487020385
year,2025,1235,350,318,32,1.380281690140845,0.22186234817813766,0.3171428571428571,1.4294577685088632,4.901213801035392
quarter,2025Q1,285,139,139,0,2.494871794871795,0.15087719298245614,0.23741007194244604,1.5735318721766773,-52.59771848157109
quarter,2025Q2,295,48,48,0,0.7636363636363637,0.16610169491525423,0.2916666666666667,1.7559523809523812,4.311698547118632
quarter,2025Q3,330,95,81,14,1.4615384615384615,0.34545454545454546,0.5157894736842106,1.4930747922437675,84.30951991189174
quarter,2025Q4,325,68,50,18,1.0461538461538462,0.20923076923076922,0.22058823529411764,1.0542820069204153,11.913849667784696
year,2026,785,263,226,37,1.6364444444444444,0.3401273885350318,0.41064638783269963,1.2073311402571882,54.54232922080825
quarter,2026Q1,270,125,122,3,2.272727272727273,0.2851851851851852,0.312,1.094025974025974,28.4930216647673
quarter,2026Q2,310,36,19,17,0.5599999999999999,0.3032258064516129,0.3333333333333333,1.099290780141844,21.050407033581116
quarter,2026Q3,205,102,85,17,2.55,0.4682926829268293,0.5588235294117647,1.1933210784313726,98.2861786643896
currency,TJS,404,119,106,13,1.4047217537942664,0.2995049504950495,0.37815126050420167,1.262587679699979,32.0914434726869
currency,UZS,404,123,108,15,1.451939291736931,0.2698019801980198,0.36585365853658536,1.3560080554933989,31.024796830211226
currency,KGS,404,123,109,14,1.451939291736931,0.24257425742574257,0.3252032520325203,1.3406338145014103,14.66892188470742
currency,AMD,404,122,112,10,1.4401349072512648,0.2623762376237624,0.3770491803278688,1.437055366532632,25.92170537260884
currency,KZT,404,126,109,17,1.4873524451939293,0.26485148514851486,0.3412698412698413,1.2885328586263165,27.447620514221775
