rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.35,448,1.7667605633802816,60,0,0.25892857142857145,0.22186234817813766,1.1670685610010427,0.5864709054588818,-19.102878780259726,1.1670685610010427,1.1670685610010427,1,1,1.676056338028169,1.8140845070422535,1.0081632653061225,0.9164785553047404,1.1670685610010427,1.7667605633802816,1.7667605633802816,1.2307692307692308,3.5717948717948715,4,retrospective_2025,tail50_hist_primary50,rolling,0.35,60,0,0,0.0,0.0,0,0,1.0081632653061225
0.35,330,2.0533333333333332,60,0,0.3424242424242424,0.3401273885350318,1.0067529224832596,0.5082136711350194,25.81242892904765,1.0067529224832596,1.0067529224832596,1,1,1.9599999999999997,2.1155555555555554,0.9416035353535355,0.9292307692307692,1.0067529224832596,2.0533333333333332,2.0533333333333332,1.1044444444444443,2.7636363636363637,3,retrospective_2026,tail50_hist_primary50,rolling,0.35,60,0,0,0.0,0.0,0,0,0.9416035353535355
0.35,778,1.836762225969646,60,0,0.2943444730077121,0.26782178217821784,1.0990311191785183,0.5584579679280726,-0.05139864649181899,1.0067529224832596,1.0869107417421513,2,2,1.7824620573355818,1.888701517706577,1.0374374915529125,0.9159120310478654,1.0869107417421513,1.7667605633802816,2.0533333333333332,1.1044444444444443,3.5717948717948715,7,combined_2025_2026,tail50_hist_primary50,rolling,0.35,60,0,0,0.0,0.0,0,0,1.0374374915529125
0.35,426,1.68,60,0,0.29107981220657275,0.22186234817813766,1.311983825091669,0.5678391578115861,-19.356141916030545,1.311983825091669,1.311983825091669,1,1,1.6366197183098592,1.7352112676056337,1.235,0.8931116389548693,1.311983825091669,1.68,1.68,1.1384615384615384,3.141025641025641,4,retrospective_2025,tail65_extra_primary50,rolling,0.35,60,0,0,0.0,0.0,0,0,1.235
0.35,324,2.0159999999999996,60,0,0.4074074074074074,0.3401273885350318,1.1978082951865723,0.5475612048645757,51.531308112150946,1.1978082951865723,1.1978082951865723,1,1,1.8977777777777776,2.1466666666666665,1.1017543859649124,0.9278996865203761,1.1978082951865723,2.0159999999999996,2.0159999999999996,1.1044444444444443,2.7636363636363637,3,retrospective_2026,tail65_extra_primary50,rolling,0.35,60,0,0,0.0,0.0,0,0,1.1017543859649124
0.35,750,1.7706576728499157,60,0,0.3413333333333333,0.26782178217821784,1.2744793592113368,0.5641669759879221,11.267236496143855,1.1978082951865723,1.2548960601391208,2,2,1.7352445193929176,1.806070826306914,1.184533626534726,0.9020134228187919,1.2548960601391208,1.68,2.0159999999999996,1.1044444444444443,3.141025641025641,7,combined_2025_2026,tail65_extra_primary50,rolling,0.35,60,0,0,0.0,0.0,0,0,1.184533626534726
0.35,339,1.336901408450704,250,0,0.32448377581120946,0.22186234817813766,1.462545485864393,0.5924998291013771,15.541310641778797,1.462545485864393,1.462545485864393,1,1,1.1042253521126761,1.6169014084507043,1.243837794858203,0.8592814371257484,1.462545485864393,1.336901408450704,1.336901408450704,0.7795454545454547,2.3512820512820514,4,retrospective_2025,tail50_extra_primary50,rolling,0.35,250,0,0,0.0,0.0,0,0,1.243837794858203
0.35,295,1.8355555555555554,250,0,0.423728813559322,0.3401273885350318,1.2457944518504411,0.5437399678972713,54.36148354182677,1.2457944518504411,1.2457944518504411,1,1,1.4933333333333332,2.1466666666666665,1.0778032036613274,0.903448275862069,1.2457944518504411,1.8355555555555554,1.8355555555555554,1.2133333333333332,2.45,3,retrospective_2026,tail50_extra_primary50,rolling,0.35,250,0,0,0.0,0.0,0,0,1.0778032036613274
0.35,634,1.4967959527824621,250,0,0.37066246056782337,0.26782178217821784,1.3839892243012997,0.5820738646660142,33.6043248460598,1.2457944518504411,1.3541699688574171,2,2,1.3811129848229344,1.5935919055649241,1.2731984032495272,0.8728139904610492,1.3541699688574171,1.336901408450704,1.8355555555555554,0.7795454545454547,2.45,7,combined_2025_2026,tail50_extra_primary50,rolling,0.35,250,0,0,0.0,0.0,0,0,1.2731984032495272
0.3,418,1.648450704225352,40,0,0.25598086124401914,0.22186234817813766,1.1537823490378234,0.5763385159923133,-30.5879111059531,1.1537823490378234,1.1537823490378234,1,1,1.5774647887323943,1.7549295774647886,0.9835739173718268,0.9007263922518159,1.1537823490378234,1.648450704225352,1.648450704225352,0.8615384615384615,3.3564102564102565,4,retrospective_2025,tail50_hist_primary25,rolling,0.3,40,0,0,0.0,0.0,0,0,0.9835739173718268
0.3,289,1.798222222222222,40,0,0.35294117647058826,0.3401273885350318,1.0376734963648382,0.48943285179240237,22.544807263695823,1.0376734963648382,1.0376734963648382,1,1,1.7422222222222221,1.8977777777777776,0.937002652519894,0.9154929577464789,1.0376734963648382,1.798222222222222,1.798222222222222,1.0888888888888888,2.7,3,retrospective_2026,tail50_hist_primary25,rolling,0.3,40,0,0,0.0,0.0,0,0,0.937002652519894
0.3,707,1.6691399662731874,40,0,0.2956152758132956,0.26782178217821784,1.1037760760496433,0.5349264315325213,-8.868879127412026,1.0376734963648382,1.0957279227013308,2,2,1.6053962900505903,1.7352445193929176,1.0609243697478992,0.9002849002849003,1.0957279227013308,1.648450704225352,1.798222222222222,0.8615384615384615,3.3564102564102565,7,combined_2025_2026,tail50_hist_primary25,rolling,0.3,40,0,0,0.0,0.0,0,0,1.0609243697478992
0.22,347,1.3684507042253522,40,0,0.2564841498559078,0.22186234817813766,1.1560508214308252,0.5819231032151727,-26.007107164330307,1.1560508214308252,1.1560508214308252,1,1,1.2816901408450705,1.4788732394366197,0.8530612244897959,0.8742690058479532,1.1560508214308252,1.3684507042253522,1.3684507042253522,0.6,2.7282051282051283,4,retrospective_2025,tail65_hist_primary50,rolling,0.22,40,0,0,0.0,0.0,0,0,0.8530612244897959
0.22,234,1.4559999999999997,40,0,0.38461538461538464,0.3401273885350318,1.1307980409104006,0.49360114528653853,22.01515887713792,1.1307980409104006,1.1307980409104006,1,1,1.4,1.5555555555555554,1.027823240589198,0.8908296943231441,1.1307980409104006,1.4559999999999997,1.4559999999999997,0.9022222222222221,1.975,3,retrospective_2026,tail65_hist_primary50,rolling,0.22,40,0,0,0.0,0.0,0,0,1.027823240589198
