candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,period
target_panel_hist_benefit50,431,0.9411993835419241,0.6679764887405345,1.2081256096288895,0.7120719820044988,-75.92216264379222,10.874457288244006,2025
target_panel_hist,355,0.8506733833658887,0.6016016102904334,1.1580233534835813,0.8572856785803549,-89.05199140245826,2.2017598180257707,2025
target_panel_hist_anchor25,463,0.7398590594504264,0.5337236211245879,0.9644249621972096,0.986753311672082,-78.98834479642147,-10.047750928840522,2025
target_panel_xgb_primary50,354,1.0440636727287722,0.7795266992703571,1.321998390853488,0.47063234191452136,-81.23400799415056,11.37473467354032,2025
target_panel_xgb_benefit50,462,1.0048740796915978,0.7580096529279918,1.286242321006467,0.49912521869532617,-76.92855529804505,16.03784238603081,2025
target_panel_only_extra_benefit50,457,1.1539475155329106,0.9099743933384249,1.5213940029794593,0.10297425643589103,-72.08868902544185,42.104569221979695,2025
target_panel_hist_primary50,395,1.0041578120668946,0.7625631449828315,1.266808046724897,0.5643589102724319,-78.68078960134258,8.031325218418317,2025
target_panel_only_extra_primary50,390,1.294403892944039,0.9469671382208228,1.72003245243317,0.0427393151712072,-79.40431296931303,53.354552015895635,2025
target_panel_hist_benefit50,694,1.086790925119988,0.8029119437243785,1.4207452705713695,0.2839290177455636,-42.488952632157776,57.007984333544506,2025_2026
target_panel_hist,626,1.1213407900409254,0.8345322126365436,1.3917644913354748,0.2124468882779305,-46.01004813986877,45.5745397752252,2025_2026
target_panel_hist_anchor25,794,1.0204537729831407,0.7743803698242251,1.2542385828140352,0.4573856535866033,-43.56507193958376,35.433490799360094,2025_2026
target_panel_xgb_primary50,599,1.2716202913666956,0.9318550529404837,1.698854890878152,0.06448387903024244,-39.959185247395354,73.57551188593656,2025_2026
target_panel_xgb_benefit50,765,1.1518731953656385,0.8594973805308997,1.4775563781743257,0.16270932266933266,-38.68187578403312,62.39819700225762,2025_2026
target_panel_only_extra_benefit50,733,1.2734741636048648,1.0333712244793183,1.6195124278876514,0.011747063234191453,-31.82926899633626,71.584956832712,2025_2026
target_panel_hist_primary50,667,1.1979592458853752,0.8965736239584409,1.5689158970550248,0.11022244438890277,-39.3513838938445,65.69256005699388,2025_2026
target_panel_only_extra_primary50,625,1.3620998151571164,1.0587541421395013,1.759521757477707,0.007748062984253936,-37.34055608567752,78.98181828215637,2025_2026
