rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.22,301,1.1903954802259888,20,0,0.53156146179402,0.3379032258064516,1.5731174525646414,0.6981255759464418,66.99984626827556,1.5731174525646414,1.5731174525646414,1,1,1.1468926553672316,1.225988700564972,1.4040144107050951,0.7432432432432432,1.5731174525646414,1.1903954802259888,1.1903954802259888,0.9438202247191012,1.8613636363636363,4,incumbent,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,316,1.2461971830985916,20,0,0.4588607594936709,0.22186234817813766,2.068222766330962,0.7742581100890952,64.1844585857615,2.068222766330962,2.068222766330962,1,1,1.2028169014084507,1.2816901408450705,1.900635664101706,0.8070739549839229,2.068222766330962,1.2461971830985916,1.2461971830985916,1.1666666666666667,1.4615384615384615,4,incumbent,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,219,1.3626666666666665,20,0,0.6118721461187214,0.3401273885350318,1.7989499427086006,0.7675191242606972,115.74108977325565,1.7989499427086006,1.7989499427086006,1,1,1.3066666666666666,1.431111111111111,1.4427736006683376,0.8504672897196262,1.7989499427086006,1.3626666666666665,1.3626666666666665,1.0733333333333333,1.7,3,incumbent,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,535,1.2630691399662732,20,0,0.5214953271028038,0.26782178217821784,1.9471729403838514,0.7759626764849608,85.28894873540864,1.7989499427086006,1.9335863545197811,2,2,1.2158516020236088,1.2984822934232716,1.693772381867412,0.8169811320754717,1.9335863545197811,1.2461971830985916,1.3626666666666665,1.0733333333333333,1.7,7,incumbent,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,293,1.1587570621468928,20,0,0.3924914675767918,0.3379032258064516,1.1615499279122241,0.52903351463231,4.648515928342967,1.1615499279122241,1.1615499279122241,1,1,1.0480225988700564,1.2457627118644068,1.0735930735930734,0.7395833333333334,1.1615499279122241,1.1587570621468928,1.1587570621468928,1.053932584269663,1.3522727272727273,4,state_selected,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,277,1.092394366197183,20,0,0.2527075812274368,0.22186234817813766,1.1390286964083374,0.5266222077063886,-29.80818140952146,1.1390286964083374,1.1390286964083374,1,1,1.0450704225352112,1.2225352112676056,1.0502258836035079,0.6875,1.1390286964083374,1.092394366197183,1.092394366197183,0.9863636363636364,1.2923076923076924,4,state_selected,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,173,1.0764444444444443,20,0,0.2658959537572254,0.3401273885350318,0.7817540213461497,0.46095614073142166,-21.028651481582564,0.7817540213461497,0.7817540213461497,0,1,1.0577777777777777,1.1199999999999999,0.6709401709401709,0.7738095238095238,0.7817540213461497,1.0764444444444443,1.0764444444444443,0.9022222222222221,1.375,3,state_selected,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,450,1.0623946037099494,20,0,0.2577777777777778,0.26782178217821784,0.9624974327377284,0.49078472615383073,-26.43293990389162,0.7817540213461497,0.9603913588772435,1,2,1.026981450252951,1.1332209106239461,0.8993004027983887,0.7123595505617978,0.9603913588772435,1.0764444444444443,1.092394366197183,0.9022222222222221,1.375,7,state_selected,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,298,1.1785310734463277,20,0,0.5469798657718121,0.3379032258064516,1.6187470967948616,0.7021750063226928,71.51121833411764,1.6187470967948616,1.6187470967948616,1,1,1.1271186440677967,1.225988700564972,1.4286462424718513,0.7372013651877133,1.6187470967948616,1.1785310734463277,1.1785310734463277,0.9227272727272727,1.8136363636363637,4,incumbent95_state5,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,320,1.2619718309859154,20,0,0.459375,0.22186234817813766,2.070540602189781,0.777020971159908,61.97343435013947,2.070540602189781,2.070540602189781,1,1,1.2225352112676056,1.3211267605633803,1.9211688038679842,0.8095238095238095,2.070540602189781,1.2619718309859154,1.2619718309859154,1.1384615384615384,1.4923076923076921,4,incumbent95_state5,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,209,1.3004444444444443,20,0,0.6267942583732058,0.3401273885350318,1.842822070498002,0.7649234306537678,118.81105329866236,1.842822070498002,1.842822070498002,1,1,1.2133333333333332,1.3688888888888888,1.5537561853351327,0.8137254901960784,1.842822070498002,1.3004444444444443,1.3004444444444443,1.0422222222222222,1.525,3,incumbent95_state5,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,529,1.2489038785834738,20,0,0.5255198487712666,0.26782178217821784,1.9621998050239526,0.7767675366405087,84.42912879293962,1.842822070498002,1.9566813363438915,2,2,1.2158516020236088,1.3102866779089377,1.7426312005751259,0.8034351145038168,1.9566813363438915,1.2619718309859154,1.3004444444444443,1.0422222222222222,1.525,7,incumbent95_state5,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,298,1.1785310734463277,20,0,0.5536912751677853,0.3379032258064516,1.6386090243628968,0.7048610606426182,74.79627423912362,1.6386090243628968,1.6386090243628968,1,1,1.1271186440677967,1.265536723163842,1.4935847080387537,0.7406143344709898,1.6386090243628968,1.1785310734463277,1.1785310734463277,0.875,1.7659090909090909,4,incumbent90_state10,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
