period,history,first,second,fallback,fallback_weekday,cap,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
retrospective_2025,40,0.75,0.92,0.5,4,2,1,1.5047189167008619,0.46304389131673945,1.5080282946895132,21.80407258040949,57.22313786927913,277
retrospective_2025,40,0.75,0.92,0.5,4,2,3,1.7787150866724963,0.2841462166941931,1.7860126898576318,43.05477798813336,57.11658601619477,277
retrospective_2025,40,0.75,0.92,0.5,4,2,5,1.7737005072797944,0.2218535786842836,1.79699917707302,46.911971871383436,44.31691046109037,277
retrospective_2025,40,0.75,0.92,0.5,4,2,10,1.9103619236489837,0.14740057586342975,1.926672608437314,51.68249510658285,22.279055957241432,277
retrospective_2025,40,0.75,0.92,0.5,4,2,20,1.9115326251896816,0.09631827416360951,1.9579361071027737,57.82336161310246,-14.798158972839907,277
retrospective_2026,40,0.75,0.92,0.5,4,2,1,1.613214597085565,0.5498938428874734,1.6187252923413695,19.653764369915287,71.1106440429162,186
retrospective_2026,40,0.75,0.92,0.5,4,2,3,1.7043507760156054,0.40377371412916924,1.7079797251114772,35.97528858883377,93.92647153414019,186
retrospective_2026,40,0.75,0.92,0.5,4,2,5,1.628499496475327,0.3400452023833984,1.6309912929123456,45.29550388650748,110.37428383780754,186
retrospective_2026,40,0.75,0.92,0.5,4,2,10,1.5766423357664234,0.29190340909090906,1.5846945353379094,48.62083038744829,144.47202431422303,176
retrospective_2026,40,0.75,0.92,0.5,4,2,20,1.5660865069791488,0.2461819107415578,1.574360166864661,77.65940971547978,196.4407519834633,166
combined_2025_2026,40,0.75,0.92,0.5,4,2,1,1.5528528698828432,0.4979339366561704,1.5633767935154412,20.940233860858903,62.80213602974672,463
combined_2025_2026,40,0.75,0.92,0.5,4,2,3,1.7424047893124348,0.33220391544776884,1.746996207484554,40.21074984932185,71.90414261735643,463
combined_2025_2026,40,0.75,0.92,0.5,4,2,5,1.7000549855836031,0.2693344469521785,1.713995234992683,46.26259164419785,70.8539978219314,463
combined_2025_2026,40,0.75,0.92,0.5,4,2,10,1.7244191726537759,0.20354295698492283,1.7556835718876123,50.49297415610231,69.75358670962281,453
combined_2025_2026,40,0.75,0.92,0.5,4,2,20,1.702534399889242,0.15247485130117025,1.7661481369837173,65.2562825724583,64.35682797692607,443
