policy,history,first,second,fallback,fallback_weekday,cap,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
h20_f70_s88_b50_d3,20,0.7,0.88,0.5,3,2,1,1.3306343438285002,0.5438640704584041,1.331214258632599,3.812493552025052,38.097493767779895,304
h20_f70_s88_b50_d3,20,0.7,0.88,0.5,3,2,3,1.458774213177377,0.3923625848896435,1.4619385996979986,17.369291411052668,48.54370270982478,304
h20_f70_s88_b50_d3,20,0.7,0.88,0.5,3,2,5,1.4386391251518833,0.3384046052631579,1.4346713912048226,25.11156205906114,53.702398443328526,304
h20_f70_s88_b50_d3,20,0.7,0.88,0.5,3,2,10,1.4506488399528115,0.2698429541595926,1.448519446870511,30.62657727805067,64.78887954527023,304
h20_f70_s88_b50_d3,20,0.7,0.88,0.5,3,2,20,1.3399761420251208,0.18902536078098472,1.339185709795078,35.52683268567757,79.11487014131903,304
h20_f70_s88_b50_d4,20,0.7,0.88,0.5,4,2,1,1.3605316025343845,0.5435987903225805,1.3617689615565156,4.495019190100528,42.47090720490641,288
h20_f70_s88_b50_d4,20,0.7,0.88,0.5,4,2,3,1.5407576677259256,0.3921230958781362,1.54136781223726,19.13301129614014,57.21320976131656,288
h20_f70_s88_b50_d4,20,0.7,0.88,0.5,4,2,5,1.5199602451548782,0.33809363799283154,1.5108657964804564,26.13897632717071,62.24605563500651,288
h20_f70_s88_b50_d4,20,0.7,0.88,0.5,4,2,10,1.494596841230258,0.26948924731182794,1.4886064357297788,32.12510589277875,72.65309355541245,288
h20_f70_s88_b50_d4,20,0.7,0.88,0.5,4,2,20,1.3805388554887554,0.18863407258064516,1.381441393040915,39.6286286487718,89.37916719362873,288
h20_f70_s88_b60_d3,20,0.7,0.88,0.6,3,2,1,1.347589833479404,0.5440142763731474,1.3473691141050452,4.205520379199621,39.77532336490554,296
h20_f70_s88_b60_d3,20,0.7,0.88,0.6,3,2,3,1.4884818207049677,0.3926547515257193,1.4914597879351565,17.814122552686445,49.97619280317241,296
h20_f70_s88_b60_d3,20,0.7,0.88,0.6,3,2,5,1.4859854425543895,0.33875054489973844,1.4817511230113234,25.674080123329055,55.4773874460649,296
h20_f70_s88_b60_d3,20,0.7,0.88,0.6,3,2,10,1.4883251802914925,0.270120422842197,1.488253565230199,32.3327274942359,69.2775014211597,296
h20_f70_s88_b60_d3,20,0.7,0.88,0.6,3,2,20,1.3757925072046109,0.18908020924149957,1.3760723986403716,37.816468370383404,85.79444316738982,296
h20_f70_s88_b60_d4,20,0.7,0.88,0.6,4,2,1,1.3821498093384177,0.5439342074727315,1.3829833557641253,4.815423908437259,44.07119024261087,278
h20_f70_s88_b60_d4,20,0.7,0.88,0.6,4,2,3,1.5851036317286733,0.3925939893246693,1.586265011598363,20.31649364867304,59.6589255356403,278
h20_f70_s88_b60_d4,20,0.7,0.88,0.6,4,2,5,1.5721077654516642,0.33863715479229517,1.563917665247135,27.223358037561265,64.66778056434946,278
h20_f70_s88_b60_d4,20,0.7,0.88,0.6,4,2,10,1.545420359924792,0.27000174054304943,1.5420812390224152,33.48694333437892,76.81398001594957,278
h20_f70_s88_b60_d4,20,0.7,0.88,0.6,4,2,20,1.4278037921240498,0.18895045254119286,1.432334959390786,41.27930233474186,95.47044342070863,278
h20_f70_s92_b50_d3,20,0.7,0.92,0.5,3,2,1,1.3468407310704962,0.5437869150386188,1.3470111573764094,5.385257305457129,36.508468870443096,284
h20_f70_s92_b50_d3,20,0.7,0.92,0.5,3,2,3,1.4542295580410467,0.3922506815084053,1.4543380837026985,19.349513968415778,45.23135983521746,284
h20_f70_s92_b50_d3,20,0.7,0.92,0.5,3,2,5,1.415596407286158,0.3382837346660609,1.4071021777167343,25.85128727233489,49.37455379388393,284
h20_f70_s92_b50_d3,20,0.7,0.92,0.5,3,2,10,1.46174086938217,0.26979213993639256,1.453499572148434,32.733445562873015,62.800151446853086,284
h20_f70_s92_b50_d3,20,0.7,0.92,0.5,3,2,20,1.3602825155909537,0.18896240345297588,1.3512899504528477,38.0696621119643,78.38449236403696,284
h20_f70_s92_b50_d4,20,0.7,0.92,0.5,4,2,1,1.3799518312432522,0.5434972315840154,1.3806262108380856,6.212614036131198,41.113389286618656,268
h20_f70_s92_b50_d4,20,0.7,0.92,0.5,4,2,3,1.542087283614171,0.3919866393837265,1.539818834854359,21.36307698268071,54.35009321147088,268
h20_f70_s92_b50_d4,20,0.7,0.92,0.5,4,2,5,1.5016250389564134,0.337942344727973,1.4878493582879955,26.99953694631973,58.29741855810837,268
h20_f70_s92_b50_d4,20,0.7,0.92,0.5,4,2,10,1.5096615659555457,0.26940900337024554,1.4970254866248969,34.469587852420936,71.13251706381686,268
h20_f70_s92_b50_d4,20,0.7,0.92,0.5,4,2,20,1.4051552150666347,0.18853815599422244,1.396819982094193,42.62937296342595,89.37117709026339,268
h20_f70_s92_b60_d3,20,0.7,0.92,0.6,3,2,1,1.3654920498495917,0.5439457690509584,1.3644612344380842,5.8523516926713635,38.26182162975649,276
h20_f70_s92_b60_d3,20,0.7,0.92,0.6,3,2,3,1.4859694826944547,0.39256077606358114,1.4852541918359046,19.883977006033547,46.671643620123405,276
h20_f70_s92_b60_d3,20,0.7,0.92,0.6,3,2,5,1.465746333045729,0.3386512388966807,1.4559537064949737,26.476008825702614,51.152720415675276,276
h20_f70_s92_b60_d3,20,0.7,0.92,0.6,3,2,10,1.502461188943582,0.270088242169238,1.4953360823775157,34.62429849863173,67.55639148480941,276
h20_f70_s92_b60_d3,20,0.7,0.92,0.6,3,2,20,1.3992889163703819,0.18901940158952782,1.3894174597428344,40.598918626758575,85.52692205062647,276
h20_f70_s92_b60_d4,20,0.7,0.92,0.6,4,2,1,1.4039887349847693,0.5438547136784196,1.4041746658563035,6.624429773177391,42.785108299405316,258
h20_f70_s92_b60_d4,20,0.7,0.92,0.6,4,2,3,1.5899335005773898,0.39248874718679677,1.5871421390571887,22.724738807756495,56.874425846213285,258
h20_f70_s92_b60_d4,20,0.7,0.92,0.6,4,2,5,1.557156048014774,0.33852213053263314,1.5426911300489627,28.20133431717269,60.753826153412085,258
h20_f70_s92_b60_d4,20,0.7,0.92,0.6,4,2,10,1.5649858160134311,0.26995811452863216,1.5533607775354388,36.027865481728185,75.55701578906246,258
h20_f70_s92_b60_d4,20,0.7,0.92,0.6,4,2,20,1.4570128258171289,0.18887534383595897,1.4501552800287267,44.52431376903144,95.934335579002,258
h20_f70_s96_b50_d3,20,0.7,0.96,0.5,3,2,1,1.3349958942854538,0.5433798254891591,1.335657584005,5.7041587749147435,34.78517231166734,244
h20_f70_s96_b50_d3,20,0.7,0.96,0.5,3,2,3,1.433646989324444,0.39164132734003176,1.4364866386158686,21.093196264035424,43.81233763412834,244
h20_f70_s96_b50_d3,20,0.7,0.96,0.5,3,2,5,1.3840505213687766,0.3375694077207827,1.381816293112527,27.302807758265452,46.556051276436605,244
h20_f70_s96_b50_d3,20,0.7,0.96,0.5,3,2,10,1.4167946434056145,0.26902102062400846,1.4199152593949418,35.536687948799255,58.41677867698429,244
h20_f70_s96_b50_d3,20,0.7,0.96,0.5,3,2,20,1.2385875755717164,0.1886072184029614,1.2422608466052805,34.61794300510703,64.00054837433493,244
h20_f70_s96_b50_d4,20,0.7,0.96,0.5,4,2,1,1.3731109953100573,0.543010752688172,1.3734481239535485,6.699044859704096,40.07704041076664,228
h20_f70_s96_b50_d4,20,0.7,0.96,0.5,4,2,3,1.535638418079096,0.3912882003395586,1.5362395113087324,23.58237961733768,54.431268290349784,228
h20_f70_s96_b50_d4,20,0.7,0.96,0.5,4,2,5,1.4831602140384008,0.3371179966044143,1.4766055057476055,28.754365830207675,56.84654126123044,228
h20_f70_s96_b50_d4,20,0.7,0.96,0.5,4,2,10,1.4700652045050382,0.26851655348047543,1.4709439857167284,37.774135368859184,67.90335771658246,228
h20_f70_s96_b50_d4,20,0.7,0.96,0.5,4,2,20,1.2825575928537847,0.18808361629881154,1.2887799594310008,39.73537722651935,75.90532207079744,228
h20_f70_s96_b60_d3,20,0.7,0.96,0.6,3,2,1,1.3564266180492253,0.5435518042646255,1.3558775672155945,6.26123192163843,36.7772866722618,236
h20_f70_s96_b60_d3,20,0.7,0.96,0.6,3,2,3,1.4701420974631678,0.3919833242208858,1.472614163012858,21.777354131609403,45.44863486728651,236
h20_f70_s96_b60_d3,20,0.7,0.96,0.6,3,2,5,1.4417875739345836,0.3379749863313286,1.4389364639119897,28.082618404947386,48.540059613194366,236
h20_f70_s96_b60_d3,20,0.7,0.96,0.6,3,2,10,1.4630804364374523,0.2693411700382723,1.4699334846719494,37.84304959861627,63.83057218680206,236
h20_f70_s96_b60_d3,20,0.7,0.96,0.6,3,2,20,1.2802028618003984,0.18866183706943684,1.2860804545342615,37.458879637430606,71.8659680420514,236
h20_f70_s96_b60_d4,20,0.7,0.96,0.6,4,2,1,1.4012730181422106,0.5434115122817401,1.4014665461271743,7.2087364578400885,42.00795791783287,218
h20_f70_s96_b60_d4,20,0.7,0.96,0.6,4,2,3,1.592069860750531,0.39185039952648715,1.5926637430564066,25.295690521998797,57.42250485251645,218
h20_f70_s96_b60_d4,20,0.7,0.96,0.6,4,2,5,1.5482175127320519,0.33776635099141755,1.5413987030007932,30.257173217909248,59.68711184205419,218
h20_f70_s96_b60_d4,20,0.7,0.96,0.6,4,2,10,1.5340206185567011,0.2691254809115123,1.5379753284875768,39.76992024741722,72.99156449475227,218
h20_f70_s96_b60_d4,20,0.7,0.96,0.6,4,2,20,1.3386985965256648,0.1884618230245635,1.3488429026922306,41.84526149476316,83.05503005198962,218
h20_f75_s88_b50_d3,20,0.75,0.88,0.5,3,2,1,1.363908666830346,0.5438207647938476,1.3633543805198698,2.638183400743528,39.676967425781726,302
h20_f75_s88_b50_d3,20,0.75,0.88,0.5,3,2,3,1.5023653132763843,0.39231734672078616,1.5035106948178343,15.086768157605222,49.11872785308087,302
h20_f75_s88_b50_d3,20,0.75,0.88,0.5,3,2,5,1.4874911214584485,0.33836252937406536,1.480794722084227,23.091917469056924,54.23289775258002,302
h20_f75_s88_b50_d3,20,0.75,0.88,0.5,3,2,10,1.4604839906962934,0.2698007904293954,1.4552824818742824,27.98667237914193,62.939257347856966,302
h20_f75_s88_b50_d3,20,0.75,0.88,0.5,3,2,20,1.366777361690101,0.18896870326853238,1.3630999409357645,32.42465233506191,75.98456321995029,302
h20_f75_s88_b50_d4,20,0.75,0.88,0.5,4,2,1,1.4058807947019867,0.5436347926267281,1.406787137893633,4.003572069688032,45.1735323173061,280
h20_f75_s88_b50_d4,20,0.75,0.88,0.5,4,2,3,1.5938303341902311,0.3921370967741936,1.5936852783248616,17.84351055013852,59.5354862068503,280
h20_f75_s88_b50_d4,20,0.75,0.88,0.5,4,2,5,1.5737649063032368,0.3381336405529954,1.563695390410767,25.02604952935275,64.04659011745093,280
h20_f75_s88_b50_d4,20,0.75,0.88,0.5,4,2,10,1.5103370906565523,0.2695708525345622,1.5029658289084047,30.279598179661583,71.86961600348079,280
h20_f75_s88_b50_d4,20,0.75,0.88,0.5,4,2,20,1.4004884004884006,0.18870967741935482,1.3987444402396263,39.04555872604222,88.0517453240246,280
h20_f75_s88_b60_d3,20,0.75,0.88,0.6,3,2,1,1.3848770210929768,0.5440372293415819,1.3830924698169467,3.425974963118703,41.725760965443484,292
h20_f75_s88_b60_d3,20,0.75,0.88,0.6,3,2,3,1.5347937691198703,0.3927170790985418,1.5342206299891499,16.158409283950096,50.963595522021535,292
h20_f75_s88_b60_d3,20,0.75,0.88,0.6,3,2,5,1.5363547440495595,0.33882015024304024,1.526160113229835,24.152993068930996,56.427430622784925,292
h20_f75_s88_b60_d3,20,0.75,0.88,0.6,3,2,10,1.4955028618152084,0.27021652673442337,1.4885808523539317,29.87517049549567,68.10180114879371,292
h20_f75_s88_b60_d3,20,0.75,0.88,0.6,3,2,20,1.4127957931638913,0.18907423773751658,1.4109459315257653,35.3432483382808,83.57263044894611,292
h20_f75_s88_b60_d4,20,0.75,0.88,0.6,4,2,1,1.4278787878787875,0.5441299916057082,1.4278764646443196,4.422669975487804,47.35978296175044,269
h20_f75_s88_b60_d4,20,0.75,0.88,0.6,4,2,3,1.6276567329339489,0.3928378702482312,1.6272933431518148,19.008093489631566,62.21557455605767,269
h20_f75_s88_b60_d4,20,0.75,0.88,0.6,4,2,5,1.6232089156200247,0.33894951433025544,1.610849960159862,26.086024883165937,66.62272656770158,269
h20_f75_s88_b60_d4,20,0.75,0.88,0.6,4,2,10,1.553867479900194,0.27034116800575614,1.5453624481254526,31.60571565926475,76.02874176372674,269
h20_f75_s88_b60_d4,20,0.75,0.88,0.6,4,2,20,1.4541996830427892,0.18917136347283847,1.4581113677470483,40.89892138858202,94.34428270717828,269
h20_f75_s88_b70_d3,20,0.75,0.88,0.7,3,2,1,1.4231433506044904,0.5441729323308271,1.422122902812473,3.7703694143366855,47.22978756438194,266
h20_f75_s88_b70_d3,20,0.75,0.88,0.7,3,2,3,1.6359217683138527,0.3929632549114722,1.6345866202671828,18.85845914822175,63.388911609325554,266
h20_f75_s88_b70_d3,20,0.75,0.88,0.7,3,2,5,1.6189581936060808,0.33902801358234297,1.603779416544609,26.036670608704547,68.37511729968794,266
h20_f75_s88_b70_d3,20,0.75,0.88,0.7,3,2,10,1.5427034297242772,0.27049478535047294,1.5324054152745634,31.30321371580109,78.63865165848279,266
h20_f75_s88_b70_d3,20,0.75,0.88,0.7,3,2,20,1.4508735374258697,0.18915231627455736,1.4531125927457111,39.61242464150909,96.82517965875456,266
h20_f75_s88_b70_d4,20,0.75,0.88,0.7,4,2,1,1.4274398062402054,0.5442772952853597,1.4277928832675393,4.199998664498395,48.4782253736118,260
h20_f75_s88_b70_d4,20,0.75,0.88,0.7,4,2,3,1.6243686868686866,0.3930521091811415,1.6257377763209653,19.275586955600488,64.90269245473849,260
h20_f75_s88_b70_d4,20,0.75,0.88,0.7,4,2,5,1.6217303822937625,0.33914392059553355,1.6087832724703486,26.541934648220643,69.50679942445133,260
h20_f75_s88_b70_d4,20,0.75,0.88,0.7,4,2,10,1.5489342195736877,0.2706575682382134,1.539848420488566,32.37550435688878,79.848230141678,260
h20_f75_s88_b70_d4,20,0.75,0.88,0.7,4,2,20,1.4424510526746945,0.18931451612903227,1.445411405597551,42.06667958565227,98.71976721176848,260
h20_f75_s92_b50_d3,20,0.75,0.92,0.5,3,2,1,1.3842404549147038,0.5437279151943462,1.383253796980505,4.092215787888188,38.09346975556188,283
h20_f75_s92_b50_d3,20,0.75,0.92,0.5,3,2,3,1.504613819661411,0.3921976518864699,1.5026510414155818,16.882466901125802,45.83872241921206,283
h20_f75_s92_b50_d3,20,0.75,0.92,0.5,3,2,5,1.473081135731738,0.33822523652114445,1.4614018004500922,23.600901535735638,49.896101588477165,283
h20_f75_s92_b50_d3,20,0.75,0.92,0.5,3,2,10,1.4804014791336504,0.2697195942095064,1.468678107318616,29.79550745850393,60.854194381440294,283
h20_f75_s92_b50_d3,20,0.75,0.92,0.5,3,2,20,1.403138201569101,0.18887495725521483,1.3914270891251277,35.06206501511416,75.92005886403452,283
h20_f75_s92_b50_d4,20,0.75,0.92,0.5,4,2,1,1.4309996873312303,0.5435205784204671,1.4315018791693195,5.679562683756556,43.85669282407525,261
