rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.35,352,1.3920903954802262,120,0,0.4971590909090909,0.3379032258064516,1.4713061401605554,0.5879493835737895,77.80423527532649,1.4713061401605554,1.4713061401605554,1,1,1.344632768361582,1.4435028248587571,1.419750562257207,0.8645533141210374,1.4713061401605554,1.3920903954802262,1.3920903954802262,0.802247191011236,2.115909090909091,4,week_pair_fav_benefit_full_stack50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.419750562257207
0.35,377,1.4909604519774013,120,0,0.48010610079575594,0.3379032258064516,1.4208390572475833,0.5904174140041105,69.62051180356848,1.4208390572475833,1.4208390572475833,1,1,1.364406779661017,1.5819209039548023,1.3729603729603728,0.8763440860215054,1.4208390572475833,1.4909604519774013,1.4909604519774013,0.802247191011236,2.0363636363636366,4,week_pair_benefit_compact_stack50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.3729603729603728
0.35,353,1.396045197740113,250,0,0.43626062322946174,0.3379032258064516,1.2910815580060444,0.5756324873037422,58.07542214288943,1.2910815580060444,1.2910815580060444,1,1,1.3248587570621468,1.4830508474576272,1.2350200803212852,0.853448275862069,1.2910815580060444,1.396045197740113,1.396045197740113,0.755056179775281,1.956818181818182,4,week_pair_fav_compact_stack50,rolling,0.35,250,0,0,0.0,0.0,0,0,1.2350200803212852
0.15,273,1.0796610169491525,60,0,0.41025641025641024,0.3379032258064516,1.2141239826204027,0.5915584056930399,23.726696968539986,1.2141239826204027,1.2141239826204027,1,1,0.9491525423728814,1.225988700564972,1.1742424242424243,0.8432835820895522,1.2141239826204027,1.0796610169491525,1.0796610169491525,0.7477272727272728,1.4636363636363636,4,week_pair_fav_benefit_full_anchor50,rolling,0.15,60,0,0,0.0,0.0,0,0,1.1742424242424243
0.35,387,1.5305084745762714,60,0,0.40568475452196384,0.3379032258064516,1.2005945002559313,0.5741891691545615,51.76461963961369,1.2005945002559313,1.2005945002559313,1,1,1.4830508474576272,1.5819209039548023,1.1711924439197168,0.8821989528795812,1.2005945002559313,1.5305084745762714,1.5305084745762714,0.7865168539325843,2.115909090909091,4,week_pair_ordinal_compact_stack50,rolling,0.35,60,0,0,0.0,0.0,0,0,1.1711924439197168
0.3,313,1.2378531073446328,250,0,0.402555910543131,0.3379032258064516,1.1913349142565213,0.5779915057892611,49.3872678808767,1.1913349142565213,1.1913349142565213,1,1,1.1864406779661016,1.2853107344632768,1.1671686746987953,0.8084415584415584,1.1913349142565213,1.2378531073446328,1.2378531073446328,0.84,2.1,4,week_pair_benefit_compact_anchor25,rolling,0.3,250,0,0,0.0,0.0,0,0,1.1671686746987953
0.35,355,1.4039548022598871,120,0,0.4112676056338028,0.3379032258064516,1.2171165417324952,0.5659711220090755,50.485874108108796,1.2171165417324952,1.2171165417324952,1,1,1.344632768361582,1.5028248587570623,1.1524956970740103,0.84,1.2171165417324952,1.4039548022598871,1.4039548022598871,0.8494382022471911,2.131818181818182,4,week_ndcg_fav_benefit_full_stack50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1524956970740103
0.2,277,1.0954802259887007,20,0,0.4187725631768953,0.3379032258064516,1.2393269172776855,0.5240218721566051,36.48102850074563,1.2393269172776855,1.2393269172776855,1,1,1.0480225988700564,1.1468926553672316,1.148148148148148,0.7058823529411765,1.2393269172776855,1.0954802259887007,1.0954802259887007,0.9863636363636364,1.19,4,week_pair_ordinal_compact,rolling,0.2,20,0,0,0.0,0.0,0,0,1.148148148148148
0.3,421,1.6649717514124296,60,0,0.4156769596199525,0.3379032258064516,1.2301657038872102,0.6056790862764136,34.38633360489389,1.2301657038872102,1.2301657038872102,1,1,1.6016949152542375,1.7598870056497176,1.1469344608879493,0.8942307692307693,1.2301657038872102,1.6649717514124296,1.6649717514124296,1.4786516853932585,2.1,4,week_pair_benefit_compact_anchor50,rolling,0.3,60,0,0,0.0,0.0,0,0,1.1469344608879493
0.2,290,1.1468926553672316,20,0,0.4206896551724138,0.3379032258064516,1.2450004114887665,0.5493257247840837,43.67080833283482,1.2450004114887665,1.2450004114887665,1,1,1.0875706214689267,1.225988700564972,1.1463790446841295,0.743859649122807,1.2450004114887665,1.1468926553672316,1.1468926553672316,1.0022727272727272,1.3299999999999998,4,week_pair_ordinal_compact_anchor25,rolling,0.2,20,0,0,0.0,0.0,0,0,1.1463790446841295
