currency,year,rows,available,hard_usable,coverage,hard_coverage,mean_quality,median_bars,median_age_min
AMD,2022,247,105,99,0.4251012145748988,0.4008097165991903,0.2854767597913672,0.0,720.0
AMD,2023,247,195,189,0.7894736842105263,0.7651821862348178,0.6096277047132388,19.0,10.933333333333334
AMD,2024,248,196,195,0.7903225806451613,0.7862903225806451,0.6391405504538598,20.0,7.975
AMD,2025,247,196,189,0.7935222672064778,0.7651821862348178,0.49786797647343417,15.0,13.483333333333333
AMD,2026,162,129,122,0.7962962962962963,0.7530864197530864,0.48549460388157906,16.0,17.966666666666665
KGS,2022,247,3,0,0.012145748987854251,0.0,0.00026985649842303723,0.0,720.0
KGS,2023,247,153,79,0.6194331983805668,0.31983805668016196,0.15278480755032303,3.0,90.01666666666667
KGS,2024,248,185,36,0.7459677419354839,0.14516129032258066,0.09496035588599303,3.0,84.7
KGS,2025,247,162,8,0.6558704453441295,0.032388663967611336,0.04871423054753979,2.0,163.98333333333332
KGS,2026,162,105,7,0.6481481481481481,0.043209876543209874,0.04643157891034016,1.0,167.98333333333332
KZT,2022,247,191,159,0.7732793522267206,0.6437246963562753,0.642358059129253,32.0,0.016666666666666666
KZT,2023,247,195,195,0.7894736842105263,0.7894736842105263,0.7893640427018891,33.0,0.016666666666666666
KZT,2024,248,196,195,0.7903225806451613,0.7862903225806451,0.7787816350486804,32.0,0.016666666666666666
KZT,2025,247,196,191,0.7935222672064778,0.7732793522267206,0.5487832977168733,16.0,10.016666666666667
KZT,2026,162,129,112,0.7962962962962963,0.691358024691358,0.4017870807168062,12.5,20.016666666666666
TJS,2022,247,0,0,0.0,0.0,0.0,0.0,720.0
TJS,2023,247,2,0,0.008097165991902834,0.0,2.5210813931473138e-05,0.0,720.0
TJS,2024,248,17,0,0.06854838709677419,0.0,0.00031332045920613423,0.0,720.0
TJS,2025,247,0,0,0.0,0.0,0.0,0.0,720.0
TJS,2026,162,0,0,0.0,0.0,0.0,0.0,720.0
UZS,2022,247,13,0,0.05263157894736842,0.0,0.00045734013708232074,0.0,720.0
UZS,2023,247,174,22,0.7044534412955465,0.08906882591093117,0.06609470780898714,2.0,140.91666666666666
UZS,2024,248,129,5,0.5201612903225806,0.020161290322580645,0.027568326022564826,1.0,285.7416666666667
UZS,2025,247,80,0,0.32388663967611336,0.0,0.009089872808818109,0.0,720.0
UZS,2026,162,48,1,0.2962962962962963,0.006172839506172839,0.008508616014547126,0.0,720.0
