period,h,metric,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_t10_better
screen_2024,1,brier,20,248,-0.045898285506318345,-0.06807589537046568,-0.025831005078741316,1.0
screen_2024,1,brier,50,248,-0.045898285506318345,-0.069370710374606,-0.022961025658990827,1.0
screen_2024,1,absolute_error_bps,20,248,83.46997532503576,4.6181587259742205,200.16925556065814,0.011
screen_2024,1,absolute_error_bps,50,248,83.46997532503576,-11.387587515480961,207.46658833472844,0.067
screen_2024,3,brier,20,248,-0.02774958623856995,-0.0399211734469318,-0.014959417138509618,1.0
screen_2024,3,brier,50,248,-0.02774958623856995,-0.036344922000015045,-0.017928726524044248,1.0
screen_2024,3,absolute_error_bps,20,248,108.65731729299681,-19.048779709314317,348.37528034783816,0.214
screen_2024,3,absolute_error_bps,50,248,108.65731729299681,-22.087717333004335,348.0126628340657,0.286
screen_2024,5,brier,20,248,-0.018954495519818114,-0.032933570229773314,-0.0038002641413262903,0.989
screen_2024,5,brier,50,248,-0.018954495519818114,-0.029353798603774215,-0.007609456656446795,0.999
screen_2024,5,absolute_error_bps,20,248,209.91095195824528,47.90090637225145,437.07389554111035,0.0
screen_2024,5,absolute_error_bps,50,248,209.91095195824528,-9.380972876243,463.87027255080915,0.037
screen_2024,10,brier,20,248,-0.007259965478902979,-0.016100083769146394,0.002645461775592818,0.927
screen_2024,10,brier,50,248,-0.007259965478902979,-0.013957353649042523,-0.0005025936577801648,0.984
screen_2024,10,absolute_error_bps,20,248,126.99286317110894,30.84009142877857,234.59171632640565,0.004
screen_2024,10,absolute_error_bps,50,248,126.99286317110894,-7.295660034921091,266.1526516999657,0.039
screen_2024,20,brier,20,248,-0.0029891100996602246,-0.010398321358495964,0.004724774561277817,0.775
screen_2024,20,brier,50,248,-0.0029891100996602246,-0.007888633441014675,0.0028734698181052476,0.853
screen_2024,20,absolute_error_bps,20,248,953.7185577174671,276.30404376327635,1764.1020243264459,0.0
screen_2024,20,absolute_error_bps,50,248,953.7185577174671,33.96820728095763,2155.946226987735,0.005
opened_2025_2026,1,brier,20,408,-0.055853628805892445,-0.06666236154254915,-0.04462568965848845,1.0
opened_2025_2026,1,brier,50,408,-0.055853628805892445,-0.0659487339902901,-0.04391511357598933,1.0
opened_2025_2026,1,absolute_error_bps,20,408,-16.339487519515558,-20.63257540690405,-11.735710638489966,1.0
opened_2025_2026,1,absolute_error_bps,50,408,-16.339487519515558,-20.429613336040294,-11.933456844580085,1.0
opened_2025_2026,3,brier,20,406,-0.03370245954941312,-0.045076085568166745,-0.023025146553092218,1.0
opened_2025_2026,3,brier,50,406,-0.03370245954941312,-0.04298244817458553,-0.02507415933949681,1.0
opened_2025_2026,3,absolute_error_bps,20,406,-13.12849898592089,-20.062538993506056,-7.087629526661436,1.0
opened_2025_2026,3,absolute_error_bps,50,406,-13.12849898592089,-18.58205803994005,-7.627612403131807,1.0
opened_2025_2026,5,brier,20,404,-0.023527420185637603,-0.032574586235274865,-0.015428400057773411,1.0
opened_2025_2026,5,brier,50,404,-0.023527420185637603,-0.03307267152437265,-0.015356619443867892,1.0
opened_2025_2026,5,absolute_error_bps,20,404,-12.73790558514668,-21.242245318833177,-4.94498475782375,1.0
opened_2025_2026,5,absolute_error_bps,50,404,-12.73790558514668,-19.782163548069985,-5.212092649859129,1.0
opened_2025_2026,10,brier,20,399,-0.014674332356968179,-0.021902239805869347,-0.0078114144654446,1.0
opened_2025_2026,10,brier,50,399,-0.014674332356968179,-0.023655812761005316,-0.007325839813451067,1.0
opened_2025_2026,10,absolute_error_bps,20,399,-12.026361740917887,-28.407165209109674,5.500943880884681,0.916
opened_2025_2026,10,absolute_error_bps,50,399,-12.026361740917887,-30.150484136414722,7.079247825518861,0.896
opened_2025_2026,20,brier,20,389,-0.008276671513389707,-0.013754632576250342,-0.003914181498910752,1.0
opened_2025_2026,20,brier,50,389,-0.008276671513389707,-0.015121226227704303,-0.003427510393314667,1.0
opened_2025_2026,20,absolute_error_bps,20,389,-25.40721059260911,-62.06807171859303,10.797909655494225,0.912
opened_2025_2026,20,absolute_error_bps,50,389,-25.40721059260911,-61.219648996172175,14.834605917067105,0.901
