h,period,selected,availability,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
1,screen_2024,hybrid_hgb,0.7862903225806451,1240,0.5435483870967742,0.1977507016180943,0.5730767090501818,0.049709969676595085,0.7525636723951725,0.788375347953931,0.1977507016180943,0.5730767090501818,0.049709969676595085,0.7525636723951725,0.788375347953931,0.24863337613692413,0.6904213457642329,0.009232004608369815,0.48519597152174143,0.5401789832436167
1,opened_2025_2026,hybrid_hgb,0.7921760391198044,2040,0.49950980392156863,0.18910470905468196,0.5557411444943393,0.04477435725937803,0.7831927943029549,0.7865047431523635,0.18910470905468196,0.5557411444943393,0.04477435725937803,0.7831927943029549,0.7865047431523635,0.2524998404890993,0.6981638660551329,0.02420242028184294,0.41682277664626743,0.4514718622417193
3,screen_2024,cny_rank,0.7862903225806451,1240,0.3919354838709677,0.21771856526208005,0.6218111044416657,0.09448527851984412,0.6905188787372696,0.5340645156730455,0.21771856526208005,0.6218111044416657,0.09448527851984412,0.6905188787372696,0.5340645156730455,0.2392830501191843,0.6716352845980416,0.005865781489780619,0.46238852321227797,0.3828325200904403
3,opened_2025_2026,cny_rank,0.7921760391198044,2030,0.3315270935960591,0.1835560395627568,0.5470117288553843,0.05028527755026865,0.7546380498017544,0.611907629575625,0.1835560395627568,0.5470117288553843,0.05028527755026865,0.7546380498017544,0.611907629575625,0.2249653726783782,0.6424938526252169,0.03071348430813725,0.3875786878011872,0.27858170182458397
5,screen_2024,cny_rank,0.7862903225806451,1240,0.3379032258064516,0.2166609750358982,0.6214286540488287,0.097433297580471,0.6594713938121913,0.4199157377119296,0.2166609750358982,0.6214286540488287,0.097433297580471,0.6594713938121913,0.4199157377119296,0.22527923301046798,0.6431770591489561,0.012036064942313796,0.40239070462414134,0.29314021128860046
5,opened_2025_2026,cny_rank,0.7921760391198044,2020,0.26782178217821784,0.17162100128504248,0.520857321511653,0.0549882813149632,0.7300706502245234,0.51605173250426,0.17162100128504248,0.520857321511653,0.0549882813149632,0.7300706502245234,0.51605173250426,0.19991255683675516,0.59012054291258,0.08966328780792437,0.3781711677596018,0.219138379319801
10,screen_2024,cny_rank,0.7862903225806451,1240,0.2693548387096774,0.19343315163415606,0.5700532630896853,0.06936253590542803,0.6294579714742701,0.3218761185572992,0.19343315163415606,0.5700532630896853,0.06936253590542803,0.6294579714742701,0.3218761185572992,0.19794789495387147,0.5856248884310514,0.01570740499026213,0.41595451481143675,0.2361482226126602
10,opened_2025_2026,cny_rank,0.7921760391198044,1995,0.2025062656641604,0.15032242309867355,0.47205381640619987,0.039571189710046896,0.6836016018320877,0.3773444312179848,0.15032242309867355,0.47205381640619987,0.039571189710046896,0.6836016018320877,0.3773444312179848,0.16533788060745003,0.5145697019324745,0.030088295101817597,0.3323373742151085,0.15463966009602934
20,screen_2024,cny_rank,0.7862903225806451,1240,0.18870967741935485,0.15226788819221687,0.47723209902125896,0.029705157522023625,0.6143778355507977,0.22854339879329977,0.15226788819221687,0.47723209902125896,0.029705157522023625,0.6143778355507977,0.22854339879329977,0.15325877439466618,0.4848847799921054,0.044957698164569085,0.49973449898897215,0.2108858022520902
20,opened_2025_2026,cny_rank,0.7921760391198044,1945,0.15115681233933162,0.12552922767147445,0.41370679532002264,0.01768640837600464,0.6242166157801703,0.21867202378448736,0.12552922767147445,0.41370679532002264,0.01768640837600464,0.6242166157801703,0.21867202378448736,0.13182237169831362,0.4368104590380246,0.035002560868110565,0.2803536920522297,0.10957379739670978
