state,h,period,candidate,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
premarket,1,screen_2024,model,1240,78.87648509824878,61.71417108209789,112.33471655021285,96.25607846658144,0.13205415003018217,0.5798387096774194,32.47316869197579,3.3385230784683944
premarket,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
premarket,1,screen_2024,adaptive,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
premarket,1,opened_2025_2026,model,2040,72.35254878887135,70.53748746584813,95.14393453722369,94.54792380715715,0.17402515401076132,0.567156862745098,0.8203655473260001,-2.168175060830078
premarket,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
premarket,1,opened_2025_2026,adaptive,2040,70.21397734445107,70.53748746584813,93.95334752732917,94.54792380715715,0.11445798938762965,0.5372549019607843,-0.3145185288915452,-2.168175060830078
cutoff_1030,1,screen_2024,model,1240,68.22862840462781,61.71417108209789,97.41634436960953,96.25607846658144,0.5091283374798274,0.6975806451612904,18.701335032642916,3.3385230784683944
cutoff_1030,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1030,1,screen_2024,adaptive,1240,55.89078313437819,61.71417108209789,90.6250154251096,96.25607846658144,0.506956228719309,0.6919354838709677,5.235104874237421,3.3385230784683944
cutoff_1030,1,opened_2025_2026,model,2040,55.357417535798426,70.53748746584813,74.50351872477322,94.54792380715715,0.6482358055842814,0.7284313725490196,0.2183465526758134,-2.168175060830078
cutoff_1030,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1030,1,opened_2025_2026,adaptive,2040,56.86217745158821,70.53748746584813,79.414361424719,94.54792380715715,0.6230894488379692,0.7303921568627451,0.6588632437453482,-2.168175060830078
cutoff_1130,1,screen_2024,model,1240,66.74181094820071,61.71417108209789,95.9377888737825,96.25607846658144,0.5266464415855395,0.7088709677419355,15.807583671219659,3.3385230784683944
cutoff_1130,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1130,1,screen_2024,adaptive,1240,55.45508169608905,61.71417108209789,90.30003170280622,96.25607846658144,0.5249224927955859,0.7080645161290322,4.511667033881605,3.3385230784683944
cutoff_1130,1,opened_2025_2026,model,2040,53.07245235937101,70.53748746584813,71.92482132078145,94.54792380715715,0.6818890141277979,0.7421568627450981,0.0018898955431849935,-2.168175060830078
cutoff_1130,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1130,1,opened_2025_2026,adaptive,2040,55.690948463980035,70.53748746584813,78.39964799526491,94.54792380715715,0.6526762905212442,0.740686274509804,0.7186055753447311,-2.168175060830078
cutoff_1230,1,screen_2024,model,1240,66.4417163260034,61.71417108209789,95.5829019463775,96.25607846658144,0.5385440610181325,0.7201612903225807,16.32466356063398,3.3385230784683944
