period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1030,1,model,20,248,-12.337845270249614,-20.200291272482957,-5.638933640548831,1.0
screen_2024,cutoff_1030,1,model,50,248,-12.337845270249614,-19.47927457973923,-5.503393621999753,1.0
screen_2024,cutoff_1030,1,prior,20,248,-5.823387947719702,-7.987943898073596,-3.929610667350151,1.0
screen_2024,cutoff_1030,1,prior,50,248,-5.823387947719702,-7.947354723817888,-3.8403378897192897,1.0
screen_2024,cutoff_1130,1,model,20,248,-11.286729252111648,-19.58700662078797,-3.7502177400871473,1.0
screen_2024,cutoff_1130,1,model,50,248,-11.286729252111648,-19.412884651144964,-3.6295055255358584,0.999
screen_2024,cutoff_1130,1,prior,20,248,-6.25908938600884,-7.99015843022198,-4.5678350034922355,1.0
screen_2024,cutoff_1130,1,prior,50,248,-6.25908938600884,-7.989811885486098,-4.669384861763552,1.0
screen_2024,cutoff_1230,1,model,20,248,-11.262270359662496,-19.555735697739458,-3.649966814774716,0.999
screen_2024,cutoff_1230,1,model,50,248,-11.262270359662496,-19.850393147845125,-3.2029374658189314,0.995
screen_2024,cutoff_1230,1,prior,20,248,-6.53472511575699,-8.326697555020683,-5.017226725116376,1.0
screen_2024,cutoff_1230,1,prior,50,248,-6.53472511575699,-8.347029131829135,-4.979547568900303,1.0
screen_2024,cutoff_1330,1,model,20,248,-10.763762264235277,-19.16756831655731,-3.3638333861910668,1.0
screen_2024,cutoff_1330,1,model,50,248,-10.763762264235277,-19.50367776344643,-2.3000216191022957,0.997
screen_2024,cutoff_1330,1,prior,20,248,-6.970789575911097,-8.645213381936287,-5.563104847954372,1.0
screen_2024,cutoff_1330,1,prior,50,248,-6.970789575911097,-8.561466156956385,-5.718192750241365,1.0
screen_2024,cutoff_1430,1,model,20,248,-10.242436976927614,-18.78460566119598,-2.199245644245926,0.992
screen_2024,cutoff_1430,1,model,50,248,-10.242436976927614,-19.838664257821037,-2.2243226005339265,0.997
screen_2024,cutoff_1430,1,prior,20,248,-7.111893004228245,-8.597228614442658,-5.692938060941894,1.0
screen_2024,cutoff_1430,1,prior,50,248,-7.111893004228245,-8.619272404082514,-5.817239835648456,1.0
screen_2024,cutoff_1500,1,model,20,248,-10.085359829275982,-19.69820119840257,-2.700324640775533,0.997
screen_2024,cutoff_1500,1,model,50,248,-10.085359829275982,-19.582335555983846,-2.164358067740464,0.996
screen_2024,cutoff_1500,1,prior,20,248,-7.146692549779084,-8.732138210304253,-5.765268511140469,1.0
screen_2024,cutoff_1500,1,prior,50,248,-7.146692549779084,-8.597716507371457,-5.800662497517165,1.0
screen_2024,cutoff_1520,1,model,20,248,-9.619917760670038,-18.46778970545687,-1.5883710496054033,0.99
screen_2024,cutoff_1520,1,model,50,248,-9.619917760670038,-19.257952675701183,-1.7324444834919153,0.996
