clock,year,rows,cny_share,dual_share,dual_rows
perp_2000,2022,1235,0.7004048582995951,0.7004048582995951,865
perp_2000,2023,1235,1.0,1.0,1235
perp_2000,2024,1240,1.0,1.0,1240
perp_2000,2025,1235,1.0,1.0,1235
perp_2000,2026,810,1.0,1.0,810
perp_2100,2022,1235,0.7004048582995951,0.7004048582995951,865
perp_2100,2023,1235,1.0,1.0,1235
perp_2100,2024,1240,1.0,1.0,1240
perp_2100,2025,1235,1.0,1.0,1235
perp_2100,2026,810,1.0,1.0,810
perp_2200,2022,1235,0.7004048582995951,0.7004048582995951,865
perp_2200,2023,1235,1.0,1.0,1235
perp_2200,2024,1240,1.0,1.0,1240
perp_2200,2025,1235,1.0,1.0,1235
perp_2200,2026,810,1.0,1.0,810
perp_2300,2022,1235,0.7004048582995951,0.7004048582995951,865
perp_2300,2023,1235,1.0,1.0,1235
perp_2300,2024,1240,1.0,1.0,1240
perp_2300,2025,1235,1.0,1.0,1235
perp_2300,2026,810,1.0,1.0,810
