scenario,clock,h,model,train_rows,evaluation_rows,latest_train_maturity_ord,fit_cutoff_ord,status,reason
calendar_assumed_replay,00:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,00:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,00:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,00:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,06:00,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,06:00,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,06:00,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,06:00,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,09:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,09:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,09:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,09:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,10:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,10:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,10:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,10:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,10:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,10:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,11:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,11:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,11:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,12:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,12:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,12:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,13:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,13:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,13:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,14:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,14:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,14:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,15:10,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,15:10,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,15:10,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,15:25,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,15:25,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,15:25,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,15:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,15:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,15:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,15:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,16:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,16:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,16:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,16:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,17:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,17:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,17:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,17:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,18:45,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,18:45,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,18:45,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,18:45,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,19:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,19:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,19:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,19:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,20:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,20:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,20:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,20:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,21:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,21:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,21:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,21:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,22:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,22:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,22:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,22:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,23:15,5,identity,1750,3015,739249,739250,identity,
calendar_assumed_replay,23:15,5,global_platt,1750,3015,739249,739250,fit,
calendar_assumed_replay,23:15,5,fixed_logit_shrink_80,1750,3015,739249,739250,fixed,
calendar_assumed_replay,23:15,5,hierarchical_beta,1750,3015,739249,739250,fit,
calendar_assumed_replay,00:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,00:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,00:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,00:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,06:00,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,06:00,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,06:00,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,06:00,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,09:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,09:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,09:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,09:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,10:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,10:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,10:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,10:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,10:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,10:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,10:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,10:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,11:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,11:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,11:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,11:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,12:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,12:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,12:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,12:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,13:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,13:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,13:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,13:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,14:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,14:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,14:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,14:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,15:10,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,15:10,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,15:10,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,15:10,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,15:25,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,15:25,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,15:25,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,15:25,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,15:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,15:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,15:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,15:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,16:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,16:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,16:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,16:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,17:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,17:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,17:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,17:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,18:45,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,18:45,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,18:45,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,18:45,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,19:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,19:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,19:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,19:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,20:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,20:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,20:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,20:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,21:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,21:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,21:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,21:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,22:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,22:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,22:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,22:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,23:15,10,identity,1715,2980,739249,739250,identity,
calendar_assumed_replay,23:15,10,global_platt,1715,2980,739249,739250,fit,
calendar_assumed_replay,23:15,10,fixed_logit_shrink_80,1715,2980,739249,739250,fixed,
calendar_assumed_replay,23:15,10,hierarchical_beta,1715,2980,739249,739250,fit,
calendar_assumed_replay,00:15,20,identity,1645,2910,739249,739250,identity,
calendar_assumed_replay,00:15,20,global_platt,1645,2910,739249,739250,fit,
calendar_assumed_replay,00:15,20,fixed_logit_shrink_80,1645,2910,739249,739250,fixed,
calendar_assumed_replay,00:15,20,hierarchical_beta,1645,2910,739249,739250,fit,
calendar_assumed_replay,06:00,20,identity,1645,2910,739249,739250,identity,
calendar_assumed_replay,06:00,20,global_platt,1645,2910,739249,739250,fit,
calendar_assumed_replay,06:00,20,fixed_logit_shrink_80,1645,2910,739249,739250,fixed,
calendar_assumed_replay,06:00,20,hierarchical_beta,1645,2910,739249,739250,fit,
calendar_assumed_replay,09:15,20,identity,1645,2910,739249,739250,identity,
calendar_assumed_replay,09:15,20,global_platt,1645,2910,739249,739250,fit,
calendar_assumed_replay,09:15,20,fixed_logit_shrink_80,1645,2910,739249,739250,fixed,
