candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
hold_1630,1,2023-01-01,14791,7343,0.49396714786222473,280,False,-0.17498550100839322,"[0.01890756353734269, 0.0024683775855015152, -0.07793776524943444, -0.017136383176277505, 0.030232213924995692, -0.11027714998588814]",2022-12-29
hold_1630,1,2023-04-01,15071,7514,0.5030474341953913,305,False,-0.07188023288590925,"[0.010841376436262496, 0.013496010867324198, -0.04998459347692676, -0.004474968994870732, 0.06106368053121841, -0.09100840688544923]",2023-03-29
hold_1630,1,2023-07-01,15376,7688,0.508720359362374,330,False,-0.027099175016476816,"[0.008123541480060987, 0.021359672719572405, -0.03691454805797655, -0.000686859119561845, 0.06474270109020465, -0.07531483759025841]",2023-06-28
hold_1630,1,2023-10-01,15706,7892,0.5185086714652714,320,False,0.029633524495350762,"[0.005090029229068262, 0.0368379425677034, -0.03254143263223125, 0.0220888969071744, 0.08701885356517926, -0.08412430429851897]",2023-09-28
hold_1630,1,2024-01-01,16031,8042,0.5134255439670427,285,False,-0.02001493862555452,"[0.011281272782225996, 0.029297755524710006, -0.039315806149721064, 0.010428244648579697, 0.043755524806638926, -0.06395100761382463]",2023-12-29
hold_1630,1,2024-04-01,16316,8201,0.5169928992341541,300,False,-0.0033103401891728963,"[0.011343587628165019, 0.03116089171694179, -0.026695153031307123, 0.013745807330846509, 0.04450406304622324, -0.06598669051686297]",2024-03-29
hold_1630,1,2024-07-01,16616,8341,0.5127673639191027,325,False,-0.04170511364342216,"[0.01737208625101116, 0.016077865517065332, -0.04812863922239284, 0.005462996906957238, 0.04335791561113572, -0.057958190974704414]",2024-06-28
hold_1630,1,2024-10-01,16946,8531,0.5184528638362007,330,False,-0.013360208005503457,"[0.016800201023115188, 0.014325711567220968, -0.04468883983422941, 0.031095111200746085, 0.05565661741336001, -0.06960247429306897]",2024-09-28
hold_1630,1,2025-01-01,17276,8717,0.5222684159476914,285,False,0.0007746401447073851,"[0.01809482097178522, 0.030666595728400775, -0.02876156966919632, 0.03515421293792205, 0.05211681357595951, -0.08841228485670435]",2024-12-29
hold_1630,1,2025-04-01,17561,8830,0.5125496998722576,295,False,-0.05502157417598745,"[0.02607149383649877, 0.019553210685465897, -0.040847861248527434, 0.012672392542905154, 0.03400742674572945, -0.07956058077064636]",2025-03-29
hold_1630,1,2025-07-01,17856,8961,0.5072031702603957,330,False,-0.0787764523957389,"[0.030129276964695344, 0.05535459377796396, -0.0439669765814722, -0.022275669203491045, 0.01919381611329852, -0.08585095904321252]",2025-06-28
hold_1630,1,2025-10-01,18181,9157,0.5156937927313952,325,False,-0.03833785536759586,"[0.028977843998969605, 0.07158156370117605, -0.034230859391986175, -0.004149489953078647, 0.03366018724156963, -0.10466261137607735]",2025-09-27
hold_1630,1,2026-01-01,18501,9285,0.5057324973018527,270,False,-0.08676634512043939,"[0.0367701647621942, 0.051963054536597726, -0.03946856534780474, -0.033532381419368304, 0.017219850916234878, -0.08205202838349006]",2025-12-27
hold_1630,1,2026-04-01,18776,9429,0.5071660381414647,310,False,-0.08317128935583613,"[0.040101807922011914, 0.03832742778909574, -0.036067795774418855, -0.04161735542617644, 0.027357284118177477, -0.07055906479353882]",2026-03-28
hold_1630,1,2026-07-01,19086,9579,0.505582675046287,230,False,-0.09210690132238838,"[0.04529795800921768, 0.032621822179667484, -0.019891806817161545, -0.06287845192298316, 0.022086138050657917, -0.06327782831448675]",2026-06-27
hold_1630,3,2023-01-01,14781,4676,0.3203053668303132,280,False,-0.765198604393625,"[0.01645322523388613, -0.12719876364043353, -0.1902559793793883, -0.12414867673062799, -0.08056814584366086, -0.23391723920572097]",2022-12-29
hold_1630,3,2023-04-01,15061,4817,0.3343778516320013,305,False,-0.6031077500596255,"[0.0036853331104891797, -0.10498105736246442, -0.15599997047167097, -0.10220055288344754, -0.026312612400651678, -0.20779451468521062]",2023-03-29
hold_1630,3,2023-07-01,15366,4952,0.34336925443244387,330,False,-0.5364075611948858,"[-0.0007295416891073941, -0.08728606511859757, -0.14508005187546177, -0.09087399327363153, -0.01627290978333791, -0.19179179211190375]",2023-06-28
hold_1630,3,2023-10-01,15696,5122,0.3586011301467577,320,False,-0.4429867420524739,"[-0.006791793720981871, -0.07014624466590773, -0.12209135220855696, -0.06190810773126444, 0.010357922386623631, -0.19413040069525814]",2023-09-28
hold_1630,3,2024-01-01,16021,5229,0.35594910402865587,285,False,-0.489644767853922,"[-0.0009673600361905641, -0.07236408412912114, -0.11389764531785564, -0.06459584369505707, -0.03796597276740095, -0.1961894099678792]",2023-12-29
hold_1630,3,2024-04-01,16306,5340,0.3587375216749089,300,False,-0.48621804923388967,"[0.00018685094896183426, -0.06897617231761258, -0.10093855925261236, -0.0676881464423419, -0.024846978949529287, -0.21927196030512108]",2024-03-29
hold_1630,3,2024-07-01,16606,5417,0.35023539525277214,325,False,-0.5616317174696992,"[0.009026274619204784, -0.08085569680272468, -0.12246104722633318, -0.07396451366686474, -0.046849739413264826, -0.22778703337301304]",2024-06-28
hold_1630,3,2024-10-01,16936,5558,0.3571727297001019,330,False,-0.5253774129376083,"[0.007461585234728355, -0.0834139645241145, -0.1330340782680067, -0.037500806670258326, -0.04660742442104075, -0.21609006053267385]",2024-09-28
