candidate,h,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
hold_1630,1,2040,0.49950980392156863,0.15668235294117897,0.46916126579930906,0.048745100490196036,0.8500652153644899,0.8559022510939902,0.24342103980618035,0.6799427599714641,0.06909568837710625,0.6929572212199359,0.6979224441550267,0.25098178989670533,0.6951121049123081,0.011544870986181732,0.41682277664626743,0.4514718622417193
hold_1630,3,2030,0.3315270935960591,0.19862589162561822,0.5822863434080751,0.18504433251231528,0.8124243781350566,0.6862275493415503,0.21937379366751739,0.6301609944096521,0.01313015598622314,0.5776289582058142,0.3975710410983191,0.22324310388192128,0.6388280503776465,0.01786853893780105,0.3805051348957199,0.2761689148281419
hold_1630,5,2020,0.26782178217821784,0.2259939405940619,0.6651089431918884,0.24824752227722774,0.7926335299241756,0.5700373861879118,0.19649838992956117,0.5819932194250037,0.012636711506779332,0.5049016483386012,0.27109388547045477,0.1978132104818319,0.5852754908732332,0.022901197938377558,0.36606077194087533,0.21581798266295676
hold_1630,10,1995,0.2025062656641604,0.25546446115288474,0.7527103928689673,0.31513784210526313,0.778422562557953,0.4456376596736859,0.16360241641754084,0.5099146973706582,0.03249280936212247,0.4477234257052355,0.17248079147891393,0.16327483459717831,0.5090678787760597,0.014539791216725245,0.32312715086719235,0.15258092782442909
hold_1630,20,1945,0.15115681233933162,0.2797554755784087,0.8320940697104241,0.3618817455012854,0.7496425584164617,0.3123827435686525,0.1308135171383061,0.4337534460446693,0.007329829604883667,0.39428999946435267,0.11522221837143701,0.13006588621306397,0.4311964785651667,0.008050414630810937,0.2803536920522297,0.10957379739670978
update_1630,1,2040,0.49950980392156863,0.1699119607843162,0.5045540331065945,0.0433235269607843,0.8284629262427203,0.8268222166499994,0.2445951834209424,0.682303919061775,0.06028544974942813,0.6633267621364496,0.6651300136334424,0.25098178989670533,0.6951121049123081,0.011544870986181732,0.41682277664626743,0.4514718622417193
update_1630,3,2030,0.3315270935960591,0.19842482758620938,0.5836727269995273,0.1850640369458128,0.8170150701716158,0.6862197873644698,0.21955268319798377,0.6305689864285257,0.012092545535349167,0.5729955620572871,0.39299360091911395,0.22324310388192128,0.6388280503776465,0.01786853893780105,0.3805051348957199,0.2761689148281419
update_1630,5,2020,0.26782178217821784,0.22479192079208168,0.66478989499717,0.2471485123762376,0.7990261692031009,0.565912581135251,0.1965652962261652,0.5821606339146119,0.011128781462610537,0.5019934036461164,0.270126299649332,0.1978132104818319,0.5852754908732332,0.022901197938377558,0.36606077194087533,0.21581798266295676
update_1630,10,1995,0.2025062656641604,0.25488697744361155,0.7545004617277765,0.31382455889724303,0.7811801843289294,0.43119755865848475,0.163650763728032,0.5100595099954294,0.03579273900456308,0.4450435929828055,0.17162646096676948,0.16327483459717831,0.5090678787760597,0.014539791216725245,0.32312715086719235,0.15258092782442909
update_1630,20,1945,0.15115681233933162,0.2810378200514165,0.8322408821033728,0.3624267326478149,0.7496271070511791,0.3087301645801912,0.13082704392190767,0.43381164390144983,0.006951934360097282,0.3928262401265775,0.11500311143341738,0.13006588621306397,0.4311964785651667,0.008050414630810937,0.2803536920522297,0.10957379739670978
