comparison,metric,block_dates,mean_delta,ci_low,ci_high
identity,brier,20,0.0,0.0,0.0
identity,logloss,20,0.0,0.0,0.0
identity,auc,20,0.0,0.0,0.0
identity,brier,50,0.0,0.0,0.0
identity,logloss,50,0.0,0.0,0.0
identity,auc,50,0.0,0.0,0.0
t25,brier,20,0.004577072494322772,-0.0032873601086154773,0.01192925466380764
t25,logloss,20,0.007735978202896535,-0.030704351198785514,0.04292938996125719
t25,auc,20,-0.17499377730948898,-0.27532900773118935,-0.07910736329874671
t25,brier,50,0.004541257347073742,-0.0040962804106840665,0.012844803386393064
t25,logloss,50,0.007538349985973245,-0.03266039464626247,0.04494637551390193
t25,auc,50,-0.17171147074314938,-0.2902124434924617,-0.043846815488467174
