quarter_origin,candidate,window,ridge,cutoff_ord,eligible_feedback_batches,selected_feedback_batches,training_rows,latest_feedback_publication_date,latest_feedback_maturity_ord,weight_identity,weight_all,weight_recent2y,weight_sum,objective,query_rows,cold_start,gate_output
2023-01-01,qstack_w125_r100,125,1.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280,True,identity_early
2023-04-01,qstack_w125_r100,125,1.0,738609,34,34,170,2023-02-28,738608.0,0.4541112148524326,0.2600856270651325,0.2858031580824349,1.0,0.8046317641969736,305,False,qstack_w125_r100
2023-07-01,qstack_w125_r100,125,1.0,738700,95,95,475,2023-05-30,738699.0,0.3832424048771508,0.3048241464081437,0.3119334487147053,1.0,0.6697266399688928,330,False,qstack_w125_r100
2023-10-01,qstack_w125_r100,125,1.0,738792,161,125,625,2023-08-31,738791.0,0.3621555077287236,0.3288452730290852,0.3089992192421912,1.0000000000000002,0.6038317469612088,320,False,qstack_w125_r100
2024-01-01,qstack_w125_r100,125,1.0,738884,226,125,625,2023-12-01,738883.0,0.308508003438119,0.3416164493227188,0.3498755472391621,1.0,0.4709018703305144,285,False,qstack_w125_r100
2024-04-01,qstack_w125_r100,125,1.0,738975,283,125,625,2024-02-29,738974.0,0.2556308093807865,0.3567229543075992,0.3876462363116141,1.0,0.3886616107779364,300,False,qstack_w125_r100
2024-07-01,qstack_w125_r100,125,1.0,739066,343,125,625,2024-05-30,739065.0,0.3121419083626331,0.3467406232864644,0.3411174683509025,1.0,0.459099437724103,325,False,qstack_w125_r100
2024-10-01,qstack_w125_r100,125,1.0,739158,409,125,625,2024-08-31,739157.0,0.3264234958981585,0.3382567170094846,0.3353197870923569,1.0,0.3813389564954693,330,False,qstack_w125_r100
2025-01-01,qstack_w125_r100,125,1.0,739250,475,125,625,2024-12-03,739249.0,0.318504269213885,0.3386348975888049,0.3428608331973101,1.0,0.5298051690498317,285,False,qstack_w125_r100
2025-04-01,qstack_w125_r100,125,1.0,739340,532,125,625,2025-03-01,739339.0,0.3087884554844393,0.3515305833127889,0.3396809612027717,1.0,0.4356250340977396,295,False,qstack_w125_r100
2025-07-01,qstack_w125_r100,125,1.0,739431,591,125,625,2025-05-29,739430.0,0.3089094578354034,0.3616513257496073,0.3294392164149893,1.0,0.2082847682173749,330,False,qstack_w125_r100
2025-10-01,qstack_w125_r100,125,1.0,739523,656,125,625,2025-08-30,739521.0,0.3257939822275646,0.3533588657123567,0.3208471520600786,1.0,0.3883179755354713,325,False,qstack_w125_r100
2026-01-01,qstack_w125_r100,125,1.0,739615,720,125,625,2025-11-29,739612.0,0.331232788012792,0.3410616187549865,0.3277055932322214,1.0,0.4202128969376728,270,False,qstack_w125_r100
2026-04-01,qstack_w125_r100,125,1.0,739705,775,125,625,2026-02-27,739703.0,0.3327190874339203,0.3407649617782173,0.3265159507878624,1.0,0.3632276179372757,310,False,qstack_w125_r100
2026-07-01,qstack_w125_r100,125,1.0,739796,837,125,625,2026-05-29,739794.0,0.3305106890315065,0.341691764694463,0.3277975462740304,1.0,0.3568332064972312,130,False,qstack_w125_r100
