scenario,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,brier,20,-0.0033602172395287805,-0.004605419648963218,-0.002278600853495896
calendar_assumed_replay,logloss,20,-0.011944882607346628,-0.0163810104199876,-0.00813708479992317
calendar_assumed_replay,auc,20,0.07536488388070071,0.05428051786352781,0.09831055340796348
calendar_assumed_replay,brier,50,-0.0034106023562291347,-0.005021400087412562,-0.002142823550533661
calendar_assumed_replay,logloss,50,-0.012108828319278555,-0.017717026688799604,-0.007750217255764474
calendar_assumed_replay,auc,50,0.07508333574054765,0.05466548624775949,0.09540262136992124
no_same_day_receipt,brier,20,-0.0013557028676633935,-0.002350467348283214,-0.0005268168440115773
no_same_day_receipt,logloss,20,-0.004825562508453162,-0.008516139033868613,-0.0020210865148384137
no_same_day_receipt,auc,20,0.031782171155380325,0.013648915560337,0.052396907019563406
no_same_day_receipt,brier,50,-0.0013692348960729435,-0.0024626419319741574,-0.0003782863821503624
no_same_day_receipt,logloss,50,-0.0048651998256951665,-0.008771540965207667,-0.0014065319390879438
no_same_day_receipt,auc,50,0.031338801890119485,0.010862324318023833,0.05067433747858262
