scenario,clock,model,bin_left,bin_right,n,predicted,actual
calendar_assumed_replay,00:15,identity_h20,0.1,0.2,2421,0.15571323378174956,0.1590251961999174
calendar_assumed_replay,00:15,identity_h20,0.2,0.30000000000000004,489,0.22691666711549494,0.028629856850715747
calendar_assumed_replay,00:15,source_driven_h20_shrink50_shadow,0.0,0.1,19,0.09153619742506895,0.0
calendar_assumed_replay,00:15,source_driven_h20_shrink50_shadow,0.1,0.2,2584,0.16050907840547662,0.14589783281733745
calendar_assumed_replay,00:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,307,0.21698602422540997,0.07166123778501629
calendar_assumed_replay,06:00,identity_h20,0.1,0.2,2421,0.15571323378174956,0.1590251961999174
calendar_assumed_replay,06:00,identity_h20,0.2,0.30000000000000004,489,0.22691666711549494,0.028629856850715747
calendar_assumed_replay,06:00,source_driven_h20_shrink50_shadow,0.0,0.1,19,0.09153619742506895,0.0
calendar_assumed_replay,06:00,source_driven_h20_shrink50_shadow,0.1,0.2,2584,0.16050907840547662,0.14589783281733745
calendar_assumed_replay,06:00,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,307,0.21698602422540997,0.07166123778501629
calendar_assumed_replay,09:15,identity_h20,0.1,0.2,2421,0.15571323378174956,0.1590251961999174
calendar_assumed_replay,09:15,identity_h20,0.2,0.30000000000000004,489,0.22691666711549494,0.028629856850715747
calendar_assumed_replay,09:15,source_driven_h20_shrink50_shadow,0.0,0.1,19,0.09153619742506895,0.0
calendar_assumed_replay,09:15,source_driven_h20_shrink50_shadow,0.1,0.2,2584,0.16050907840547662,0.14589783281733745
calendar_assumed_replay,09:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,307,0.21698602422540997,0.07166123778501629
calendar_assumed_replay,10:15,identity_h20,0.0,0.1,141,0.0801268299894481,0.07092198581560284
calendar_assumed_replay,10:15,identity_h20,0.1,0.2,2090,0.1520173114473526,0.12679425837320574
calendar_assumed_replay,10:15,identity_h20,0.2,0.30000000000000004,633,0.23275661390832517,0.1769352290679305
calendar_assumed_replay,10:15,identity_h20,0.30000000000000004,0.4,44,0.3283033310880278,0.2727272727272727
calendar_assumed_replay,10:15,identity_h20,0.4,0.5,2,0.41081690018714656,0.0
calendar_assumed_replay,10:15,source_driven_h20_shrink50_shadow,0.0,0.1,150,0.08081751899034215,0.06666666666666667
calendar_assumed_replay,10:15,source_driven_h20_shrink50_shadow,0.1,0.2,2164,0.15417592608594188,0.12245841035120147
calendar_assumed_replay,10:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,550,0.2311112626963941,0.20363636363636364
calendar_assumed_replay,10:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,44,0.3283033310880278,0.2727272727272727
calendar_assumed_replay,10:15,source_driven_h20_shrink50_shadow,0.4,0.5,2,0.41081690018714656,0.0
calendar_assumed_replay,10:45,identity_h20,0.0,0.1,244,0.08115609561039168,0.03278688524590164
calendar_assumed_replay,10:45,identity_h20,0.1,0.2,1942,0.15084011732852248,0.13182286302780638
calendar_assumed_replay,10:45,identity_h20,0.2,0.30000000000000004,645,0.233287956319733,0.17364341085271318
calendar_assumed_replay,10:45,identity_h20,0.30000000000000004,0.4,68,0.33372934412368027,0.3235294117647059
calendar_assumed_replay,10:45,identity_h20,0.4,0.5,11,0.4271695383093315,0.09090909090909091
calendar_assumed_replay,10:45,source_driven_h20_shrink50_shadow,0.0,0.1,253,0.081528980825987,0.03162055335968379
calendar_assumed_replay,10:45,source_driven_h20_shrink50_shadow,0.1,0.2,2016,0.15317210649996318,0.12698412698412698
calendar_assumed_replay,10:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,562,0.23175620943999056,0.199288256227758
calendar_assumed_replay,10:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,68,0.33372934412368027,0.3235294117647059
calendar_assumed_replay,10:45,source_driven_h20_shrink50_shadow,0.4,0.5,11,0.4271695383093315,0.09090909090909091
calendar_assumed_replay,11:45,identity_h20,0.0,0.1,337,0.07900556706455537,0.032640949554896145
calendar_assumed_replay,11:45,identity_h20,0.1,0.2,1844,0.1505348993239207,0.13232104121475055
calendar_assumed_replay,11:45,identity_h20,0.2,0.30000000000000004,614,0.23381366524772637,0.18729641693811075
calendar_assumed_replay,11:45,identity_h20,0.30000000000000004,0.4,90,0.33404287910165736,0.23333333333333334
calendar_assumed_replay,11:45,identity_h20,0.4,0.5,19,0.43087573616808805,0.3157894736842105
calendar_assumed_replay,11:45,identity_h20,0.5,0.6000000000000001,1,0.5005624353182049,0.0
calendar_assumed_replay,11:45,identity_h20,0.8,0.9,1,0.8879748326913949,1.0
calendar_assumed_replay,11:45,identity_h20,0.9,1.0,4,0.9127055199920999,0.25
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.0,0.1,346,0.07933416451096617,0.031791907514450865
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.1,0.2,1918,0.15299781710388158,0.12721584984358708
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,531,0.23227466730913537,0.21657250470809794
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,90,0.33404287910165736,0.23333333333333334
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.4,0.5,19,0.43087573616808805,0.3157894736842105
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,1,0.5005624353182049,0.0
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.8,0.9,1,0.8879748326913949,1.0
calendar_assumed_replay,11:45,source_driven_h20_shrink50_shadow,0.9,1.0,4,0.9127055199920999,0.25
calendar_assumed_replay,12:45,identity_h20,0.0,0.1,383,0.07694383081721787,0.02610966057441253
calendar_assumed_replay,12:45,identity_h20,0.1,0.2,1823,0.15053220123854738,0.1332967635765222
calendar_assumed_replay,12:45,identity_h20,0.2,0.30000000000000004,564,0.2334178052360963,0.19680851063829788
calendar_assumed_replay,12:45,identity_h20,0.30000000000000004,0.4,103,0.336125520733554,0.23300970873786409
calendar_assumed_replay,12:45,identity_h20,0.4,0.5,30,0.4411859332096894,0.23333333333333334
calendar_assumed_replay,12:45,identity_h20,0.5,0.6000000000000001,2,0.5133790651930007,1.0
calendar_assumed_replay,12:45,identity_h20,0.9,1.0,5,0.9341591130501381,0.4
calendar_assumed_replay,12:45,source_driven_h20_shrink50_shadow,0.0,0.1,392,0.07728120414039179,0.025510204081632654
calendar_assumed_replay,12:45,source_driven_h20_shrink50_shadow,0.1,0.2,1897,0.15302248904048868,0.12809699525566684
calendar_assumed_replay,12:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,481,0.23165051981747448,0.23076923076923078
calendar_assumed_replay,12:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,103,0.336125520733554,0.23300970873786409
calendar_assumed_replay,12:45,source_driven_h20_shrink50_shadow,0.4,0.5,30,0.4411859332096894,0.23333333333333334
