candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
hold_1630,1,2023-01-01,1060,521,0.5001386579556547,280,False,-0.1532454789054221,"[0.48065471569511325, 0.14830394111801234, -0.0982595561633525, -0.0409199881750763, 0.04250153505904255, -0.196490869949241]",2022-12-29,2022-02-24
hold_1630,1,2023-04-01,1340,692,0.5271279726756413,305,False,-0.050478783687276985,"[0.515802840045524, 0.09735621334119975, -0.04507185199303411, -0.04327697946045178, 0.10503002036708857, -0.1621807130685522]",2023-03-29,2022-02-24
hold_1630,1,2023-07-01,1645,866,0.5368781053141253,330,False,-0.015305330681026214,"[0.5803226155968009, 0.08603860970478927, -0.026404645603488174, -0.04382149412152628, 0.09094428451949939, -0.1215708015412429]",2023-06-28,2022-02-24
hold_1630,1,2023-10-01,1975,1070,0.5537010690152834,320,False,0.044337616338120465,"[0.6603053441563459, 0.10252770264343772, -0.040869957917800015, 0.011345388592884453, 0.13974893122691967, -0.1701423083225035]",2023-09-28,2022-02-24
hold_1630,1,2024-01-01,2300,1220,0.5367216198398527,285,False,0.023016573511279618,"[0.7306896952836681, 0.0984102326176361, -0.03819146375654154, 0.005746328721457271, 0.04040657276313146, -0.08433411189009554]",2023-12-29,2022-02-24
hold_1630,1,2024-04-01,2585,1379,0.540081234024251,300,False,0.05235742098576771,"[0.7803725673078353, 0.09445305368762848, -0.009197768270624613, 0.014242734329268938, 0.0442409790011398, -0.0931705583218471]",2024-03-29,2022-02-24
hold_1630,1,2024-07-01,2885,1519,0.5291862141819745,325,False,0.03119946434198975,"[0.8193628553954291, 0.06648328192859762, -0.0506129377075862, 0.010798710731224116, 0.06091790964219685, -0.05740584986793198]",2024-06-28,2022-02-24
hold_1630,1,2024-10-01,3215,1709,0.5362125890750702,330,False,0.025589676848088543,"[0.7639937482484301, 0.04296904425556034, -0.05486922599104598, 0.05729563722166368, 0.07600034342145187, -0.09667212599552796]",2024-09-28,2022-02-24
hold_1630,1,2025-01-01,3545,1895,0.5397306043579462,285,False,0.052217956069746316,"[0.7365995579356487, 0.07472189855789742, -0.020800045076186595, 0.06386930672339342, 0.06820979192250667, -0.13503225826411508]",2024-12-29,2022-02-24
hold_1630,1,2025-04-01,3830,2008,0.5230572782554305,295,False,0.027162458581631996,"[0.7698792564052168, 0.06850468626673127, -0.029680170701208333, 0.03553622956572552, 0.0513129901112185, -0.09917715607504474]",2025-03-29,2022-02-24
hold_1630,1,2025-07-01,4125,2139,0.5141024443810583,330,False,0.005525047436842776,"[0.7856182937530265, 0.14321326522330513, -0.031520280694465795, -0.02935591553959673, 0.02838299628637645, -0.10535324500628664]",2025-06-28,2022-02-24
hold_1630,1,2025-10-01,4450,2335,0.5250827703528255,325,False,0.022383799989319338,"[0.7998597304560332, 0.15585468534222513, -0.025492184418233525, -0.003880462744157093, 0.04633223434034927, -0.15107731218689036]",2025-09-27,2022-02-24
hold_1630,1,2026-01-01,4770,2463,0.5105758396565354,270,False,-0.04799385391524403,"[0.8430393545053659, 0.12099619131139637, -0.03221074124931853, -0.053455032953860435, 0.02230795899816942, -0.10453323142713318]",2025-12-27,2022-02-24
hold_1630,1,2026-04-01,5045,2607,0.5119813835553849,310,False,-0.06625825723468667,"[0.8776999288305722, 0.08869546435810703, -0.03164829838147903, -0.07165980379654997, 0.038103983904516706, -0.08836769986871668]",2026-03-28,2022-02-24
hold_1630,1,2026-07-01,5355,2757,0.5094385047944854,230,False,-0.062182139075207726,"[0.8935969370450269, 0.08036000317121596, 0.0007636979538042058, -0.10433481369649444, 0.033942769934595, -0.07172345295626967]",2026-06-27,2022-02-24
hold_1630,3,2023-01-01,1050,329,0.321842949744062,280,False,-1.0309090862500792,"[0.40621697176063376, 0.09822196335647065, -0.06267428422626065, 0.019206449474188935, 0.08579068387760694, -0.14212077160988734]",2022-12-29,2022-02-24
