stage,metric,block_dates,draws,mean_delta,ci_low,ci_high
screen_2019_2022,brier,20,1000,0.004189305318197098,0.00043590565568508256,0.010131078748201848
screen_2019_2022,logloss,20,1000,0.01265609123059626,0.0017777062454611711,0.028278873250349307
screen_2019_2022,auc,20,1000,0.012335483574763047,-0.02961638045171259,0.06852570570197924
screen_2019_2022,brier,50,1000,0.004159347065031873,6.619505461955856e-05,0.011307242456880527
screen_2019_2022,logloss,50,1000,0.012542153479801919,0.00024001330584714036,0.03272132426885999
screen_2019_2022,auc,50,1000,0.011627407650206471,-0.03401676147596293,0.06665421515844576
validation_2023_2024,brier,20,1000,-0.0010968370211944848,-0.0036798478137967717,0.0013076187233776399
validation_2023_2024,logloss,20,1000,-0.004127792176974678,-0.013645225083967134,0.0047220674723435566
validation_2023_2024,auc,20,1000,0.07462086068132899,-0.013661857420679747,0.18286602144408742
validation_2023_2024,brier,50,1000,-0.0011701615399743578,-0.003428750252454355,0.0007554565113310872
validation_2023_2024,logloss,50,1000,-0.004406946755562565,-0.012779759210975319,0.002834431336629783
validation_2023_2024,auc,50,1000,0.07095888838236715,0.0017069404451357352,0.18635952198903438
