quarter_origin,cutoff_ord,eligible_feedback_batches,selected_feedback_batches,training_rows,latest_feedback_publication_date,latest_feedback_maturity_ord,numerator,denominator,raw_alpha,alpha,query_rows
2019-01-01,737058,0,0,0,,,0.0,0.0,0.0,0.0,285
2019-04-01,737148,36,36,180,2019-02-28,737147.0,-0.07557150589818946,0.03218744578314659,-2.3478565651754466,0.0,295
2019-07-01,737239,95,95,475,2019-05-30,737238.0,-0.3079739391053402,0.1252997885326429,-2.4578967188368983,0.0,325
2019-10-01,737331,161,125,625,2019-08-31,737330.0,-0.19565486591694037,0.12289548067557188,-1.5920428061422685,0.0,325
2020-01-01,737423,225,125,625,2019-11-30,737421.0,0.07461045066795581,0.0399892547150105,1.865762470435584,1.0,280
2020-04-01,737514,282,125,625,2020-02-28,737512.0,-1.667066967829629,0.15000079034263467,-11.113721227879418,0.0,280
2020-07-01,737605,337,125,625,2020-05-29,737603.0,-1.1656197203068288,0.3429055403490777,-3.399244349100421,0.0,330
2020-10-01,737697,402,125,625,2020-08-29,737694.0,-0.62720950681317,0.4542559337091809,-1.3807403718246545,0.0,325
2021-01-01,737789,467,125,625,2020-12-01,737788.0,-0.4722501774272547,0.4713073663678481,-1.0020004165576117,0.0,280
2021-04-01,737879,523,125,625,2021-02-26,737876.0,0.13843664630004138,0.460786138249258,0.30043578746970756,0.30043578746970756,310
2021-07-01,737970,585,125,625,2021-05-28,737967.0,-0.35724242585892557,0.41034923204755025,-0.8705814412673963,0.0,330
2021-10-01,738062,651,125,625,2021-08-31,738061.0,-0.26494037121020736,0.40192019011205016,-0.6591865194339837,0.0,320
2022-01-01,738154,715,125,625,2021-12-01,738153.0,0.088614333271549,0.41532291017217077,0.2133624972309238,0.2133624972309238,280
2022-04-01,738244,771,125,625,2022-02-26,738243.0,0.5153439948083075,0.513968661296069,1.002675909283594,1.0,300
2022-07-01,738335,831,125,625,2022-05-28,738334.0,-3.8456439988675575,10.058935620458737,-0.3823112249616105,0.0,330
2022-10-01,738427,897,125,625,2022-08-31,738426.0,-5.904855562203553,10.6242978417913,-0.5557878412422189,0.0,325
2023-01-01,738519,962,125,625,2022-12-01,738518.0,-1.7471646089201567,1.3604736218582945,-1.2842326237341333,0.0,280
2023-04-01,738609,1018,125,625,2023-02-28,738608.0,-1.5274407320216763,0.8041961307012658,-1.8993385738995474,0.0,305
2023-07-01,738700,1079,125,625,2023-05-30,738699.0,-0.6932406793448851,0.38379385203894956,-1.8062839611993866,0.0,330
2023-10-01,738792,1145,125,625,2023-08-31,738791.0,3.5623466720091654,0.618665435383855,5.758114916827193,1.0,320
2024-01-01,738884,1210,125,625,2023-12-01,738883.0,2.223193899721652,0.7485769527092309,2.9698935983475376,1.0,285
2024-04-01,738975,1267,125,625,2024-02-29,738974.0,-0.12423565322096852,0.85497355888039,-0.14530935130164532,0.0,300
2024-07-01,739066,1327,125,625,2024-05-30,739065.0,0.6225464463491281,1.4701512664238177,0.42345740915728286,0.42345740915728286,325
2024-10-01,739158,1393,125,625,2024-08-31,739157.0,-0.6658316031692254,1.8252979059909586,-0.3647796893777423,0.0,330
2025-01-01,739250,1459,125,625,2024-12-03,739249.0,2.8458423525892838,1.8370441058798068,1.549142093802009,1.0,285
2025-04-01,739340,1516,125,625,2025-03-01,739339.0,3.1039171423879486,1.582436299974057,1.961479992868487,1.0,295
2025-07-01,739431,1575,125,625,2025-05-29,739430.0,0.4832175302817605,1.0309303303918071,0.46871986984621233,0.46871986984621233,330
2025-10-01,739523,1640,125,625,2025-08-30,739521.0,1.3839406618053705,0.6521642573539468,2.1220737662325906,1.0,325
2026-01-01,739615,1704,125,625,2025-11-29,739612.0,0.68716092165901,0.6139213669780903,1.1192979404535588,1.0,270
2026-04-01,739705,1759,125,625,2026-02-27,739703.0,0.5308420665718093,0.43498719166679356,1.2203625227163974,1.0,310
2026-07-01,739796,1821,125,625,2026-05-29,739794.0,1.1115311054951373,0.6401073859403339,1.736475988106699,1.0,230
