stage,metric,block_dates,draws,mean_delta,ci_low,ci_high
screen_2019_2022,brier,20,1000,0.0020437397636278664,0.0004253284595253239,0.0037745414946827958
screen_2019_2022,logloss,20,1000,0.009414612794238213,0.001927901243032703,0.017623538454886834
screen_2019_2022,auc,20,1000,0.03813271066776528,-0.08326335915838394,0.15732941894604816
screen_2019_2022,brier,50,1000,0.002012415251132807,0.0003240663642021011,0.0038155481874348456
screen_2019_2022,logloss,50,1000,0.00926528812149622,0.0011754574395966882,0.018618058148426757
screen_2019_2022,auc,50,1000,0.04257203806556801,-0.07712014783793653,0.1625865338063369
validation_2023_2024,brier,20,1000,-0.0012928470387342638,-0.007012134973749777,0.004286625869649225
validation_2023_2024,logloss,20,1000,-0.005320284884091118,-0.026063578825376025,0.014813126097354823
validation_2023_2024,auc,20,1000,0.09519724697975104,0.007373727584730019,0.19160341812181672
validation_2023_2024,brier,50,1000,-0.0016890038335010296,-0.007943044568239284,0.0043111156445766454
validation_2023_2024,logloss,50,1000,-0.006738319491168452,-0.029439520336515246,0.014363052517485686
validation_2023_2024,auc,50,1000,0.09234858395999891,-0.011753874773617034,0.22067892082820872
