year,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta,ece_delta,noninferior
2019,pooled,all,545,0.14678899082568808,0.1708194275663932,0.12690125916480666,0.423044294189863,0.024030436740705124,0.12575858601802897,0.4193235554784349,0.01457693152385095,0.001142673146777684,0.0037207387114280843,0.36104838709677417,0.11237424114702768,0.1468010752688172,0.009453505216854174,False
2019,currency,AMD,109,0.1926605504587156,0.16932319162200601,0.15715835748807133,0.4957511352578896,0.023337358836709593,0.1595517247132462,0.5058563957076351,0.0604484911568785,-0.0023933672251748583,-0.010105260449745468,0.3695887445887445,0.17020778583387283,0.12878787878787878,-0.03711113232016891,True
2019,currency,KGS,109,0.1651376146788991,0.17046317905134206,0.13951889962961841,0.4539689925825369,0.00532556437244297,0.13934601606947636,0.4542428205412957,0.03292555537706199,0.00017288356014205641,-0.00027382795875879884,0.3162393162393163,0.12152629966291813,0.14957264957264957,-0.027599991004619018,True
2019,currency,KZT,109,0.05504587155963303,0.1742370088503263,0.0664680327965811,0.27781967898108484,0.11919113729069328,0.05811032470218375,0.24598596348947577,0.07716618774220407,0.008357708094397356,0.03183371549160907,0.43042071197411,0.05314185170985669,0.26860841423948223,0.042024949548489204,False
2019,currency,TJS,109,0.1834862385321101,0.17125467511708278,0.1500651250562754,0.47756106355736316,0.012231563415027319,0.1527424947970665,0.4883306588358097,0.051274179230273,-0.002677369740791108,-0.010769595278446509,0.4786516853932585,0.27086852113896337,0.2140449438202247,-0.03904261581524568,True
2019,currency,UZS,109,0.13761467889908258,0.16881908319120895,0.12129588085348704,0.4101206005704406,0.03120440429212637,0.1190423698081722,0.4022019388179583,0.005402619597245473,0.002253511045314835,0.007918661752482292,0.3021276595744681,0.10515295887617958,0.1375886524822695,0.025801784694880897,False
2020,pooled,all,545,0.10091743119266056,0.08849845358164819,0.090891117153308,0.32803361936450914,0.012418977611012363,0.09153552916956322,0.33091110132608426,0.026458882052973975,-0.0006444120162552164,-0.0028774819615751124,0.4855287569573284,0.09349638168766086,0.20315398886827457,-0.014039904441961612,True
2020,currency,AMD,109,0.14678899082568808,0.08856447873569233,0.1286392004370003,0.4349851694468115,0.05822451208999575,0.12574075252169284,0.4192733064548963,0.01941267758005355,0.002898447915307467,0.015711862991915182,0.4522849462365591,0.1369076687701457,0.14448924731182794,0.0388118345099422,False
2020,currency,KGS,109,0.12844036697247707,0.08846941730444625,0.1135641785475473,0.39235281804373384,0.03997094966803082,0.11208460087599957,0.3840447174556581,0.0010640537268425398,0.00147957767154773,0.00830810058807574,0.47518796992481205,0.11964370141012315,0.2142857142857143,0.03890689594118828,False
2020,currency,KZT,109,0.13761467889908258,0.0888758236980796,0.12112943594766559,0.4138479086364803,0.048738855201002976,0.11894394737606466,0.4017996676251189,0.010238365653448045,0.0021854885716009326,0.012048241011361427,0.40354609929078017,0.13825576520261176,0.17021276595744683,0.03850048954755493,False
2020,currency,TJS,109,0.08256880733944955,0.0882542402582808,0.07576428848294092,0.28508058622650706,0.005685432918831251,0.07783614090725309,0.29548824128240636,0.044807505906184986,-0.0020718524243121678,-0.0104076550558993,0.5566666666666666,0.09593326444211961,0.24555555555555553,-0.039122072987353734,True
2020,currency,UZS,109,0.009174311926605505,0.08832830791174195,0.015358482351385884,0.11390161446901287,0.07915399598513645,0.0230722041668059,0.15394957381234115,0.11820200131902903,-0.007713721815420018,-0.04004795934332828,0.41666666666666663,0.015625,0.12962962962962965,-0.03904800533389258,True
2021,pooled,all,545,0.14862385321100918,0.2380284984125483,0.13558327423265165,0.44561472673318825,0.08940464520153918,0.12710633866250817,0.42278321741615343,0.01845462101969958,0.008476935570143479,0.022831509317034815,0.5378618561089826,0.15354809574207245,0.24373403575989783,0.0709500241818396,False
2021,currency,AMD,109,0.14678899082568808,0.21842938206344792,0.1298772707559603,0.4310216008552622,0.07164039123775978,0.12569512756456253,0.4190577676324752,0.016619758634378506,0.004182143191397786,0.01196383322278699,0.6081989247311828,0.199028886767559,0.27553763440860213,0.055020632603381275,False
2021,currency,KGS,109,0.11926605504587157,0.24533054829866036,0.12246400617785214,0.41731757009496423,0.1260644932527888,0.1053627646171199,0.3668920138916356,0.010903177145438009,0.01710124156073224,0.050425556203328614,0.49439102564102566,0.14063258072495308,0.2155448717948718,0.11516131610735078,False
2021,currency,KZT,109,0.13761467889908258,0.24564004665809286,0.132875611855104,0.44095762709731867,0.10802536775901025,0.11893911049827374,0.40176334088990473,0.007445446707773001,0.01393650135683025,0.03919428620741394,0.4297872340425532,0.1187855265977223,0.13971631205673762,0.10057992105123725,False
2021,currency,TJS,109,0.1834862385321101,0.24471367384301415,0.15534592596836413,0.4899715603552541,0.061227435310904126,0.15297389192461136,0.489364136232968,0.05331700634080053,0.0023720340437527743,0.0006074241222860932,0.5348314606741573,0.19469809947973754,0.25280898876404495,0.007910428970103599,False
2021,currency,UZS,109,0.1559633027522936,0.2360288411995264,0.13735355640597757,0.448805275263142,0.0800655384472329,0.13256079870797335,0.43683882843378363,0.02579407056098401,0.004792757698004219,0.01196644682935838,0.5952685421994884,0.20975224189433617,0.31170076726342705,0.054271467886248884,False
2022,pooled,all,540,0.1,0.08923853093337011,0.0900313308897329,0.3255737992120366,0.02348478924064559,0.0908614952676619,0.3291923452400803,0.027071634207069206,-0.000830164377928988,-0.0036185460280436788,0.5421048620637097,0.13293476490990663,0.2817786922725194,-0.003586844966423617,True
2022,currency,AMD,108,0.07407407407407407,0.08782233270946137,0.06851429760384364,0.26380355402176464,0.020427234938156846,0.07145158807811655,0.27889944559650554,0.05299756013299517,-0.002937290474272908,-0.015095891574740894,0.54125,0.213186981822986,0.18875000000000003,-0.03257032519483832,True
2022,currency,KGS,108,0.12037037037037036,0.08962732842600582,0.10616647358620611,0.3694214686920955,0.041220534562019025,0.10611435167805164,0.3687173417588885,0.006701263836698876,5.2121908154470487e-05,0.0007041269332070388,0.6194331983805669,0.21072009094240346,0.4121457489878542,0.03451927072532015,False
2022,currency,KZT,108,0.08333333333333333,0.08965238942902615,0.07709319673214153,0.291664649368938,0.010490216124480865,0.07839670077631675,0.29692063223033976,0.04373830087373591,-0.001303504044175216,-0.005255982861401776,0.4298540965207632,0.09488879560098071,0.14141414141414138,-0.033248084749255044,True
2022,currency,TJS,108,0.12037037037037036,0.08999682957405801,0.10648031445715844,0.37125777248528535,0.052395951714098186,0.10607019670435264,0.3685187684505667,0.006701263836698876,0.0004101177528058053,0.0027390040347186617,0.5765182186234817,0.1983944460374301,0.3012145748987854,0.04569468787739931,False
2022,currency,UZS,108,0.10185185185185185,0.08909377452829924,0.09190237206931477,0.33172155149209953,0.012758077323552624,0.09227463910147181,0.3329055381641007,0.025219782355217393,-0.0003722670321570365,-0.0011839866720011472,0.4967197750702906,0.11260853528753839,0.2895970009372071,-0.01246170503166477,True
2023,pooled,all,545,0.181651376146789,0.12880114620834027,0.15062196054694083,0.4830504574294447,0.052850229938448706,0.1516126234105948,0.48587074559845805,0.0541420567624907,-0.000990662863653985,-0.002820288169013363,0.5736966073288944,0.2562986645813339,0.13745074058975398,-0.0012918268240419972,True
2023,currency,AMD,109,0.1926605504587156,0.1296519627598502,0.15743491865730277,0.4987810073739351,0.0630085876988654,0.15980319961835365,0.5069935430896872,0.06515123107441728,-0.002368280961050878,-0.008212535715752145,0.6255411255411254,0.3866555681058493,0.16883116883116878,-0.002142643375551881,True
2023,currency,KGS,109,0.2018348623853211,0.12923299824545748,0.16693004059000036,0.5275808753718875,0.07260186413986361,0.16663165607636035,0.524609010584817,0.07432554300102279,0.0002983845136400043,0.002971864787070455,0.5229885057471264,0.2921858667185047,0.04702194357366768,-0.001723678861159178,True
2023,currency,KZT,109,0.14678899082568808,0.1279522639650708,0.12517959768138764,0.4185638074344868,0.024239109915033526,0.1256610075222615,0.41891547453401373,0.019279671441389756,-0.00048140984087385874,-0.0003516670995269422,0.5692204301075269,0.276104910309299,0.19018817204301075,0.00495943847364377,True
2023,currency,TJS,109,0.2018348623853211,0.1294713632609587,0.16558950914206158,0.5207027653585988,0.07236349912436242,0.16664090824779826,0.5246509757854327,0.07432554300102279,-0.0010513991057366778,-0.003948210426833909,0.5658307210031348,0.23326433414233638,0.11128526645768028,-0.001962043876660366,True
2023,currency,UZS,109,0.1651376146788991,0.12769714281036412,0.1379757366639517,0.4496238316083156,0.03744047186853497,0.13932634558820037,0.4541847239983396,0.037628295294600766,-0.0013506089242486807,-0.004560892390023996,0.5903540903540904,0.31077466147977495,0.19413919413919417,-0.00018782342606579738,True
2024,pooled,all,545,0.13211009174311927,0.20982475205323994,0.12204106959987632,0.41357309435302875,0.07771466031012063,0.11493591861944216,0.3915380946448063,0.008984462984784808,0.007105150980434155,0.022034999708222425,0.5060488607000235,0.13609324641050674,0.2783944092083627,0.06873019732533582,False
2024,currency,AMD,109,0.1743119266055046,0.2066637658982042,0.14820565412166864,0.474431045412055,0.04724324882194775,0.1452799444593393,0.4679762166586728,0.033217371877600516,0.002925709662329329,0.0064548287533822135,0.4526315789473684,0.15786754682547005,0.2497076023391813,0.014025876944347232,False
2024,currency,KGS,109,0.1743119266055046,0.21258059300466048,0.14932010616623762,0.47919600555104547,0.06128367663532439,0.14526747910844368,0.46792445151542883,0.033217371877600516,0.004052627057793939,0.011271554035616638,0.4181286549707601,0.1756769299183416,0.1976608187134503,0.028066304757723877,False
2024,currency,KZT,109,0.09174311926605505,0.20920231497770728,0.09591617169696694,0.35076685365649013,0.11745919571165225,0.08601597633719121,0.318858855696016,0.04935143546184903,0.009900195359775724,0.03190799796047411,0.696969696969697,0.17162584637584638,0.5545454545454546,0.06810776024980322,False
2024,currency,TJS,109,0.14678899082568808,0.21339470898308033,0.13059977562633154,0.4340378509457662,0.0672103350292095,0.1254553858045539,0.41798085379849165,0.005694436097784,0.005144389821777645,0.016056997147274543,0.5013440860215055,0.20237817496146776,0.23051075268817206,0.061515898931425506,False
2024,currency,UZS,109,0.07339449541284404,0.2072823774025472,0.08616364038817675,0.3294337161997866,0.1338878819897032,0.07266080738768273,0.28495009555542183,0.06770005931506004,0.013502833000494027,0.044483620644364785,0.6039603960396039,0.10314590571258966,0.3193069306930693,0.06618782267464315,False
2025,pooled,all,555,0.25765765765765763,0.15385194742339786,0.20137736769477832,0.6037531300759365,0.10380571023425977,0.20500993216301952,0.6181181955926127,0.11659929132787958,-0.0036325644682412006,-0.014365065516676268,0.6336139588566774,0.40239761570624466,0.2113517550410754,-0.012793581093619805,True
2025,currency,AMD,111,0.2702702702702703,0.15451897390430627,0.20998520800153592,0.624795036707125,0.11575129636596401,0.21415611794125544,0.6412807748622881,0.12921190394049223,-0.004170909939719525,-0.016485738155163077,0.6127572016460904,0.4296615540371574,0.2304526748971193,-0.013460607574528216,True
2025,currency,KGS,111,0.2972972972972973,0.15332567948465806,0.22882504614985144,0.6713529211648306,0.14397161781263926,0.23353027968698353,0.6899935204202804,0.15623893096751926,-0.004705233537132092,-0.018640599255449808,0.6693861693861693,0.5053627163556748,0.28166278166278164,-0.01226731315488,True
2025,currency,KZT,111,0.17117117117117117,0.15319197563056772,0.14169919972635153,0.4570352530444113,0.017979195540603454,0.14298638598398858,0.4621361602785222,0.030112804841393115,-0.0012871862576370463,-0.005100907234110941,0.6504576659038902,0.35105337321777946,0.2831807780320367,-0.01213360930078966,True
2025,currency,TJS,111,0.25225225225225223,0.15408506156366134,0.19761886641569712,0.594475296311388,0.0981671906885909,0.20116598671508357,0.6085022046159629,0.11119388592247417,-0.003547120299386447,-0.014026908304574981,0.6368330464716007,0.4343472260220338,0.2259036144578313,-0.013026695233883279,True
2025,currency,UZS,111,0.2972972972972973,0.15413804653379598,0.22875851818045556,0.6711071431519279,0.14315925076350133,0.23321089048778654,0.688678317786009,0.15623893096751926,-0.004452372307330976,-0.017571174634081088,0.5990675990675991,0.4330712587509874,0.06099456099456102,-0.013079680204017924,True
2026,pooled,all,545,0.1577981651376147,0.06702726049989594,0.14095978043256335,0.4835039024698759,0.09077090463771875,0.13332563452028517,0.4377308149205831,0.016958138580411786,0.0076341459122781785,0.045773087549292824,0.6233976794852308,0.2140128642025461,0.3407559406191418,0.07381276605730697,False
2026,currency,AMD,109,0.1651376146788991,0.06736140243544748,0.147139843952448,0.501436629144062,0.09777621224345161,0.13861597393508537,0.4510786703980099,0.02429758812169619,0.008523870017362628,0.050357958746052034,0.6996336996336997,0.27347336752022583,0.4438339438339438,0.07347862412175542,False
2026,currency,KGS,109,0.1743119266055046,0.06731294420775799,0.1552077183580995,0.5265670461944366,0.1069989823977466,0.14524894104916228,0.46784618975283593,0.033471900048301695,0.009958777308937211,0.05872085644160069,0.6286549707602339,0.23304353836180486,0.427485380116959,0.07352708234944491,False
2026,currency,KZT,109,0.12844036697247707,0.06649105440504058,0.11579618075927939,0.40823997380006827,0.06194931256743649,0.11213568295363739,0.38422195078226834,0.01239965958472583,0.0036604978056419962,0.024018023017799928,0.49849624060150377,0.1265570101589308,0.0736842105263158,0.04954965298271066,False
2026,currency,TJS,109,0.1651376146788991,0.06716738423916925,0.14716887160458267,0.5016858070602673,0.09797023043972984,0.13862495901597793,0.4511152423677526,0.02429758812169619,0.008543912588604735,0.05057056469251475,0.7032967032967034,0.37764563039183785,0.4304029304029305,0.07367264231803365,False
2026,currency,UZS,109,0.1559633027522936,0.0668035172120643,0.13948628748840722,0.4795900561505457,0.08915978554022928,0.13200261564756263,0.43439202130204807,0.015123276195090685,0.007483671840844586,0.045198034848497604,0.581841432225064,0.2115337328027727,0.2947570332480818,0.0740365093451386,False
