h,period,block_dates,n_dates,point_mae_delta,ci_low,ci_high,p_improvement
1,screen_2023,20,247,-1.9008397270952273,-4.897788117384508,0.6774533974001099,0.903
1,screen_2023,50,247,-1.9008397270952273,-5.893064395764877,1.1219353688538192,0.8375
1,validation_2024,20,248,-3.677571900523404,-5.754199186199779,-1.5570422255620013,1.0
1,validation_2024,50,248,-3.677571900523404,-5.642424971425914,-1.622336628035635,0.9985
3,screen_2023,20,247,-6.206769217135649,-10.271641318850955,-2.7795364310414,1.0
3,screen_2023,50,247,-6.206769217135649,-11.518323837402423,-1.4293734059296286,0.998
3,validation_2024,20,248,-9.762202217051184,-14.134510389385442,-5.450935841583577,1.0
3,validation_2024,50,248,-9.762202217051184,-12.904812084007402,-5.990052925037753,1.0
5,screen_2023,20,247,-8.09831846230349,-14.652024490047008,-2.9292683343885266,1.0
5,screen_2023,50,247,-8.09831846230349,-16.363503445129687,-1.6844710819372997,0.998
5,validation_2024,20,248,-15.722326231666058,-21.41246824531693,-9.497105087193189,1.0
5,validation_2024,50,248,-15.722326231666058,-20.566559860633628,-9.960729598330751,1.0
10,screen_2023,20,247,-17.19540541525608,-30.204270796199708,-6.091825671364772,1.0
10,screen_2023,50,247,-17.19540541525608,-36.304365331877776,-3.0492791632726797,0.9995
10,validation_2024,20,248,-25.603693159532934,-35.589514848502546,-15.136191306941633,1.0
10,validation_2024,50,248,-25.603693159532934,-36.931181507055136,-14.042260743857678,1.0
20,screen_2023,20,247,3.0218710520671688,-1.6858065243760105,9.03941871677457,0.1245
20,screen_2023,50,247,3.0218710520671688,-1.277584950563793,9.487162507544687,0.1385
20,validation_2024,20,248,-42.23392170494645,-66.76536529709301,-23.02746988097349,1.0
20,validation_2024,50,248,-42.23392170494645,-72.06037052118819,-20.96994644615425,1.0
3,open_2025,20,247,-0.7768181259851628,-2.0520733531497273,0.43719503647128294,0.8955
3,open_2025,50,247,-0.7768181259851628,-1.756076929452901,0.1956985621820798,0.938
3,open_2026,20,159,-0.5523928616264412,-1.6825562431375272,0.7431399534608472,0.8125
3,open_2026,50,159,-0.5523928616264412,-1.1993193513992815,0.1893721648763488,0.9335
3,open_2025_2026,20,406,-0.6889274436377817,-1.4916360744452268,0.14319264964416287,0.947
3,open_2025_2026,50,406,-0.6889274436377817,-1.2924422833394276,-0.03685076727387811,0.981
5,open_2025,20,247,-2.107673438985839,-3.9390991625270377,-0.3521096122568081,0.991
5,open_2025,50,247,-2.107673438985839,-3.4743363896369637,-0.7248241888361124,0.999
5,open_2026,20,157,-0.12386477919817002,-1.7382936074520983,1.7448438377671176,0.575
5,open_2026,50,157,-0.12386477919817002,-1.0751711819272234,0.8582310941389162,0.604
5,open_2025_2026,20,404,-1.3367378954544926,-2.5984260777352866,-0.04858490853971644,0.9785
5,open_2025_2026,50,404,-1.3367378954544926,-2.2727846984745463,-0.39742310030070993,0.997
10,open_2025,20,247,-2.8729001370554768,-6.282993355583772,0.6755095477069086,0.94
10,open_2025,50,247,-2.8729001370554768,-5.434328417001101,-0.20919853076031478,0.98
10,open_2026,20,152,2.364633713917193,-1.157735768065651,6.262434615681489,0.1025
10,open_2026,50,152,2.364633713917193,-0.4935923866103421,5.694130226461372,0.071
10,open_2025_2026,20,399,-0.8776491462087452,-3.6334388941280293,1.815835340984457,0.731
10,open_2025_2026,50,399,-0.8776491462087452,-3.0494246776082834,1.5254598599089573,0.793
