candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1030,1,2023-01-01,1060,521,0.5001386579556547,280,False,-0.18279436944731928,"[0.36237747944437837, 0.12367643458779493, -0.09652033112419967, -0.04528601659787903, 0.029211599636508864, -0.18438466163107392]",2022-12-29,2022-02-24
cutoff_1030,1,2023-04-01,1340,692,0.5271279726756413,305,False,-0.042962497329029355,"[0.37167035505915835, 0.08827856887452543, -0.040203003184317965, -0.0385817133133515, 0.0951908842931272, -0.14610120752242592]",2023-03-29,2022-02-24
cutoff_1030,1,2023-07-01,1645,866,0.5368781053141253,330,False,0.008629205070448119,"[0.4069657665044479, 0.08112491057579303, -0.019263522620040982, -0.03482370082308167, 0.08550219892768288, -0.1043237558857898]",2023-06-28,2022-02-24
cutoff_1030,1,2023-10-01,1975,1070,0.5537010690152834,320,False,0.0893560790208593,"[0.4619614467874529, 0.10056659362903629, -0.02638789671083417, 0.019867158304075892, 0.13348409856707483, -0.14105716373511618]",2023-09-28,2022-02-24
cutoff_1030,1,2024-01-01,2300,1220,0.5367216198398527,285,False,0.05358785379958858,"[0.528735371536101, 0.09345242456335487, -0.027219172518983502, 0.01163023826027227, 0.04225241542114903, -0.06805597681589659]",2023-12-29,2022-02-24
cutoff_1030,1,2024-04-01,2585,1379,0.540081234024251,300,False,0.09236877607807702,"[0.5685485047660359, 0.09216489498895519, 0.000960631965972226, 0.02160684579615156, 0.04801159437060832, -0.0730998525910105]",2024-03-29,2022-02-24
cutoff_1030,1,2024-07-01,2885,1519,0.5291862141819745,325,False,0.06167938222815011,"[0.6037903703921645, 0.06550222259657668, -0.03817431434357057, 0.016229629262315137, 0.06058018807443597, -0.04419613575862527]",2024-06-28,2022-02-24
cutoff_1030,1,2024-10-01,3215,1709,0.5362125890750702,330,False,0.07664692499794692,"[0.5866837454649602, 0.04935896193712681, -0.03921042825101466, 0.06231301113861332, 0.07921959989111964, -0.07710542459851022]",2024-09-28,2022-02-24
cutoff_1030,1,2025-01-01,3545,1895,0.5397306043579462,285,False,0.09085758110017113,"[0.559296327109454, 0.07627700262879154, -0.010360768150391197, 0.06643238505714559, 0.0703696715802633, -0.1139656245773394]",2024-12-29,2022-02-24
cutoff_1030,1,2025-04-01,3830,2008,0.5230572782554305,295,False,0.04002563779440814,"[0.5937970009778931, 0.06475202745616387, -0.023676523334340678, 0.03506135816142026, 0.049269666418848286, -0.08628668306858595]",2025-03-29,2022-02-24
