clock,h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity,min_train_date
1900,3,2023-01-01,1055,285,False,-12.96899879704078,-842.7719877545255,1192.6259129933699,"[7.803154185472061, 7.740145924904588, -9.951480131481082, 27.62176002627789, -8.951555137730228, -18.98017894158931, -7.9356482084172795, -1.939828377827824, 268.5850939257062, -14.792372189710962, 44.16798043667275, -37.28801746933812, 36.150340469941106, -39.61891090441339, -7.4397418188411235, 29.321774267161864, -23.164978468851533, -2.4573511562398593, 7.198126715642499, -10.941404412923722, 1.6657387746019172, -3.2410306559671413, -1.3624970497414954, 3.220740982857487, -0.28295205175162713, 0.0, 47.09497848439031, 32.42707982162598, -40.52950718620291]",2022-12-29,2022-02-24
1900,3,2023-04-01,1335,305,False,-3.0791376987464445,-801.3518422066961,1056.9217188253947,"[17.82211728349242, 7.903863663407944, 5.9228493728464215, 17.830893972542775, -6.013758414024402, -20.267243098672488, 8.134875342906355, 3.0876343124500925, 234.9623087478074, -11.837470734171628, 45.447170981848366, -39.24019716553539, 11.729289054194023, -10.470354759342568, -10.231601127500499, 28.302059499127363, -8.549546430466275, 4.079350331430877, -2.3138246561602744, -12.037925287375616, -1.1231666220513616, -1.603928290320912, -1.3673074110124368, 3.1301203273938993, 0.9642819959917888, -4.777995764497489, 41.52536103516893, 28.354364476399294, -36.245276953709]",2023-03-29,2022-02-24
1900,3,2023-07-01,1640,325,False,5.008419034113076,-771.6693577022261,1031.6887730187964,"[11.816304841026579, -3.684994749962793, 3.2905378811619346, 15.110085648168663, 0.4180697573507823, -14.162184749287007, 6.31625020269031, 8.198503340842922, 214.21240083030375, -13.757033108196376, 34.55149475670853, -26.545113037303153, 17.360175097875334, -13.574088827105786, -8.959566417598378, 15.56962358145592, -18.758470152051643, 5.287128158628856, -1.4945258462992603, -11.62602064365492, -0.11485806704803533, -1.2945056479806178, -0.637534785737939, 1.6410856176122959, 0.40581288315660585, -2.1351530989208625, 37.90984126421658, 25.467070011573245, -33.25751808387987]",2023-06-28,2022-02-24
1900,3,2023-10-01,1970,320,False,10.008684603865223,-757.8615025300123,1018.4048138366958,"[15.5937311634102, 1.067699209789878, -3.128446639622416, 15.28381332820875, 19.02944927998388, -17.522575058221243, 13.612469551526269, -1.4317325518839183, 198.96443940012887, -9.651460459681827, 34.533383253585015, -28.906375185179204, 19.239220352151815, -15.137533550682239, -5.558513902741781, 16.801674129843686, -19.935078870571953, 6.57405812884544, 7.02966645014252, -4.649703858438445, 0.2135901100290257, -1.8939987213755602, -0.5821020986541694, 1.5708730333344787, 0.6916376766664948, -3.8436299857440335, 39.47995025078737, 15.07305107082514, -30.6138373844147]",2023-09-28,2022-02-24
1900,3,2024-01-01,2295,285,False,5.0482469793745715,-742.5718062969838,958.9101521024478,"[19.897528909833778, -4.249470222855526, -5.662545202897399, 11.1355840956302, 26.840742026195407, -19.759919499117572, 18.444280716296536, 3.4301454331637746, 184.53452504562924, -6.371277663208288, 25.533278416202577, -23.108069737275578, 21.04367869610872, -18.310161677121677, -4.66411604327096, 8.586299673324826, -27.708755597867448, 1.9695965748460404, 11.989612538677383, 0.227573509615562, 0.20925063793528856, -1.8431814311340264, -0.07542592592171452, 0.3640847329737673, 1.345271986145281, -1.6108281676317946, 36.19338214912273, 12.780339791924073, -29.267319303638587]",2023-12-29,2022-02-24
1900,3,2024-04-01,2580,300,False,5.078179946618289,-727.5348092166499,933.740774794699,"[17.563077159625987, -1.5568421448915117, -2.9124855462425256, 16.778942822702717, 15.163577627947959, -19.723480818754723, 16.48697166584245, 4.062766389533461, 173.21280536026993, -5.080826697584087, 22.068942911480214, -19.581270612292748, 23.305728786173432, -16.611756563246658, -3.731062530981622, 9.827509552098151, -23.224340584322494, 3.974975144608774, 10.999371852978044, 0.48624063877942564, 0.18548484645974977, -1.8879730763541402, -0.09633667466892175, 0.9197637659101766, 0.87906113865271, -4.954200718373651, 33.21570276340126, 11.29596313768605, -27.89160522360579]",2024-03-29,2022-02-24
1900,3,2024-07-01,2880,330,False,1.680308160607269,-706.6365101753589,900.1720306092666,"[14.518475894677557, -8.180072651144542, -9.45413228171679, 10.949661442876396, 39.10578422493176, -22.39770305949276, 29.18073575161518, 8.691906656964347, 162.19080275398022, -3.054363221638302, 13.874090222411033, -11.598300657414672, 24.64809179654245, -17.785307250337038, -5.222809718783853, 10.50705791314533, -13.667788968556277, 4.763348297830007, 9.484740927196436, -0.3891466398042047, 0.1676912905141605, -1.7607697836089584, 0.17649283386773493, 1.2840998578003855, 0.13248580142891692, -5.2667526685142025, 33.826134897128405, 8.370018161009043, -26.82947211499464]",2024-06-28,2022-02-24
1900,3,2024-10-01,3205,325,False,4.076284620669911,-699.930554164585,863.3942200401884,"[12.252209136220111, -12.358570624690806, -3.8066895117160717, 14.590508955797937, 43.41216118224852, -30.66975331933299, 32.82223584032091, 3.055938060825328, 154.85233366120758, -4.947707565157248, 10.726799513605497, -9.387122789664886, 7.492659513392692, 0.4736805514542715, -1.6827938427971907, 7.919914281856355, -8.84347343434336, 6.066963807795214, 5.814574388690854, -2.7182480576885397, 0.38190295344093367, -1.487041236524684, 0.44845523023644324, 1.2406252299500016, -0.5839421771015089, -6.390394907809584, 32.009154020405724, 6.707644363959046, -25.167367905612252]",2024-09-27,2022-02-24
1900,3,2025-01-01,3535,290,False,4.937649684207203,-686.4704442287211,854.0191462166989,"[13.746353812616862, -3.3653872418505837, 4.3710243849756605, 13.695100266983324, 33.32127371376237, -30.737691908025432, 28.246258998416895, -7.638788519849484, 151.32651455844496, -3.56514921584186, 18.403010454739178, -17.623230776970455, 1.092235743998258, 12.499631741951612, -4.210418697533668, 6.68766333326594, -7.835532479581108, 5.062644547330329, 2.2991595521549177, -2.305344861869865, 0.1567466120968581, -1.004725866059957, 0.25230607026408336, 1.5587080341962585, -0.9630348504968372, -4.831991766004001, 30.409568285675153, 4.149464121182277, -23.6498093980876]",2024-12-28,2022-02-24
1900,3,2025-04-01,3820,295,False,-2.414765280309721,-670.5447983553406,816.0471126819657,"[19.52600813270137, 0.6077244170468866, 3.5408367766365556, 11.33776080790052, 40.37205558289617, -36.73368972864135, 31.854922549696532, -11.38869347805613, 146.6451544242406, -1.5595431065658523, 15.166001434598178, -16.960546507300315, 3.01688165412882, 10.256460778447583, -3.52865131433411, 8.491186043289243, -3.615367339802872, 4.219481841094217, 3.5554862799485196, 1.5837197550382849, 0.12267336256255847, -1.0640266555433269, 0.29344303299680075, 1.4974719248640418, -0.8495616648791923, -5.374895272026081, 29.724786663719552, 5.160416713597389, -23.18162009259203]",2025-03-28,2022-02-24
1900,3,2025-07-01,4115,330,False,-4.138363940315467,-642.292764460782,769.3321930882101,"[20.62495762117209, 3.5461486401450606, 5.434535912853116, 10.724610891699367, 34.450369412215615, -36.832451410357166, 29.87792410125036, -13.322601566105925, 139.96787657154047, -1.3233996599156619, 15.190895714058652, -17.534605606748165, 8.707107651976244, 3.271195828873608, -0.8505635075371414, 7.2295918705115065, -6.804942654314976, 2.0122151795698158, 4.984799844520617, 2.701926754919544, 0.8939898725263051, -0.7158798470691043, 0.05274672044055591, 1.1398901873354248, -1.370746933228826, -4.360319247158815, 27.73863565363223, 4.689982171745097, -22.333253088381785]",2025-06-27,2022-02-24
1900,3,2025-10-01,4440,320,False,-0.9520218242388976,-624.5827629148167,680.7575558900277,"[18.87885996739153, 2.9131397407648296, 5.148727202117825, 12.64715448674229, 31.10720757880886, -31.72432129053794, 25.951627157160132, -12.260165530321327, 131.61302473996295, -1.762138770357742, 12.12152684640941, -14.899907048604641, 5.0807396734313235, 6.103720076823942, -2.012274297948025, 5.7974759886355525, -12.01518090521203, -3.339152617929334, 4.231068907639934, 1.7358688033619123, 0.8564755423326978, -0.40922314937585147, -0.12812339890227445, 0.972309411070755, -1.2914384051246768, -2.2784604849843633, 26.18553763909905, 3.748829135406285, -21.259270828326116]",2025-09-26,2022-02-24
1900,3,2026-01-01,4765,275,False,-2.6443405227858254,-614.4372730990315,628.9587514123025,"[15.573511847079233, 6.137478426464397, 8.356058045119118, 11.968185171767937, 28.450902106202975, -35.390147288138515, 26.611408442390516, -10.424209429303623, 127.29709528943113, -0.7140885830435303, 10.353565931248442, -12.844919161178353, 7.672671084838486, 4.528615167702967, -1.5588464683606347, 4.328713557058319, -11.617113311024703, -2.173719141291962, 4.690733548368831, 0.9206862034823418, 0.9410338240269044, -0.3738194639958064, -0.28144260292016154, 0.7333750484668963, -1.0191468055766202, -1.4969744607245499, 25.563905876605364, 1.199611455375848, -20.21659730549984]",2025-12-29,2022-02-24
1900,3,2026-04-01,5035,310,False,-0.8648809263821039,-597.2381117623435,620.7714847017887,"[17.752875926692266, 4.769295945130649, 7.984105187894515, 11.5738312217229, 19.706052388318454, -27.04755159340701, 21.31025441162594, -10.845133040317352, 125.15069628649916, -0.3278977394040987, 10.093741974799006, -13.354625300296203, 6.544435059215691, 5.268937296791249, -0.4890021513731979, 3.7779084349170446, -14.878161744925077, -4.397177409016835, 4.473470781811526, 0.19804219147188215, 0.9894297885624366, -0.18129227272669937, -0.3229563293394969, 0.44442283886268424, -0.9296040253597836, -1.4562389243467517, 24.910464914387322, 1.552999105707873, -19.559789935407878]",2026-03-27,2022-02-24
1900,3,2026-07-01,5345,225,False,-3.1139837632378553,-587.3349042031401,602.6438540710153,"[16.636872344895004, 7.826821864066838, 10.176911818981177, 12.08634684351089, 17.07706863920731, -27.61932619882194, 19.738520983005564, -10.310077760555352, 121.71218991059092, 1.753741786983746, 10.793168078575025, -13.42684661430892, 6.3146026563042765, 4.936157657872019, -0.38954028858972833, 3.56003797345264, -12.767163376235336, -3.6587885701814695, 1.543894712952208, 0.6366374776252304, 1.1278985013532348, -0.36333397835584247, -0.3860328683168853, 0.432501808484202, -0.8110334631633574, -1.2512297612721393, 24.804756867575296, 1.1959308395438668, -18.88526230189433]",2026-06-26,2022-02-24
1900,5,2023-01-01,1045,285,False,-19.999298058321568,-1070.8872486150897,1208.8410038338714,"[16.931464462192935, 10.569677419852168, -24.81490050601896, 34.21962223587606, -15.20148641005721, -22.724155270146227, -21.28511642490806, 6.951771578099099, 269.60732899726446, -23.146341728042437, 33.135296774669904, -31.806397869313233, 14.698780522387814, -16.543822811713298, -13.077650101760414, 49.017700045327146, -23.309878964332807, 17.864205783046263, 9.604731989961259, 0.24014367070053458, 1.8727417741790329, -5.865896717199969, -3.136771045601509, 6.616633778177299, 0.5132922104452927, 0.0, 54.86487751424046, 53.60452172703042, -46.46183847925128]",2022-12-29,2022-02-24
1900,5,2023-04-01,1325,305,False,-5.740625980132125,-1004.8809845100977,1107.3651994167612,"[33.67422963767448, 19.35012481147202, 6.136592974469626, 30.303938833421945, -5.486975112645175, -48.52696749379075, 14.185443720396181, 4.782955266293551, 237.14637856732045, -20.453117365843863, 35.179110983974375, -32.89950967592102, 8.7107070470283, -4.063928053391396, -13.707113431029484, 56.89413587759688, 0.9291863559667177, 24.329417765428282, 3.056377105078896, -3.0457685462623494, -0.2539275444703062, -4.527063506989927, -4.041378676310787, 6.363858497661916, 2.458511230109875, -9.651444214619014, 47.69642225662642, 47.034388650252005, -41.20387613378822]",2023-03-29,2022-02-24
1900,5,2023-07-01,1630,325,False,6.270219616770115,-965.870524838005,1090.3424449151416,"[22.078418871014556, -0.923096668195369, -1.064564086128791, 23.80791592317829, 12.537433401398918, -39.19845643102632, 13.56878647182107, 9.016739052308447, 216.60510634365886, -21.36800902705159, 18.041793203703868, -14.098846199495082, 16.948479026846826, -8.452972053586207, -14.625317757784856, 23.509322706791018, -37.295377071011, 16.807935929527904, 12.17255083398959, -4.14931435092078, -0.23058143804342937, -2.8656346271866453, -1.7708961721981333, 2.615473502748214, 2.251638734681861, 2.9272360913228215, 42.65577979516784, 42.48371340946218, -38.05281206177733]",2023-06-28,2022-02-24
