currency,lo,hi,n,hit_rate,lift
TJS,0,10,338,0.1834319526627219,0.7215638880605214
TJS,10,20,163,0.22699386503067484,0.892922816553026
TJS,20,30,93,0.2903225806451613,1.1420381620604092
TJS,30,40,111,0.3333333333333333,1.3112290008841734
TJS,40,50,95,0.2631578947368421,1.0351807901717158
TJS,50,60,125,0.312,1.2273103448275862
TJS,60,70,155,0.23870967741935484,0.9390091554718919
TJS,70,80,133,0.19548872180451127,0.7689914441275603
TJS,80,90,87,0.21839080459770116,0.8590810695448032
TJS,90,100,183,0.37158469945355194,1.4616979026249803
UZS,0,10,384,0.19791666666666666,0.8198614990689013
UZS,10,20,186,0.24731182795698925,1.0244788850843995
UZS,20,30,114,0.19298245614035087,0.7994217387043027
UZS,30,40,133,0.2781954887218045,1.1524131557945143
UZS,40,50,118,0.2542372881355932,1.053167313701354
UZS,50,60,99,0.30303030303030304,1.2552903335026242
UZS,60,70,129,0.14728682170542637,0.6101294876791824
UZS,70,80,80,0.175,0.7249301675977654
UZS,80,90,67,0.373134328358209,1.5456933211039774
UZS,90,100,173,0.34104046242774566,1.4127458262020862
KGS,0,10,254,0.2637795275590551,1.0187110400262467
KGS,10,20,188,0.2712765957446808,1.0476645611702127
KGS,20,30,145,0.2206896551724138,0.8522988505747126
KGS,30,40,143,0.1888111888111888,0.7291848776223776
KGS,40,50,113,0.2831858407079646,1.0936578171091444
KGS,50,60,120,0.3333333333333333,1.2873263888888888
KGS,60,70,120,0.23333333333333334,0.9011284722222223
KGS,70,80,112,0.25892857142857145,0.9999767485119048
KGS,80,90,93,0.27956989247311825,1.0796931003584227
KGS,90,100,195,0.26666666666666666,1.0298611111111111
AMD,0,10,264,0.2537878787878788,0.9625765325893204
AMD,10,20,157,0.2356687898089172,0.8938537475361233
AMD,20,30,126,0.18253968253968253,0.69234360410831
AMD,30,40,109,0.30275229357798167,1.148290668481194
AMD,40,50,108,0.2037037037037037,0.7726153263237663
AMD,50,60,147,0.2857142857142857,1.0836682499086592
AMD,60,70,114,0.21052631578947367,0.7984923946695384
AMD,70,80,106,0.33962264150943394,1.2881339574385948
AMD,80,90,100,0.27,1.024066496163683
AMD,90,100,252,0.31746031746031744,1.2040758332318435
KZT,0,10,368,0.26358695652173914,1.0004169909929945
KZT,10,20,225,0.18666666666666668,0.7084739982949702
KZT,20,30,139,0.2014388489208633,0.7645402859298238
KZT,30,40,81,0.24691358024691357,0.9371349183795901
KZT,40,50,94,0.2553191489361702,0.9690373836861292
KZT,50,60,93,0.26881720430107525,1.0202678546874568
KZT,60,70,112,0.35714285714285715,1.3554987212276215
KZT,70,80,108,0.16666666666666666,0.6325660699062233
KZT,80,90,79,0.3924050632911392,1.4893327721842726
KZT,90,100,185,0.3567567567567568,1.3540333172046728
