h,currency,n,base_rate
1,TJS,1483,0.5037086985839514
1,UZS,1483,0.4942683749157114
1,KGS,1483,0.4989885367498314
1,AMD,1483,0.5104517869184086
1,KZT,1484,0.5
3,TJS,1483,0.3135536075522589
3,UZS,1483,0.30276466621712744
3,KGS,1483,0.32973701955495616
3,AMD,1483,0.3263654753877276
3,KZT,1484,0.32547169811320753
5,TJS,1483,0.2542144302090357
5,UZS,1483,0.24140256237356708
5,KGS,1483,0.2589345920431558
5,AMD,1483,0.26365475387727577
5,KZT,1484,0.2634770889487871
10,TJS,1483,0.18341200269723534
10,UZS,1483,0.16587997302764665
10,KGS,1483,0.17397167902899527
10,AMD,1483,0.19217801753202968
10,KZT,1484,0.18463611859838275
20,TJS,1483,0.13958192852326365
20,UZS,1483,0.12339851652056642
20,KGS,1483,0.12339851652056642
20,AMD,1483,0.14632501685772084
20,KZT,1484,0.13274932614555257
