policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,year
future_test_top15_noncausal,325,43,0.13230769230769232,0.6615384615384615,0.40307692307692305,0.5116279069767442,1.2693058760873426,1.3116558130566751,1.0,102.63782956356374,2022
future_test_top15_noncausal,1235,156,0.12631578947368421,0.6169491525423728,0.3781376518218624,0.6025641025641025,1.5935046395431833,1.5955393489432699,1.3764705882352941,95.38621598882813,2023
future_test_top15_noncausal,1240,213,0.1717741935483871,0.8423728813559321,0.3379032258064516,0.4647887323943662,1.3755084204511077,1.3712016473327597,1.1777476255088195,38.092169683877565,2024
future_test_top15_noncausal,1235,209,0.16923076923076924,0.8242253521126759,0.22186234817813766,0.2822966507177033,1.2723954877239547,1.2749538380192975,0.8961451247165533,14.482811881801025,2025
future_test_top15_noncausal,780,124,0.15897435897435896,0.775,0.3423076923076923,0.6129032258064516,1.7905038057267126,1.8151039214197109,1.4231578947368422,118.93566629708809,2026
train_score_q15,325,181,0.556923076923077,2.7846153846153845,0.40307692307692305,0.425414364640884,1.055417316857155,1.0651230072355058,0.9027777777777777,82.65561085849367,2022
train_score_q15,1235,450,0.3643724696356275,1.7796610169491527,0.3781376518218624,0.44666666666666666,1.1812276945039257,1.1849129901777147,1.16,51.69345514973863,2023
train_score_q15,1240,251,0.20241935483870968,0.9926553672316384,0.3379032258064516,0.4262948207171315,1.2615884909051147,1.2237313130754992,0.8767676767676768,40.79132619660989,2024
train_score_q15,1235,136,0.11012145748987855,0.5363380281690141,0.22186234817813766,0.3602941176470588,1.6239534134821811,1.5637811312318355,1.235,28.563829382475724,2025
train_score_q15,780,36,0.046153846153846156,0.225,0.3423076923076923,0.6944444444444444,2.0287141073657926,2.009745614035088,1.5599999999999998,103.98475344918026,2026
train_score_q20,325,194,0.5969230769230769,2.9846153846153847,0.40307692307692305,0.4329896907216495,1.0742110647674512,1.0806607273438644,0.9615384615384616,89.50761203149959,2022
