policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps
future_test_top15_noncausal,15920,2460,0.15452261306532664,0.7305897327110734,0.2719849246231156,0.3589430894308943,1.319716855367168,1.3185135149878613,1.2293615409272374,43.50027637435274
train_score_q15,15920,3518,0.22097989949748745,1.0448027153160797,0.2719849246231156,0.3223422399090392,1.1851474501967447,1.1826746064115483,1.1305787344711928,24.218838948324738
train_score_q20,15920,4222,0.2652010050251256,1.2538820534577853,0.2719849246231156,0.32070108953102794,1.179113474672971,1.1748544446780922,1.1236931485204935,22.21919797422496
train_score_q30,15920,5565,0.3495603015075377,1.6527365294866354,0.2719849246231156,0.3169811320754717,1.1654364024576234,1.1639035636628339,1.1382233134836641,19.446544224250864
train_score_q40,15920,6842,0.4297738693467337,2.031989817564701,0.2719849246231156,0.30780473545746856,1.1316977802500923,1.1301502491292927,1.084763636734963,16.379953357765405
past_oof_previous_fold_q15,15315,3312,0.21625857002938295,1.0228987425545997,0.26993143976493633,0.32155797101449274,1.1912579405145032,1.1856831008284459,1.1281767955801105,25.49455784487566
past_oof_expanding_q15,15315,2616,0.17081292850146915,0.8079417604235605,0.26993143976493633,0.3352446483180428,1.2419622131085692,1.23875471655107,1.1435340742655293,34.94185377052001
past_oof_rolling_120_q15,15315,2671,0.17440417890956578,0.8249283035517317,0.26993143976493633,0.3395731935604642,1.2579979340538243,1.2517237782901032,1.1677650262594825,35.478926704446025
past_oof_rolling_250_q15,15315,2494,0.16284688214169116,0.77026251930289,0.26993143976493633,0.3360064153969527,1.2447842892608443,1.2409260422582027,1.1657705077334197,30.859562977027217
past_oof_previous_fold_q20,15315,3854,0.25164871041462616,1.1902934039267594,0.26993143976493633,0.3173326414115205,1.1756045968111846,1.169136351012972,1.0828606586194773,22.642550492329296
past_oof_expanding_q20,15315,3355,0.21906627489389488,1.0361791308184425,0.26993143976493633,0.3314456035767511,1.2278881032360773,1.2250237583192622,1.1778081923941734,29.065469995383907
past_oof_rolling_120_q20,15315,3397,0.2218086842964414,1.0491506728435913,0.26993143976493633,0.3279364144833677,1.2148878054699508,1.2104144347683055,1.1152929493545185,28.148752822939706
